cohort,stratum,gene,signature,n,rho,p,ci_low,ci_high,rho_adj_epithelial,p_adj_epithelial
GSE81089,AC,TACSTD2,TLS_Cabrita,67,-0.17910447761194032,0.14700290940214775,-0.41669689841506435,0.045590027508531146,-0.18124099460098747,0.14529099371125265
GSE81089,AC,TACSTD2,TLS_12chemokine,67,-0.2060020751855695,0.09443406705343504,-0.44906166641826467,0.01189775090251151,-0.20221109650521552,0.10347149954448616
GSE81089,AC,TACSTD2,TLS_imprint,67,-0.15492058424455266,0.21064672547350283,-0.3905673027980341,0.09672902447871683,-0.14957543488367517,0.23064608312170967
GSE81089,AC,TACSTD2,B_cell,67,-0.10695187165775404,0.38899657123042053,-0.3652787587758873,0.13223255319035498,-0.10604094538802536,0.3967646262061262
GSE81089,AC,TACSTD2,Plasma_cell,67,0.1513289169127624,0.22154719425940153,-0.10269503104195124,0.37742815910285865,0.1468755454947224,0.23926770655455887
GSE81089,AC,TACSTD2,Tfh,67,-0.2680980126107431,0.028271002859976226,-0.49008249534418213,-0.03159230549076352,-0.2560357088888075,0.03798406434210512
GSE81089,AC,TACSTD2,T_cell_CD8,67,-0.18137920025540746,0.1418524132398848,-0.4158322304517615,0.055548341298492614,-0.17211247866968896,0.16701190438195537
GSE81089,AC,TACSTD2,IFNg_Ayers,67,-0.06852103120759838,0.5816596788404391,-0.32696267468650264,0.16639755797786054,-0.060973554919926454,0.6267261800666397
GSE81089,AC,CLDN4,TLS_Cabrita,67,-0.018796392369702295,0.87999701112886,-0.2955787448995632,0.2294912236091241,-0.031224294602782924,0.8034526011166057
GSE81089,AC,CLDN4,TLS_12chemokine,67,-0.1526059541862878,0.21762714151173465,-0.4015900035862534,0.07102242325039164,-0.15026157369972637,0.22848981762502046
GSE81089,AC,CLDN4,TLS_imprint,67,0.029531486950275368,0.8124796640808971,-0.22536900843725932,0.2627004003554339,0.07995641764526189,0.5233559261627593
GSE81089,AC,CLDN4,B_cell,67,0.046571953068880206,0.708227923689863,-0.19604792518692582,0.262940602697727,0.06637177856772788,0.5964663528698274
GSE81089,AC,CLDN4,Plasma_cell,67,0.036914358687844206,0.7667934008807009,-0.214653777458777,0.26510182872788995,0.007575509353581733,0.9518620038488091
GSE81089,AC,CLDN4,Tfh,67,-0.20380716737169766,0.09807629521875914,-0.45344259012476024,0.025515207531204696,-0.13061997973257622,0.2958504762470974
GSE81089,AC,CLDN4,T_cell_CD8,67,-0.20009577779551443,0.10448323228197443,-0.44238719979039226,0.050614680158340884,-0.16621358215162188,0.18226130519629288
GSE81089,AC,CLDN4,IFNg_Ayers,67,-0.1509697501795834,0.22265855707655238,-0.39960112502100403,0.0933253057312556,-0.12785951180801783,0.3062627090971411
GSE81089,SqCC,TACSTD2,TLS_Cabrita,106,-0.05860896289392146,0.5506576930705788,-0.23175215317679523,0.1285436687497356,-0.05295951327861242,0.5915755669407672
GSE81089,SqCC,TACSTD2,TLS_12chemokine,106,0.0890495503438547,0.364007332004961,-0.11369875953123341,0.30041179423292436,0.08521012849344965,0.3874421391791629
GSE81089,SqCC,TACSTD2,TLS_imprint,106,-0.26476056125147995,0.00609398641907902,-0.4339914568026526,-0.0844291257062874,-0.2271518045285884,0.01979029122502399
GSE81089,SqCC,TACSTD2,B_cell,106,-0.20763785676499485,0.032699795920928976,-0.3973113550052369,-0.024995992869252352,-0.09226480839376949,0.34921430172844364
GSE81089,SqCC,TACSTD2,Plasma_cell,106,-0.2627452956142782,0.006507767633954395,-0.43618720869546723,-0.053116412005247644,-0.22582471514208147,0.02054070350182473
GSE81089,SqCC,TACSTD2,Tfh,106,-0.19652366677582686,0.043478976930286774,-0.3775506220203816,-0.00047647964622172194,-0.14093750283126646,0.15155491433906923
GSE81089,SqCC,TACSTD2,T_cell_CD8,106,-0.05538453787439857,0.5728284739021129,-0.23845610970839765,0.14997890198215405,-0.014205286005462512,0.8856381263662055
GSE81089,SqCC,TACSTD2,IFNg_Ayers,106,0.1090510617930826,0.26581177980183546,-0.09637660673032367,0.3203500901331258,0.10630204161109644,0.28045660532136496
GSE81089,SqCC,CLDN4,TLS_Cabrita,106,0.13682142227372346,0.16194892865692365,-0.05567511917253565,0.32614620099656333,0.17165803660061613,0.07995672908987878
GSE81089,SqCC,CLDN4,TLS_12chemokine,106,0.103891981761846,0.28922563468070467,-0.10874513240110259,0.30016362012193426,0.1027943157136665,0.296722958927556
GSE81089,SqCC,CLDN4,TLS_imprint,106,0.10558480489709551,0.28139666290376036,-0.09531838272656269,0.29425208157468996,0.20342612848051167,0.037400860799187315
GSE81089,SqCC,CLDN4,B_cell,106,-0.012751593319394414,0.8967766399004468,-0.2107999197285298,0.19390139875568893,0.14795383412256435,0.13200806884159197
GSE81089,SqCC,CLDN4,Plasma_cell,106,-0.022273723455172936,0.8207106294187977,-0.2230412943145008,0.17891672280331186,0.0538314739221044,0.5854776477949781
GSE81089,SqCC,CLDN4,Tfh,106,-0.08152253318890597,0.40611034962220444,-0.29447492170694195,0.13670741597830519,-0.004621648938521532,0.9626796764659167
GSE81089,SqCC,CLDN4,T_cell_CD8,106,-0.0022923646623170518,0.9813938002442331,-0.19690407398011048,0.19424275480569522,0.04960629666872189,0.615289061314948
GSE81089,SqCC,CLDN4,IFNg_Ayers,106,0.08350756984154974,0.394737835526271,-0.12419477628074305,0.28078985454620736,0.0776950313238328,0.43081435769402754
GSE81089,LCC,TACSTD2,TLS_Cabrita,24,0.1443478260869565,0.5009827163280625,-0.25245658631819373,0.4861558498369521,-0.01807332357025098,0.9347665380589231
GSE81089,LCC,TACSTD2,TLS_12chemokine,24,-0.20869565217391303,0.32775348376704777,-0.6002053498650483,0.22779631528614716,-0.19605257959996117,0.36996089162520096
GSE81089,LCC,TACSTD2,TLS_imprint,24,-0.01826086956521739,0.9325072970015154,-0.4148178646191432,0.4061248124755143,-0.07048763631222868,0.7492769501599472
GSE81089,LCC,TACSTD2,B_cell,24,0.017391304347826087,0.9357145967179171,-0.4059610303410989,0.4291020908988365,-0.059428734838770224,0.7876572517067573
GSE81089,LCC,TACSTD2,Plasma_cell,24,-0.05391304347826086,0.8024319710844887,-0.4829341616303971,0.367826512663491,-0.07545534886501247,0.7322160365797783
GSE81089,LCC,TACSTD2,Tfh,24,-0.05304347826086955,0.8055586374612034,-0.5125826878238899,0.43282895983735076,-0.05665834754906971,0.7973510946369018
GSE81089,LCC,TACSTD2,T_cell_CD8,24,-0.15826086956521737,0.46014891272810615,-0.5805152178237518,0.30217063476191997,-0.16528987335833695,0.4510272897329008
GSE81089,LCC,TACSTD2,IFNg_Ayers,24,-0.37130434782608696,0.07403527963898868,-0.6968919572053164,0.10137009922788542,-0.3449357045007444,0.10697905909000488
GSE81089,LCC,CLDN4,TLS_Cabrita,24,0.38608695652173913,0.06239715956765034,-0.02193841903737514,0.7037387477150527,0.1894590953994523,0.3865864990570284
GSE81089,LCC,CLDN4,TLS_12chemokine,24,0.06608695652173913,0.7589874525518235,-0.34940948834159585,0.5063090613875983,0.12999382613881394,0.5544000961567488
GSE81089,LCC,CLDN4,TLS_imprint,24,0.07913043478260869,0.7132155791016114,-0.3184951727255534,0.46931755003706455,0.008798637193823025,0.9682173258236226
GSE81089,LCC,CLDN4,B_cell,24,0.2939130434782608,0.1633105777659175,-0.14137677067804214,0.600836185125715,0.22675108411555223,0.2981323391469698
GSE81089,LCC,CLDN4,Plasma_cell,24,0.1869565217391304,0.38170896863505804,-0.31099056166323813,0.6007182080357012,0.19615461513795668,0.36970688951793573
GSE81089,LCC,CLDN4,Tfh,24,-0.0017391304347826085,0.9935650421080594,-0.41926703097543006,0.406605857217181,-0.001511879388516875,0.9945374492112066
GSE81089,LCC,CLDN4,T_cell_CD8,24,-0.17652173913043476,0.40930328479150085,-0.5771190669552658,0.29369282294821936,-0.2052502442051594,0.34747007278640557
GSE81089,LCC,CLDN4,IFNg_Ayers,24,-0.1652173913043478,0.4404029231283095,-0.5889666369164878,0.33163960443970025,-0.10093380805966999,0.6467796979279706
