cohort,signature,gene,n_samples,n_genes,adjustment,rho_crude,rho_adjusted,crude_percentile,crude_rank_from_bottom,crude_n_genes,crude_p_empirical_two_sided,adj_percentile,adj_rank_from_bottom,adj_n_genes,adj_p_empirical_two_sided
TCGA-LUAD,TLS_Cabrita,TACSTD2,528,31865,ABSOLUTE purity,0.05219251662991059,0.0922823497522194,60.40797112819708,19249,31865,0.695371096814687,68.68664679115017,21887,31865,0.43188451278832574
TCGA-LUAD,TLS_Cabrita,CLDN4,528,31865,ABSOLUTE purity,0.009239101901674584,0.07508338944707046,48.7870704534756,15546,31865,0.9422250117683979,64.21465557822061,20462,31865,0.5146712694178566
TCGA-LUAD,TLS_Cabrita,EPCAM,528,31865,ABSOLUTE purity,-0.27919466851539465,-0.11042745310272992,0.3138239447669857,100,31865,0.10177310528793347,8.78393221402793,2799,31865,0.35929703436372196
TCGA-LUAD,TLS_Cabrita,KRT8,528,31865,ABSOLUTE purity,-0.0978309783464689,-0.0716471154246021,17.62435273811392,5616,31865,0.4745645692766358,16.48831005805743,5254,31865,0.5323395575082379
TCGA-LUAD,TLS_Cabrita,CDH1,528,31865,ABSOLUTE purity,0.003556366584241311,0.051783866145332605,47.076729954495526,15001,31865,0.9776557351325906,57.323081751137615,18266,31865,0.6444374705790051
TCGA-LUAD,TLS_Cabrita,MUC1,528,31865,ABSOLUTE purity,0.016217403369776364,0.09385915108724557,50.735917150478585,16167,31865,0.901396516554213,69.09461791934724,22017,31865,0.42488623882002197
TCGA-LUAD,B_cell,TACSTD2,528,31865,ABSOLUTE purity,-0.11294496566733396,-0.1045415662870827,17.36074062450965,5532,31865,0.46734661854699516,13.767456456927663,4387,31865,0.46514985093362626
TCGA-LUAD,B_cell,CLDN4,528,31865,ABSOLUTE purity,-0.11919241195416572,-0.07710921840079181,16.378471677388983,5219,31865,0.4440608818452848,18.65369527694963,5944,31865,0.5945708457555311
TCGA-LUAD,B_cell,EPCAM,528,31865,ABSOLUTE purity,-0.3363096354186198,-0.18648810769893429,0.4142476070924212,132,31865,0.06565196924525342,4.242899733249647,1352,31865,0.1824886238820022
TCGA-LUAD,B_cell,KRT8,528,31865,ABSOLUTE purity,-0.2309798301905066,-0.22657599619369434,4.076573042523145,1299,31865,0.16168209634395103,1.9206025419739525,612,31865,0.10908520320100423
TCGA-LUAD,B_cell,CDH1,528,31865,ABSOLUTE purity,-0.13304270868218454,-0.1053164867224316,14.169151106229405,4515,31865,0.3938176682880904,13.660756315706887,4353,31865,0.4620429938804331
TCGA-LUAD,B_cell,MUC1,528,31865,ABSOLUTE purity,-0.06786616048389542,-0.001088079974119244,25.843401851561275,8235,31865,0.6578377530205555,36.54166012866782,11644,31865,0.9942256394162875
