cohort,signature,n_genes_in_set,n_genes_found,genes_found
TCGA-LUAD,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
TCGA-LUAD,TLS_12chemokine,12,12,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
TCGA-LUAD,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
TCGA-LUAD,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
TCGA-LUAD,Plasma_cell,14,14,MZB1;JCHAIN;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;IGHG1;IGHG3;IGKC;IGHA1;SSR4;FKBP11
TCGA-LUAD,GC_reaction,8,8,AICDA;BCL6;RGS13;MEF2B;LMO2;MKI67;STMN1;CD38
TCGA-LUAD,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
TCGA-LUAD,HEV_stroma,8,8,CHST4;GLYCAM1;MADCAM1;ACKR1;SELP;LTB;LTA;TNFSF14
TCGA-LUAD,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
TCGA-LUAD,IFNg_Ayers,6,6,IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA
TCGA-LUAD,Myeloid,7,7,CD68;CD163;CSF1R;ITGAM;AIF1;MRC1;FCGR3A
TCGA-LUAD,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
TCGA-LUSC,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
TCGA-LUSC,TLS_12chemokine,12,12,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
TCGA-LUSC,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
TCGA-LUSC,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
TCGA-LUSC,Plasma_cell,14,14,MZB1;JCHAIN;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;IGHG1;IGHG3;IGKC;IGHA1;SSR4;FKBP11
TCGA-LUSC,GC_reaction,8,8,AICDA;BCL6;RGS13;MEF2B;LMO2;MKI67;STMN1;CD38
TCGA-LUSC,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
TCGA-LUSC,HEV_stroma,8,8,CHST4;GLYCAM1;MADCAM1;ACKR1;SELP;LTB;LTA;TNFSF14
TCGA-LUSC,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
TCGA-LUSC,IFNg_Ayers,6,6,IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA
TCGA-LUSC,Myeloid,7,7,CD68;CD163;CSF1R;ITGAM;AIF1;MRC1;FCGR3A
TCGA-LUSC,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
GSE135222,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
GSE135222,TLS_12chemokine,12,8,CCL2;CCL8;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
GSE135222,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
GSE135222,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
GSE135222,Plasma_cell,14,14,MZB1;JCHAIN;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;IGHG1;IGHG3;IGKC;IGHA1;SSR4;FKBP11
GSE135222,GC_reaction,8,8,AICDA;BCL6;RGS13;MEF2B;LMO2;MKI67;STMN1;CD38
GSE135222,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
GSE135222,HEV_stroma,8,8,CHST4;GLYCAM1;MADCAM1;ACKR1;SELP;LTB;LTA;TNFSF14
GSE135222,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
GSE135222,IFNg_Ayers,6,6,IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA
GSE135222,Myeloid,7,6,CD68;CD163;CSF1R;ITGAM;AIF1;FCGR3A
GSE135222,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
GSE126044,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
GSE126044,TLS_12chemokine,12,12,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
GSE126044,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
GSE126044,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
GSE126044,Plasma_cell,14,9,MZB1;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;SSR4;FKBP11
GSE126044,GC_reaction,8,8,AICDA;BCL6;RGS13;MEF2B;LMO2;MKI67;STMN1;CD38
