cohort,gene,signature,cov,n,rho_adj,p_adj,ci_low,ci_high
TCGA-LUSC,TACSTD2,TLS_Cabrita,purity_absolute,493,-0.18616265238667098,3.2505729198423704e-05,-0.26949923191727204,-0.10039409368037716
TCGA-LUSC,TACSTD2,TLS_12chemokine,purity_absolute,493,-0.3125760682320522,1.301365228433924e-12,-0.39283189177129996,-0.22721217607067734
TCGA-LUSC,TACSTD2,TLS_imprint,purity_absolute,493,-0.24310242536922802,4.742951478089115e-08,-0.32210584157324307,-0.16219159424941867
TCGA-LUSC,TACSTD2,B_cell,purity_absolute,493,-0.22343100184084208,5.535236121253361e-07,-0.3044258323908484,-0.1331178842806758
TCGA-LUSC,TACSTD2,Plasma_cell,purity_absolute,493,-0.14415279919339172,0.001345513287616667,-0.23036698379080273,-0.048934522050368634
TCGA-LUSC,TACSTD2,Tfh,purity_absolute,493,-0.33699345071528536,1.5700046264151172e-14,-0.4136086087870169,-0.256801337563529
TCGA-LUSC,TACSTD2,T_cell_CD8,purity_absolute,493,-0.28634234744146875,9.721839711817178e-11,-0.3683386776069765,-0.2024727907851848
TCGA-LUSC,TACSTD2,IFNg_Ayers,purity_absolute,493,-0.2629011053131613,3.1985855781394925e-09,-0.3453756672683744,-0.17787463082528798
TCGA-LUAD,TACSTD2,TLS_Cabrita,purity_absolute,515,0.09216167312583157,0.036724844437463135,0.004216370267633372,0.17783788834681105
TCGA-LUAD,TACSTD2,TLS_12chemokine,purity_absolute,515,0.02390391607468311,0.5887163764785787,-0.06741876807590641,0.1141090697677543
TCGA-LUAD,TACSTD2,TLS_imprint,purity_absolute,515,-0.08188756495355456,0.06357965228197587,-0.16631202499384,0.007787593004347063
TCGA-LUAD,TACSTD2,B_cell,purity_absolute,515,-0.10426371396713843,0.018053720065783558,-0.18686239851867217,-0.021065080762311537
TCGA-LUAD,TACSTD2,Plasma_cell,purity_absolute,515,-0.24168488512148678,2.881343288480611e-08,-0.3222080200950463,-0.15641300695765825
TCGA-LUAD,TACSTD2,Tfh,purity_absolute,515,-0.08396952342695253,0.05711275987655561,-0.1729287618539815,0.002745952222123116
TCGA-LUAD,TACSTD2,T_cell_CD8,purity_absolute,515,-0.0629348856307924,0.15422329090727985,-0.15278156759408548,0.024274708046922715
TCGA-LUAD,TACSTD2,IFNg_Ayers,purity_absolute,515,0.03266156623193747,0.4599778917545979,-0.059064374827856626,0.12042291093905395
GSE72094,TACSTD2,TLS_Cabrita,epithelial_score,442,-0.01932383884871136,0.6857078388381193,-0.11710284397482236,0.07405050857501937
GSE72094,TACSTD2,TLS_12chemokine,epithelial_score,442,-0.07296748911877385,0.1260146522283601,-0.167828431070341,0.02821751051708281
GSE72094,TACSTD2,TLS_imprint,epithelial_score,442,-0.11891541094872275,0.012454113917463604,-0.21043146540053126,-0.023213896603168405
GSE72094,TACSTD2,B_cell,epithelial_score,442,-0.11518877003181961,0.015513700736066281,-0.2098400752916128,-0.023650494607109007
GSE72094,TACSTD2,Plasma_cell,epithelial_score,442,-0.220496626789722,2.940279062621886e-06,-0.30322378090728497,-0.13182161983272037
GSE72094,TACSTD2,Tfh,epithelial_score,442,-0.10222713259940766,0.031848847257594334,-0.1940742690600389,-0.010708078179469454
GSE72094,TACSTD2,T_cell_CD8,epithelial_score,442,-0.14608679161423188,0.0021005719911413112,-0.23868690971424844,-0.05036910017736945
GSE72094,TACSTD2,IFNg_Ayers,epithelial_score,442,-0.03324295872879958,0.48623266377154145,-0.12765406924733552,0.06529845324117599
GSE81089,TACSTD2,TLS_Cabrita,epithelial_score,197,-0.04827230574384151,0.5016592125584087,-0.18597557268092085,0.0817592290087455
GSE81089,TACSTD2,TLS_12chemokine,epithelial_score,197,-0.02340421747789541,0.7447210839734231,-0.16841620550488182,0.12187756153573673
GSE81089,TACSTD2,TLS_imprint,epithelial_score,197,-0.18383492802629978,0.009901607891245235,-0.3284096280968417,-0.04733916719670189
GSE81089,TACSTD2,B_cell,epithelial_score,197,-0.08039505650719128,0.26265169010023,-0.2182050321149155,0.06500010320946711
GSE81089,TACSTD2,Plasma_cell,epithelial_score,197,-0.03041374502216337,0.6721735427694989,-0.17338310265745172,0.11739807161672296
GSE81089,TACSTD2,Tfh,epithelial_score,197,-0.13937374701316618,0.051382515373081396,-0.28162132897969866,0.0033151902610023855
GSE81089,TACSTD2,T_cell_CD8,epithelial_score,197,-0.10236595586396334,0.1533753790203502,-0.24921029195292577,0.04224230146258797
GSE81089,TACSTD2,IFNg_Ayers,epithelial_score,197,-0.007351244258277246,0.9185499034031721,-0.15639966532330185,0.1408790470848587
