term,beta,se,t,p,ci_low,ci_high,n,r2,model
const,-6.938893903907228e-18,0.04345928432947849,-1.59664246914452e-16,0.9999999999999999,-0.08517863207966378,0.08517863207966378,528,0.0030624737400599678,TCGA-LUAD|TLS_Cabrita|unadjusted
TACSTD2,0.05533962179180676,0.044547144511998794,1.2422709109200256,0.21413662420167623,-0.031971177065812005,0.1426504206494255,528,0.0030624737400599678,TCGA-LUAD|TLS_Cabrita|unadjusted
const,1.38947904963982,0.12776457246651637,10.875307785371916,1.5114480832173034e-27,1.13906508910529,1.6398930101743499,515,0.2879183201285007,TCGA-LUAD|TLS_Cabrita|+purity
TACSTD2,0.06868118025009605,0.03876752558365134,1.7716163003980734,0.07645827200348519,-0.0073017736635957176,0.14466413416378782,515,0.2879183201285007,TCGA-LUAD|TLS_Cabrita|+purity
purity,-3.0496545682410123,0.2758978939238414,-11.053562333762635,2.106851958558309e-28,-3.5904045037421937,-2.508904632739831,515,0.2879183201285007,TCGA-LUAD|TLS_Cabrita|+purity
const,-1.6456060669354131,0.4188300800227275,-3.929054156869811,8.528063356495003e-05,-2.4664979394219877,-0.8247141944488384,487,0.44171764989784323,TCGA-LUAD|TLS_Cabrita|+purity+clinical
TACSTD2,0.08877924901237809,0.036333483496251096,2.4434554705314278,0.014547364711013004,0.017566929926845498,0.15999156809791068,487,0.44171764989784323,TCGA-LUAD|TLS_Cabrita|+purity+clinical
purity,-0.7796245210430595,0.3826839457548826,-2.037254318325718,0.0416245630754368,-1.529671272184309,-0.029577769901809825,487,0.44171764989784323,TCGA-LUAD|TLS_Cabrita|+purity+clinical
age,0.015752276490427868,0.003483220293199067,4.522331395801736,6.116220138885548e-06,0.008925290165538648,0.022579262815317087,487,0.44171764989784323,TCGA-LUAD|TLS_Cabrita|+purity+clinical
male,-0.2608503996634809,0.06983185126714418,-3.735407195000296,0.00018741168671811552,-0.3977183131208412,-0.12398248620612057,487,0.44171764989784323,TCGA-LUAD|TLS_Cabrita|+purity+clinical
stage,-0.0503952784465192,0.0363620310086745,-1.3859313423526023,0.16576786925259113,-0.12166354962824988,0.020872992735211482,487,0.44171764989784323,TCGA-LUAD|TLS_Cabrita|+purity+clinical
