cohort,endpoint,gene,model,n,n_events,hr,hr_low,hr_high,p,n1,n2,U,rbc,hl_shift,median1,median2
GSE135222,PFS_Cox,TACSTD2,unadjusted,27.0,21.0,1.0346659738348483,0.8180462621221966,1.308646866296301,0.7761590515627184,,,,,,,
GSE135222,PFS_Cox,TACSTD2,+epithelial,27.0,21.0,0.9500972920950118,0.7068492028840734,1.277054371375331,0.7344211224610999,,,,,,,
GSE135222,PFS_Cox,CLDN4,unadjusted,27.0,21.0,1.050290401564358,0.8707701842073683,1.2668209679484408,0.6079130783877547,,,,,,,
GSE135222,PFS_Cox,CLDN4,+epithelial,27.0,21.0,0.9217870719949479,0.691941720325325,1.2279811740467481,0.5778445415596174,,,,,,,
GSE135222,DCB_6mo,TACSTD2,MW_DCB_vs_NDB,,,,,,0.607105615801268,7.0,20.0,60.0,-0.1428571428571429,-0.4615297812576995,7.341274183692174,7.864761721395016
GSE135222,DCB_6mo,CLDN4,MW_DCB_vs_NDB,,,,,,0.6850106415323807,7.0,20.0,78.0,0.11428571428571432,0.2028271317792325,7.689369056858228,7.12644010475594
GSE126044,RECIST_responder,TACSTD2,MW_R_vs_NR,,,,,,0.440934065934066,5.0,11.0,20.0,-0.2727272727272727,-0.820505487402662,6.168039700600696,6.288184233072098
GSE126044,RECIST_responder,TLS_Cabrita,MW_R_vs_NR_signature,,,,,,0.5096153846153847,5.0,11.0,34.0,0.23636363636363633,0.25490163405249855,-0.08764628967234356,-0.16173859841905078
GSE126044,RECIST_responder,B_cell,MW_R_vs_NR_signature,,,,,,0.14514652014652016,5.0,11.0,41.0,0.49090909090909096,0.8217711962470926,0.7238601316000617,-0.49578176870787394
GSE126044,RECIST_responder,T_cell_CD8,MW_R_vs_NR_signature,,,,,,0.0004578754578754579,5.0,11.0,55.0,1.0,1.5866577854171031,1.0041016284260282,-0.4984068408708605
GSE126044,RECIST_responder,CLDN4,MW_R_vs_NR,,,,,,0.11492673992673993,5.0,11.0,13.0,-0.5272727272727273,-1.2091158165841618,2.542294564145926,3.7711716113053324
GSE126044,RECIST_responder,TLS_Cabrita,MW_R_vs_NR_signature,,,,,,0.5096153846153847,5.0,11.0,34.0,0.23636363636363633,0.25490163405249855,-0.08764628967234356,-0.16173859841905078
GSE126044,RECIST_responder,B_cell,MW_R_vs_NR_signature,,,,,,0.14514652014652016,5.0,11.0,41.0,0.49090909090909096,0.8217711962470926,0.7238601316000617,-0.49578176870787394
GSE126044,RECIST_responder,T_cell_CD8,MW_R_vs_NR_signature,,,,,,0.0004578754578754579,5.0,11.0,55.0,1.0,1.5866577854171031,1.0041016284260282,-0.4984068408708605
GSE207422,MPR_pre,TACSTD2,MW_MPR_vs_NMPR,,,,,,0.3400554635028641,9.0,15.0,51.0,-0.24444444444444446,-0.9638308618816698,4.9991896090022,6.22219707106702
GSE207422,MPR_pre,CLDN4,MW_MPR_vs_NMPR,,,,,,0.2572389851810263,9.0,15.0,48.0,-0.28888888888888886,-0.6001836847575603,5.8539397241997,6.27200773153137
