cohort,kind,gene,signature,n,adjustment,rho_crude,p_crude,rho_adj,p_adj,holds_after_purity,opposite_after_purity,verdict
GSE126044,ici,CD274,B_cell,16,epithelial_score,0.1088235294117647,0.6882882939574141,-0.2018862043070022,0.4705706314072395,False,False,UNDERPOWERED
GSE126044,ici,CD274,Epithelial,16,epithelial_score,-0.4823529411764706,0.0584589767747195,0.096762693517798,0.7315573313956821,False,False,UNDERPOWERED
GSE126044,ici,CD274,GC_reaction,16,epithelial_score,-0.0235294117647058,0.931073583667659,-0.2147247573198953,0.4421847101606067,False,False,UNDERPOWERED
GSE126044,ici,CD274,HEV_stroma,16,epithelial_score,0.4323529411764706,0.0944210375347869,0.2184202172278342,0.4341773850810038,False,False,UNDERPOWERED
GSE126044,ici,CD274,IFNg_Ayers,16,epithelial_score,0.6029411764705882,0.0134241253978913,0.4435107766623739,0.0977399675228145,False,False,UNDERPOWERED
GSE126044,ici,CD274,Myeloid,16,epithelial_score,0.3529411764705882,0.1799586578849817,0.0888766561828728,0.7527774165799601,False,False,UNDERPOWERED
GSE126044,ici,CD274,Plasma_cell,16,epithelial_score,0.0029411764705882,0.9913748045563624,-0.1176121353062144,0.6763518627176021,False,False,UNDERPOWERED
GSE126044,ici,CD274,TLS_12chemokine,16,epithelial_score,0.5823529411764706,0.0179327341310353,0.4324537842957466,0.1074118008977352,False,False,UNDERPOWERED
GSE126044,ici,CD274,TLS_Cabrita,16,epithelial_score,0.3647058823529411,0.1648683972447539,0.2080625946441198,0.456805759572905,False,False,UNDERPOWERED
GSE126044,ici,CD274,TLS_imprint,16,epithelial_score,0.3558823529411765,0.176103738091593,0.0841298626076331,0.7656309765811488,False,False,UNDERPOWERED
GSE126044,ici,CD274,T_cell_CD8,16,epithelial_score,0.3999999999999999,0.1247504235984,0.0978020091060433,0.7287737614242199,False,False,UNDERPOWERED
GSE126044,ici,CD274,Tfh,16,epithelial_score,0.4205882352941176,0.104767513929187,0.1147370500095911,0.6838812519918732,False,False,UNDERPOWERED
GSE126044,ici,CDH1,B_cell,16,epithelial_score,-0.3617647058823529,0.1685588225038842,-0.0355620662721635,0.8998735755013445,False,False,UNDERPOWERED
GSE126044,ici,CDH1,Epithelial,16,epithelial_score,0.6323529411764706,0.0085775841030993,-0.0751532593163001,0.7900915244945119,False,False,UNDERPOWERED
GSE126044,ici,CDH1,GC_reaction,16,epithelial_score,0.0647058823529411,0.8118214513105935,0.3644505351916436,0.1816977706699293,False,False,UNDERPOWERED
GSE126044,ici,CDH1,HEV_stroma,16,epithelial_score,-0.3823529411764705,0.1438592495438904,-0.0338571807941752,0.9046530846234642,False,False,UNDERPOWERED
GSE126044,ici,CDH1,IFNg_Ayers,16,epithelial_score,-0.5676470588235295,0.0218145921437429,-0.2928412197454182,0.2894991098319612,False,False,UNDERPOWERED
GSE126044,ici,CDH1,Myeloid,16,epithelial_score,-0.65,0.0064157065211752,-0.4348152070296808,0.1052925268447926,False,False,UNDERPOWERED
GSE126044,ici,CDH1,Plasma_cell,16,epithelial_score,-0.1352941176470588,0.6173674089706421,0.0006288260648515,0.9982254088154134,False,False,UNDERPOWERED
GSE126044,ici,CDH1,TLS_12chemokine,16,epithelial_score,-0.6029411764705882,0.0134241253978913,-0.392401644773765,0.147978509177198,False,False,UNDERPOWERED
GSE126044,ici,CDH1,TLS_Cabrita,16,epithelial_score,-0.2941176470588235,0.268846554622893,-0.0477889504360975,0.8656990668485997,False,False,UNDERPOWERED
GSE126044,ici,CDH1,TLS_imprint,16,epithelial_score,-0.5147058823529412,0.0413458064422489,-0.203749889604921,0.4663961175872947,False,False,UNDERPOWERED
GSE126044,ici,CDH1,T_cell_CD8,16,epithelial_score,-0.6352941176470589,0.008182064616334,-0.346262607638045,0.2061279224309288,False,False,UNDERPOWERED
