interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
APP_CD74	APP	APP	CD74	other	q4q1	2	33	0.2753322458008018	0.2436704752018514	0.0368716162505978	8.1843078130862e-14	2.3283064365386963e-10	0.0	GSE123902+GSE205335
MDK_NCL	MK	MDK	NCL	other	q4q1	2	34	0.2158258764145338	0.1562843171885773	0.0377074578141644	1.0423361650307169e-08	2.9453076422214508e-08	0.0	GSE123902+GSE205335
LAMB2_CD44	LAMININ	LAMB2	CD44	other	q4q1	2	25	0.1224452460274879	0.1069168963000996	0.0251277482325957	1.0996653991245475e-06	1.132488250732422e-06	0.0	GSE123902+GSE205335
CCL20_CCR6	CCL	CCL20	CCR6	other	q4q1	2	8	0.005944776229968	0.0059475182063171	0.0013015050238008	4.933007742861765e-06	0.0078125	43.22890671041663	GSE123902+GSE205335
THBS1_CD47	THBS	THBS1	CD47	other	q4q1	2	21	0.0408857468741991	0.0324082452076371	0.0089785323613616	5.270481374594733e-06	1.9073486328125e-06	0.0	GSE123902+GSE205335
THBS3_CD47	THBS	THBS3	CD47	other	q4q1	2	17	0.0337731472087859	0.024681101170257	0.0078715672898934	1.782521386252614e-05	1.52587890625e-05	0.0	GSE123902+GSE205335
COL4A4_CD44	COLLAGEN	COL4A4	CD44	other	q4q1	2	16	0.0633950932235425	0.0446112343585128	0.0147794655911304	1.791535354020459e-05	6.103515625e-05	0.0	GSE123902+GSE205335
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	q4q1	1	11	0.1344063823417355	0.1197199917478012	0.031438005650564	1.908943487402101e-05	0.0009765625	0.0	GSE205335
HLA-E_KLRK1	MHC-I	HLA-E	KLRK1	inhibitory	q4q1	1	19	0.1361307289620751	0.1292219097091843	0.0326033175358354	2.9750952583312304e-05	0.0014114379882812	0.0	GSE205335
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	q4q1	2	27	0.119121026760102	0.1401482220742139	0.0303081444449669	8.482915118131418e-05	0.0013849586248397	0.0	GSE123902+GSE205335
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	q4q1	2	28	0.0917559850679521	0.1068278943974019	0.0235960025774318	0.0001008141044522	0.0026621222496032	0.0	GSE123902+GSE205335
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	q4q1	2	18	0.0741334640863987	0.073253570909614	0.0191252934895062	0.0001061004501194	7.62939453125e-06	62.44322946787153	GSE123902+GSE205335
