interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
IL16_CD4	IL16	IL16	CD4	other	median	1	3	-0.22946945809237917	-0.22416153272105008	0.008491881186182614	8.103308434079937e-161	0.25	0.0	GSE205335
DLL4_NOTCH1	NOTCH	DLL4	NOTCH1	other	median	1	2	0.0005770924933962873	0.0005770924933962873	4.772942003127109e-05	1.1796155082632932e-33	0.5	0.0	GSE205335
LAMB3_CD44	LAMININ	LAMB3	CD44	other	median	2	27	0.28009642578278077	0.2546849133789688	0.0360091136677881	7.339699035760148e-15	1.4901161193847656e-08	0.0	GSE123902+GSE205335
APP_CD74	APP	APP	CD74	other	median	2	33	0.23019073308673607	0.18134554215033005	0.03287161453171525	2.5103911386498627e-12	4.656612873077393e-10	0.0	GSE123902+GSE205335
CLDN3_CLDN3	CLDN	CLDN3	CLDN3	barrier	median	1	4	0.01742636390003185	0.01975731328480476	0.0025999182221537014	2.046614246794383e-11	0.125	0.0	GSE205335
SIRPG_CD47	SIRP	SIRPG	CD47	other	median	1	4	-0.3127229045727053	-0.2781522967232656	0.047043415282927596	2.980354614265675e-11	0.25	0.0	GSE205335
COL9A3_CD44	COLLAGEN	COL9A3	CD44	other	median	1	6	0.028208433640646065	0.02827798830482748	0.004369040950281101	1.0719742566509315e-10	0.03125	0.0	GSE205335
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	median	2	31	0.11824667654015816	0.09166861959524975	0.020490817548925632	7.89356897407172e-09	9.313225746154785e-10	40.311564690802285	GSE123902+GSE205335
LAMA3_CD44	LAMININ	LAMA3	CD44	other	median	2	19	0.12442161970327426	0.12447857397855432	0.02172027465252909	1.0140434168296354e-08	1.9073486328125e-05	0.0	GSE123902+GSE205335
LAMC2_CD44	LAMININ	LAMC2	CD44	other	median	2	26	0.2049076006376986	0.17332505184621178	0.0364598193979134	1.908539410098913e-08	1.2290322210248409e-05	11.720019672046336	GSE123902+GSE205335
LAMB2_CD44	LAMININ	LAMB2	CD44	other	median	2	26	0.10187151676233659	0.07426382062546943	0.01963851276004757	2.1332640949364335e-07	1.6391277313232422e-06	0.0	GSE123902+GSE205335
MDK_NCL	MK	MDK	NCL	other	median	2	34	0.18044156044063192	0.13614766959525687	0.03499491534241967	2.5198182007269326e-07	4.3190084397792816e-08	0.0	GSE123902+GSE205335
ICAM1_SPN	ICAM	ICAM1	SPN	other	median	2	23	0.11697819347712331	0.11533870015144759	0.02278559088196963	2.83848693814222e-07	7.152557373046875e-07	42.811375975267886	GSE123902+GSE205335
LTA_TNFRSF14	LT	LTA	TNFRSF14	attack	median	1	3	-0.08049134167448961	-0.08688298021869308	0.016560955002144044	1.172032793497374e-06	0.25	0.0	GSE205335
CX3CL1_CX3CR1	CX3C	CX3CL1	CX3CR1	other	median	1	3	0.02779187823478223	0.030657320274845235	0.005727676532249211	1.220944343842056e-06	0.25	0.0	GSE205335
IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	median	2	19	0.12259767553155382	0.09051138317454137	0.02725826469367811	6.871412029235255e-06	9.5367431640625e-05	0.0	GSE123902+GSE205335
THY1_ADGRE5	ADGRE	THY1	ADGRE5	other	median	1	3	-0.16611865185017294	-0.12760372458614913	0.03851492726402381	1.6098279047206665e-05	0.5	0.0	GSE123902
THBS1_CD47	THBS	THBS1	CD47	other	median	2	21	0.026955555951385962	0.019456435763874447	0.006331927363529112	2.071091963572285e-05	4.100799560546875e-05	0.0	GSE123902+GSE205335
LTA_TNFRSF1B	LT	LTA	TNFRSF1B	attack	median	1	3	-0.040807390503794665	-0.04954097786228483	0.009634664597033302	2.2806808048308754e-05	0.25	0.0	GSE205335
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	median	2	19	0.06401975227312134	0.05790835016838074	0.015166828379926837	2.431804078598787e-05	3.814697265625e-06	30.045178022424096	GSE123902+GSE205335
COL4A4_CD44	COLLAGEN	COL4A4	CD44	other	median	2	16	0.08136542476706701	0.054046477780496135	0.019493942565674258	2.994523041364643e-05	0.000152587890625	0.0	GSE123902+GSE205335
MPZL1_MPZL1	MPZ	MPZL1	MPZL1	other	median	2	4	0.001157975374654167	0.0011637872190019122	0.00028197472567078724	4.0141497906493366e-05	0.125	0.0	GSE123902+GSE205335
BTLA_TNFRSF14	BTLA	BTLA	TNFRSF14	other	median	1	3	-0.03856947378590469	-0.03146333604725458	0.009531544479863057	5.198728369895463e-05	0.25	0.0	GSE205335
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	median	1	11	0.10833579933443777	0.08649545886625477	0.02717253496073556	6.692541396218167e-05	0.0009765625	0.0	GSE205335
