unit	interaction_name	pathway_name	lr_class	n	mean	sd	se	median	wilcoxon_p
GSE123902	AGRN_DAG1	AGRN	other	1	0.0033228135551172967			0.0033228135551172967	
GSE123902	ANGPTL4_SDC2	ANGPTL	other	1	0.0020470009973328133			0.0020470009973328133	
GSE123902	ANGPTL4_SDC4	ANGPTL	other	6	0.0019020676175975587	0.0025464127167739983	0.0010395686384384259	0.0012774332002105395	0.09375
GSE123902	ANXA1_FPR1	ANNEXIN	other	1	0.004994303675201855			0.004994303675201855	
GSE123902	ANXA1_FPR3	ANNEXIN	other	2	0.039407492918602384	0.021070054034031917	0.014898778087430939	0.039407492918602384	0.5
GSE123902	APP_CD74	APP	other	13	0.26575048964518094	0.19021618261790327	0.05275647691168248	0.21769286455989614	0.000244140625
GSE123902	APP_SORL1	APP	other	8	0.06510205286701035	0.06388353578541103	0.022586240680018806	0.03121060117737307	0.0078125
GSE123902	AREG_EGFR	EGF	other	1	0.003626979471824346			0.003626979471824346	
GSE123902	BAG6_NCR3-PS	BAG	other	2	0.004637764560463183	0.0025706582799529683	0.00181772990186809	0.004637764560463183	0.5
GSE123902	C3_C3AR1	COMPLEMENT	other	5	0.005628439604001813	0.00862888579070306	0.003858955039618813	0.005466603468021037	0.3125
GSE123902	CADM1_CADM1	CADM	barrier	2	0.0007501731911946146	0.002799721695272277	0.0019797021961621237	0.0007501731911946146	1.0
GSE123902	CCL20_CCR6	CCL	other	5	0.0049701860639514706	0.002294803934883594	0.0010262675186867433	0.005030883137035277	0.0625
GSE123902	CD55_ADGRE5	ADGRE	other	12	0.11634870602562646	0.09740557034288391	0.028118566129016528	0.11857704490133594	0.00244140625
GSE123902	CD70_CD27	CD70	other	2	0.001842750239844453	0.010021024145381632	0.007085934127633479	0.001842750239844453	1.0
GSE123902	CD86_CD28	CD86	inhibitory	1	-0.0026263962239525553			-0.0026263962239525553	
GSE123902	CD86_CTLA4	CD86	inhibitory	2	-0.0019618438490883834	0.0013968257332008626	0.0009877049480822011	-0.0019618438490883834	0.5
GSE123902	CD99_CD99	CD99	other	13	0.03997997035800394	0.18133912708826033	0.050294424689584886	0.01888171986143114	0.2734375
GSE123902	CD99_CD99L2	CD99	other	1	0.0003451069663486121			0.0003451069663486121	
GSE123902	CD99_PILRA	CD99	other	1	0.0016199154878164543			0.0016199154878164543	
GSE123902	CDH1_CDH1	CDH	barrier|inhibitory	1	0.014884491962370336			0.014884491962370336	
GSE123902	CDH1_KLRG1	CDH1	barrier|inhibitory	2	0.05574308831289175	0.02220248968207035	0.0156995310134163	0.05574308831289175	0.5
GSE123902	CEACAM1_CEACAM5	CEACAM	barrier	1	-0.0011102443196576671			-0.0011102443196576671	
GSE123902	CEACAM1_CEACAM6	CEACAM	barrier	2	-0.012797616068110553	0.027885184823461757	0.019717803283310006	-0.012797616068110553	1.0
GSE123902	CEACAM5_CEACAM6	CEACAM	barrier	3	0.05692448958184834	0.0904283220946794	0.052208816103729336	0.008160372970096657	0.25
GSE123902	CEACAM6_CEACAM6	CEACAM	barrier	3	0.0928359288412947	0.06658371588312294	0.038442126288766594	0.0959477856780625	0.25
GSE123902	CLDN3_CLDN3	CLDN	barrier	1	0.07792005157518386			0.07792005157518386	
