interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
RAET1L_KLRK1	MHC-I	RAET1L	KLRK1	other	tertile	1	2	0.0016835344573674325	0.0016835344573674325	3.106891942954637e-05	0.0	0.5	0.0	GSE205335
DLL3_NOTCH2	NOTCH	DLL3	NOTCH2	other	tertile	1	2	0.0003349370862811916	0.0003349370862811916	2.3467330674097743e-06	0.0	0.5	0.0	GSE205335
LTA_TNFRSF1B	LT	LTA	TNFRSF1B	attack	tertile	1	2	-0.05042842178893643	-0.05042842178893643	0.0008874439266516007	0.0	0.5	0.0	GSE205335
IL16_CD4	IL16	IL16	CD4	other	tertile	1	2	-0.2369975212781375	-0.2369975212781375	0.0142746192676354	6.660202089929653e-62	0.5	0.0	GSE205335
LTA_TNFRSF14	LT	LTA	TNFRSF14	attack	tertile	1	2	-0.09616188352069673	-0.09616188352069673	0.00927890330200365	3.634280600023911e-25	0.5	0.0	GSE205335
CX3CL1_CX3CR1	CX3C	CX3CL1	CX3CR1	other	tertile	1	3	0.03615080871891314	0.03317851224806986	0.0041397717599750625	2.489702712119858e-18	0.25	0.0	GSE205335
APP_CD74	APP	APP	CD74	other	tertile	2	33	0.25365996771894667	0.18857012650646887	0.03616998670498256	2.3326832394020634e-12	2.3283064365386963e-10	0.0	GSE123902+GSE205335
CLDN3_CLDN3	CLDN	CLDN3	CLDN3	barrier	tertile	1	4	0.024984833006288287	0.02824826595632435	0.0037378963658011165	2.321954135615643e-11	0.125	0.0	GSE205335
HSPG2_DAG1	HSPG	HSPG2	DAG1	other	tertile	1	3	1.1577811853825197e-05	1.3346960887879141e-05	1.7691490340539436e-06	5.978151947885309e-11	0.25	0.0	GSE205335
MDK_NCL	MK	MDK	NCL	other	tertile	2	34	0.19369843251567867	0.13469312352909354	0.03704734701483625	1.7098119167330556e-07	1.2444797903299332e-07	0.0	GSE123902+GSE205335
SIRPG_CD47	SIRP	SIRPG	CD47	other	tertile	1	2	-0.2781522967232656	-0.2781522967232656	0.055261813064780375	4.819706008562361e-07	0.5	0.0	GSE205335
THBS3_CD47	THBS	THBS3	CD47	other	tertile	2	17	0.031282385759957426	0.02092095946407288	0.006537444028800854	1.7089410848933189e-06	1.52587890625e-05	0.0	GSE123902+GSE205335
LAMB2_CD44	LAMININ	LAMB2	CD44	other	tertile	2	25	0.1119838063107138	0.05773293043705027	0.02457802045708727	5.2072929917173215e-06	4.172325134277344e-07	0.0	GSE123902+GSE205335
CCL20_CCR6	CCL	CCL20	CCR6	other	tertile	2	7	0.006223237054415911	0.006392732059085061	0.0013753320396119636	6.042466998243851e-06	0.015625	0.0	GSE123902+GSE205335
