interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_q1	n_q4	n_compared	mean_delta	se	p_meta	i2	units
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	between_q4q1_given_pct	1	2	2	4	-0.41523758454202586	0.05347534441075271	8.162673307628324e-15	0.0	GSE205335
GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	between_q4q1_given_pct	1	2	3	5	0.05222255010151088	0.011540566917190829	6.035877499094361e-06	0.0	GSE123902
JAG1_NOTCH1	NOTCH	JAG1	NOTCH1	other	between_q4q1_given_pct	1	3	3	6	0.015274496634515558	0.003604424803665309	2.2581407800804382e-05	0.0	GSE205335
CD99_CD99	CD99	CD99	CD99	other	between_q4q1_given_pct	2	10	8	18	-0.3308677908680047	0.10742687978050763	0.0020704587972805713	0.0	GSE123902+GSE205335
HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	inhibitory	between_q4q1_given_pct	1	2	2	4	-0.34758569066101386	0.11685158691431526	0.002933793263618342	0.0	GSE205335
CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	other	between_q4q1_given_pct	2	9	4	13	-0.037298610126727146	0.012849904917614641	0.003700352101235686	0.0	GSE123902+GSE205335
SPP1_CD44	SPP1	SPP1	CD44	other	between_q4q1_given_pct	1	4	2	6	-0.29995880383255935	0.10408624441377697	0.003953736804968025	0.0	GSE123902
HLA-E_CD8A	MHC-I	HLA-E	CD8A	inhibitory	between_q4q1_given_pct	2	9	6	15	-0.3115722244730911	0.12316674590549916	0.011416720299743067	0.0	GSE123902+GSE205335
LAMA3_CD44	LAMININ	LAMA3	CD44	other	between_q4q1_given_pct	1	5	2	7	0.4662943314950686	0.18675288127064124	0.012530119056288785	0.0	GSE205335
C3_C3AR1	COMPLEMENT	C3	C3AR1	other	between_q4q1_given_pct	1	2	3	5	0.014968594811057005	0.0062121488641931856	0.01597142157937643	0.0	GSE123902
ICAM1_SPN	ICAM	ICAM1	SPN	other	between_q4q1_given_pct	2	9	4	13	0.04311256910710808	0.020660505784870803	0.03691398431048972	0.0	GSE123902+GSE205335
APP_SORL1	APP	APP	SORL1	other	between_q4q1_given_pct	2	6	6	12	0.11521168988394204	0.05640816813946677	0.04110546163890662	0.0	GSE123902+GSE205335
HLA-G_CD8A	MHC-I	HLA-G	CD8A	inhibitory	between_q4q1_given_pct	1	3	2	5	-0.21330871651178324	0.10738109502556453	0.04698178816483713	0.0	GSE123902
HLA-G_CD8B	MHC-I	HLA-G	CD8B	inhibitory	between_q4q1_given_pct	1	3	2	5	-0.1324836158927776	0.06939027667248561	0.05622942133535085	0.0	GSE123902
JAG1_NOTCH2	NOTCH	JAG1	NOTCH2	other	between_q4q1_given_pct	1	2	2	4	0.019465920554025157	0.010407626020306895	0.06143500073931248	0.0	GSE205335
HLA-E_CD8B	MHC-I	HLA-E	CD8B	inhibitory	between_q4q1_given_pct	2	9	5	14	-0.27660425564070706	0.15076370389953353	0.0665520323523224	17.37376937682469	GSE123902+GSE205335
HLA-E_KLRK1	MHC-I	HLA-E	KLRK1	inhibitory	between_q4q1_given_pct	1	6	4	10	-0.23774832657378706	0.13063876962074925	0.06877559937110062	0.0	GSE205335
HLA-DMB_CD4	MHC-II	HLA-DMB	CD4	other	between_q4q1_given_pct	1	3	2	5	0.0703387872494218	0.04403315087578014	0.11017539857447776	0.0	GSE123902
COL1A1_SDC4	COLLAGEN	COL1A1	SDC4	other	between_q4q1_given_pct	1	2	3	5	0.03369574853030747	0.021432989146042362	0.11591712412753537	0.0	GSE123902
HLA-DQB1_CD4	MHC-II	HLA-DQB1	CD4	other	between_q4q1_given_pct	1	3	3	6	0.1567519001574404	0.1028493548066381	0.12748567914437298	0.0	GSE123902
HLA-B_CD8A	MHC-I	HLA-B	CD8A	other	between_q4q1_given_pct	2	9	6	15	-0.17446067065618584	0.12208989900663456	0.153017876337655	19.154279166006383	GSE123902+GSE205335
THBS3_CD47	THBS	THBS3	CD47	other	between_q4q1_given_pct	1	3	3	6	0.07039466539822901	0.05319841561511657	0.18575311609702339	0.0	GSE205335
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	between_q4q1_given_pct	2	9	4	13	-0.15145693303395788	0.12319520365610988	0.21891958988992544	0.0	GSE123902+GSE205335
LAMB2_CD44	LAMININ	LAMB2	CD44	other	between_q4q1_given_pct	2	5	4	9	0.04754000699756736	0.03890884971675152	0.22177185166763935	25.674514299553163	GSE123902+GSE205335
