unit	patient_id	n_mal	n_tnk	mean_cldn4_mal	eligible_allmal	eligible_q4q1	n_high_q4q1	n_low_q4q1	eligible_median	n_high_median	n_low_median	eligible_tertile	n_high_tertile	n_low_tertile
GSE123902	LX255B	228	1583	0.6296208500862122	1	1	57	148	1	80	148	1	76	148
GSE123902	LX653	145	49	1.120678186416626	1	1	37	41	1	72	73	1	49	49
GSE123902	LX661	117	3726	0.8766599297523499	1	1	30	48	1	58	59	1	39	48
GSE123902	LX666	786	177	0.5365508794784546	1	1	197	258	1	393	393	1	262	262
GSE123902	LX675	618	1336	0.45904749631881714	1	1	155	424	1	194	424	1	618	424
GSE123902	LX676	147	2606	0.8125919699668884	1	1	37	85	1	62	85	1	49	85
GSE123902	LX679	497	625	0.6691076755523682	1	1	125	282	1	215	282	1	166	282
GSE123902	LX680	258	344	1.4166302680969238	1	1	65	69	1	129	129	1	86	86
GSE123902	LX681	1207	86	0.877030074596405	1	1	302	443	1	603	604	1	403	443
GSE123902	LX682	421	2558	0.3985236883163452	1	1	421	342	1	79	342	1	421	342
GSE123902	LX684	173	92	1.0047460794448853	1	1	44	47	1	86	87	1	58	58
GSE123902	LX699	46	2263	0.28082096576690674	1	1	46	39	0	0	0	1	46	39
GSE123902	LX701	90	322	0.2421078383922577	1	1	90	80	1	10	80	1	90	80
GSE205335	P0031	319	5182	0.9488405585289001	1	1	80	130	1	158	161	1	107	130
GSE205335	P1006	1282	2998	1.338077425956726	1	1	321	331	1	641	641	1	428	428
GSE205335	P1015	291	473	0.7684376239776611	1	1	73	170	1	121	170	1	97	170
GSE205335	P1016	5336	763	1.4550707340240479	1	1	1334	1334	1	2668	2668	1	1779	1779
GSE205335	P1017	2186	2370	1.446833848953247	1	1	547	780	1	1093	1093	1	729	780
GSE205335	P1018	1180	2546	1.4567127227783203	1	1	295	389	1	590	590	1	394	394
GSE205335	P1025	980	128	1.694045066833496	1	1	246	245	1	490	490	1	327	327
GSE205335	P1027	1318	2619	2.1198792457580566	1	1	330	330	1	659	659	1	440	440
GSE205335	P1030	603	140	1.6170852184295654	1	1	151	231	1	301	302	1	201	231
GSE205335	P1037	3671	611	0.9543756246566772	1	1	918	918	1	1835	1836	1	1224	1224
GSE205335	P1056	2386	1354	0.8104878067970276	1	1	597	1200	1	1186	1200	1	796	1200
GSE205335	P1062	188	1934	0.9858523607254028	1	1	47	103	1	85	103	1	63	103
GSE205335	P1063	131	3144	0.7369170188903809	1	1	33	85	1	46	85	1	44	85
GSE205335	P1072	406	586	0.9359386563301086	1	1	102	167	1	203	203	1	136	167
GSE205335	P1076	849	2089	0.9238031506538391	1	1	213	345	1	424	425	1	283	345
GSE205335	P1079	543	501	0.9667482972145081	1	1	136	264	1	271	272	1	181	264
GSE205335	P1084	196	2350	2.256213903427124	1	1	49	49	1	98	98	1	66	66
GSE205335	P1089	1063	272	2.1514415740966797	1	1	266	266	1	531	532	1	355	355
GSE205335	P1090	566	247	0.6880064606666565	1	1	142	350	1	216	350	1	189	350
GSE205335	P1115	3769	271	1.622982144355774	1	1	943	943	1	1884	1885	1	1257	1257
GSE205335	P1119	1222	621	0.5610693097114563	1	1	306	781	1	441	781	1	408	781
GSE205335	P4001	27	1801	0.7331695556640625	1	0	0	0	1	13	14	0	0	0
