unit	unit_col	animal	mouse_id	genotype	week	timesimple	n_cells	n_tumors	Cldn4_mean	Cldn4_pct_pos	IFN_mean	MHC-I/APM_mean	TJ_mean	Epcam_mean	Ptprc_pct_pos	any_tnk_marker_pct
KP_12w_ND_m1	mouseID	KP_12w_ND_m1	1	KP	12w	06_KP_12w_ND	131	1	4.012416809259207	0.6870229007633588	1.5458180641333383	2.5138229225848043	2.4234457200424684	7.586301677465009	0.007633587786259542	0.04580152671755725
KP_12w_ND_m2	mouseID	KP_12w_ND_m2	1	KP	12w	06_KP_12w_ND	124	1	4.941851472271285	0.7580645161290323	1.8075594245904014	3.073036334800986	2.6003128467404433	7.162665176106438	0.04032258064516129	0.056451612903225805
KP_12w_ND_m3	mouseID	KP_12w_ND_m3	1	KP	12w	06_KP_12w_ND	74	1	4.575462543329693	0.7702702702702703	1.5910848183264783	2.5548054844466805	2.4759648119020587	7.603092603679691	0.013513513513513514	0.02702702702702703
KP_12w_ND_m4	mouseID	KP_12w_ND_m4	1	KP	12w	06_KP_12w_ND	62	1	3.713092031824252	0.43548387096774194	1.6179666826682249	3.091274189754563	2.2178261931585186	6.364098839211003	0.016129032258064516	0.03225806451612903
KP_12w_ND_m5	mouseID	KP_12w_ND_m5	1	KP	12w	06_KP_12w_ND	48	1	4.505916668124287	0.6666666666666666	1.3219530991241253	2.2816010417194756	2.1746935086935797	7.243096943701468	0.1875	0.375
KP_12w_ND_m6	mouseID	KP_12w_ND_m6	1	KP	12w	06_KP_12w_ND	52	1	3.4517444009702967	0.5192307692307693	1.5353480691469932	2.9239344913440917	2.1543887836065445	7.5942448417687265	0.1346153846153846	0.4807692307692308
KP_20w_ND_m2	mouseID	KP_20w_ND_m2	1	KP	20w	07_KP_20w_ND	43	1	4.556387791013466	0.7441860465116279	1.6249822578987756	2.99968348034414	2.2746481464999797	7.302877974501868	0.023255813953488372	0.06976744186046512
KP_20w_ND_m3	mouseID	KP_20w_ND_m3	1	KP	20w	07_KP_20w_ND	60	1	5.958287187039804	0.8166666666666667	1.7151533619333073	3.1462698734725185	2.3969316400435328	7.555402503661901	0.016666666666666666	0.016666666666666666
KP_20w_ND_m4	mouseID	KP_20w_ND_m4	1	KP	20w	07_KP_20w_ND	173	1	3.0143118199471437	0.5606936416184971	1.6141872192378	2.6021127042392114	2.3255618350548053	7.304833145362567	0.10982658959537572	0.1329479768786127
KP_20w_ND_m5	mouseID	KP_20w_ND_m5	1	KP	20w	07_KP_20w_ND	126	1	1.4945639439444076	0.31746031746031744	1.3589000609565132	2.1833106934131994	1.7500283400509358	6.152595897145051	0.007936507936507936	0.007936507936507936
KP_20w_ND_m6	mouseID	KP_20w_ND_m6	1	KP	20w	07_KP_20w_ND	136	1	1.5981494486128138	0.33088235294117646	1.7683516679851068	3.058733553396213	2.2052373096215576	7.429937772027098	0.014705882352941176	0.029411764705882353
KP_2w_ND_m1	mouseID	KP_2w_ND_m1	1	KP	2w	02_KorKP_early_ND	4	1	0.5859973371013006	0.25	1.9179668150754292	4.267474371915267	2.0515001532532704	6.782984670534069	0.0	0.0
KP_2w_ND_m2	mouseID	KP_2w_ND_m2	1	KP	2w	02_KorKP_early_ND	27	1	1.6224947511610195	0.2962962962962963	1.4905419622804532	3.3402391265788776	1.9614774252225662	5.7278157629481985	0.0	0.0
KP_30w_ND_m1_T1	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	130	1	2.1863470785666927	0.35384615384615387	1.1447719154838616	1.9539058705296912	1.7853174236273983	4.631077858181987	0.023076923076923078	0.03076923076923077
KP_30w_ND_m1_T2	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	185	1	3.135068970629026	0.4918918918918919	1.1839800594648822	1.8506096514287649	1.832414800473766	5.266421833880771	0.03783783783783784	0.04864864864864865
KP_30w_ND_m1_T3	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	97	1	2.0071095712871294	0.30927835051546393	0.9556889124822939	1.430764138505864	1.5615662311580627	3.7528857066039962	0.0	0.0
KP_30w_ND_m1_T4	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	108	1	4.373573596783185	0.6111111111111112	1.3979605463714682	2.3887077955958556	2.0277362546746938	6.743238248946462	0.027777777777777776	0.027777777777777776
KP_30w_ND_m2_T1	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	208	1	7.066357349166648	0.9567307692307693	1.5632730618856796	2.2680129456049465	2.674695954748203	7.9013283812650075	0.004807692307692308	0.028846153846153848
KP_30w_ND_m2_T2	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	224	1	4.219402633658119	0.6830357142857143	1.4496310339248808	2.359439030932999	2.2735224161754912	6.431932858004431	0.03125	0.04017857142857143
KP_30w_ND_m2_T3	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	60	1	3.4541096235148796	0.6	1.721929533814555	2.9429002824691883	2.331223265030164	7.2389080005422475	0.0	0.0
KP_30w_ND_m2_T4	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	77	1	3.886592963377894	0.6103896103896104	1.3091249051718514	2.359703335977454	1.9210484281426874	6.2811423847730925	0.025974025974025976	0.03896103896103896
KP_30w_ND_m2_T5	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	50	1	6.267764217923194	0.9	1.4941134340816689	2.157092133633172	2.402667464508008	7.864276542740303	0.0	0.02
KP_30w_ND_m3_T1	mouseID	KP_30w_ND_m3	1	KP	30w	08_KP_30w_ND	140	1	6.374255625729314	0.8928571428571429	1.6083115253899734	2.582449265020211	2.5726243469139525	8.518087507854268	0.007142857142857143	0.007142857142857143
KP_30w_ND_m3_T7	mouseID	KP_30w_ND_m3	1	KP	30w	08_KP_30w_ND	141	1	2.114427541871833	0.3900709219858156	1.5592834960136321	2.5936835746819025	2.199454400635368	5.877929430167322	0.0070921985815602835	0.0070921985815602835
KP_30w_ND_m3_T9	mouseID	KP_30w_ND_m3	1	KP	30w	08_KP_30w_ND	134	1	4.715999037988753	0.7238805970149254	1.6620250506922762	2.851690647795646	2.3876646978010276	8.034715466772019	0.07462686567164178	0.08955223880597014
K_12w_ND_m1	mouseID	K_12w_ND_m1	1	K	12w	04_K_12w_ND	155	1	4.861093344289153	0.6064516129032258	1.5443282796115652	3.2774144905639244	2.1513431182049243	7.133502052558127	0.012903225806451613	0.01935483870967742
K_12w_ND_m2	mouseID	K_12w_ND_m2	1	K	12w	04_K_12w_ND	141	1	1.7035686123621507	0.24113475177304963	1.403152281807659	2.9400920291711987	1.879541031340272	5.897489356793216	0.0	0.0
K_12w_ND_m3	mouseID	K_12w_ND_m3	1	K	12w	04_K_12w_ND	159	1	1.6140514380544388	0.27672955974842767	1.7347175575736853	3.8739132894692196	2.0858423451971517	6.395973244470921	0.025157232704402517	0.031446540880503145
K_2w_ND_m3	mouseID	K_2w_ND_m3	1	K	2w	02_KorKP_early_ND	58	1	2.4262619895943285	0.39655172413793105	2.0721167901286504	4.797228532959403	2.3273611065588855	6.11116426700646	0.1896551724137931	0.2413793103448276
