clusterK12	n_cells	Cldn4_mean	Cldn4_pct_pos	Epcam_mean	Ptprc_pct
1	652	0.5586276436643768	0.11809815950920245	5.578017203845686	0.027607361963190184
2	285	0.19682654240928527	0.05263157894736842	5.6908060940147385	0.028070175438596492
3	193	4.100595822851235	0.6632124352331606	7.154600449586836	0.02072538860103627
4	315	1.408900713629231	0.32063492063492066	6.691277940325381	0.0380952380952381
5	765	7.94205370541339	0.9764705882352941	8.164816896394044	0.02875816993464052
6	158	4.367115386804706	0.7088607594936709	6.991159837230111	0.05063291139240506
7	36	1.7783376710733236	0.4166666666666667	8.141357589562183	0.08333333333333333
8	617	2.4447709818021814	0.526742301458671	7.524530038770633	0.04213938411669368
9	375	1.050404129012281	0.224	3.980180390090239	0.02666666666666667
10	217	6.188727540353717	0.9354838709677419	7.64144320947818	0.009216589861751152
11	89	1.130525834514643	0.23595505617977527	0.6195651506027182	0.02247191011235955
12	189	4.25765648999081	0.6984126984126984	7.371713017768618	0.037037037037037035
