cohort,signature,n,rho,p,q
LUAD,ifna_z,80,0.34474149957243183,0.0017390041920980913,0.009315852330654321
LUAD,ifng_z,80,0.25899272145146796,0.020353014750606916,0.030529522125910376
SCLC,ifna_z,59,0.3786399665818732,0.003105284110218107,0.009315852330654321
SCLC,ifng_z,59,0.35051459805034957,0.006495084583698718,0.012990169167397436
LUSC,ifna_z,27,0.29120879120879123,0.14055639333917977,0.1686676720070157
LUSC,ifng_z,27,0.24236874236874237,0.22320307469992504,0.22320307469992504
