dataset,cell_line,ifn_type,timepoint,gene,sample_id,arm,value,scale
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128884,treated,6.949534933017012,array_log2
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128890,treated,6.95303237725324,array_log2
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128899,treated,5.640967910449898,array_log2
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128908,treated,5.593951283948411,array_log2
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128888,control,5.4495613746132365,array_log2
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128893,control,5.462706750670158,array_log2
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128902,control,7.2259304111710545,array_log2
GSE5542,A549,IFNA,6hr,TACSTD2,GSM128911,control,6.187846909439575,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128884,treated,13.80664024068772,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128890,treated,14.053247125912426,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128899,treated,13.663669281733675,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128908,treated,13.184999280457511,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128888,control,8.649256177517314,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128893,control,7.092757140919852,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128902,control,7.916476644437717,array_log2
GSE5542,A549,IFNA,6hr,MX1,GSM128911,control,7.982423226775876,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128884,treated,14.168021756053344,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128890,treated,14.203325059173897,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128899,treated,14.247786618376244,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128908,treated,13.884971793797673,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128888,control,8.489847960439297,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128893,control,8.629720891017257,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128902,control,7.911092331587135,array_log2
GSE5542,A549,IFNA,6hr,ISG15,GSM128911,control,8.426264754702098,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128884,treated,12.460946128885233,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128890,treated,12.580699578900289,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128899,treated,12.237215407299427,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128908,treated,12.320504769305922,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128888,control,10.230286725831792,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128893,control,10.213862302254228,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128902,control,10.071294743752468,array_log2
GSE5542,A549,IFNA,6hr,STAT1,GSM128911,control,9.891405522087094,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128884,treated,7.92955431573285,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128890,treated,8.723148957047579,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128899,treated,8.622417939250472,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128908,treated,7.83035674741922,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128888,control,7.330020515836084,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128893,control,8.381110294099054,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128902,control,7.22881869049588,array_log2
GSE5542,A549,IFNA,6hr,CXCL10,GSM128911,control,7.87528859822269,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128885,treated,6.693486957499325,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128891,treated,7.500642736062805,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128900,treated,7.11582397743624,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128909,treated,5.205548911173033,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128888,control,5.4495613746132365,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128893,control,5.462706750670158,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128902,control,7.2259304111710545,array_log2
GSE5542,A549,IFNG,6hr,TACSTD2,GSM128911,control,6.187846909439575,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128885,treated,10.006185799946294,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128891,treated,10.105777586565452,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128900,treated,9.704595347632404,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128909,treated,10.003658450323208,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128888,control,8.649256177517314,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128893,control,7.092757140919852,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128902,control,7.916476644437717,array_log2
GSE5542,A549,IFNG,6hr,MX1,GSM128911,control,7.982423226775876,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128885,treated,10.79603960882977,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128891,treated,10.608069967721663,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128900,treated,10.919980595048962,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128909,treated,10.831782257264353,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128888,control,8.489847960439297,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128893,control,8.629720891017257,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128902,control,7.911092331587135,array_log2
GSE5542,A549,IFNG,6hr,ISG15,GSM128911,control,8.426264754702098,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128885,treated,12.371258439821155,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128891,treated,12.500514775329052,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128900,treated,12.071666371482873,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128909,treated,12.281905442362412,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128888,control,10.230286725831792,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128893,control,10.213862302254228,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128902,control,10.071294743752468,array_log2
GSE5542,A549,IFNG,6hr,STAT1,GSM128911,control,9.891405522087094,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128885,treated,9.462502272597265,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128891,treated,10.183635381473218,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128900,treated,10.327215788795229,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128909,treated,8.75187875229113,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128888,control,7.330020515836084,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128893,control,8.381110294099054,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128902,control,7.22881869049588,array_log2
GSE5542,A549,IFNG,6hr,CXCL10,GSM128911,control,7.87528859822269,array_log2
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128887,treated,7.352264173258321,array_log2
