dataset,cell_line,ifn_type,timepoint,scale,gene,primary,note,n_treated,n_control,mean_treated,mean_control,log2fc,p,isg_qc_pass,q
GSE156295,HTBE,IFNI,unspecified,log2CPM,CXCL10,False,,2,2,10.4494002258404,0.7531596148061794,9.69624061103422,0.005405358956650587,True,
GSE215771,A549_IRF1KO,IFNG,24h,log2TPM,CXCL10,False,,3,3,1.0682185936159372,0.0,1.0682185936159372,0.02412946418183487,True,
GSE215771,A549_NF2KO,IFNG,24h,log2TPM,CXCL10,False,,3,3,1.9718532677354166,0.0,1.9718532677354166,0.013546978317601259,True,
GSE5542,A549,IFNA+IFNG,24hr,array_log2,CXCL10,False,,4,4,11.579764575807264,8.30841772593942,3.271346849867845,0.011750285935003714,True,
GSE5542,A549,IFNA+IFNG,6hr,array_log2,CXCL10,False,,4,4,11.899354508004741,7.703809524663427,4.195544983341314,0.0001997205997667513,True,
GSE60572,A549,IFNB,24h_IFN_2b_100,array_log2,CXCL10,False,no matched 24h untreated samples deposited,3,0,6.6732551293333335,,,,False,
GSE60572,A549,IFNB,24h_IFN_2b_1000,array_log2,CXCL10,False,no matched 24h untreated samples deposited,3,0,6.8335097586666675,,,,False,
GSE109720,EBC-1,IFNG,unspecified,log2count,CXCL10,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,10.035916017603041,7.7104180348183,2.325497982784741,0.6386483052644583,True,
GSE109720,NCI-H1573,IFNG,unspecified,log2count,CXCL10,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,5.740529040421602,7.526364973190851,-1.785835932769249,0.7274520573057924,False,
GSE109720,NCI-H1993,IFNG,unspecified,log2count,CXCL10,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,6.2153109317661,5.843476399699488,0.37183453206661277,0.9351455365306324,False,
GSE109720,NCI-H596,IFNG,unspecified,log2count,CXCL10,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,0.3333333333333333,3.443265446073567,-3.1099321127402337,0.004396795614877995,False,
GSE156295,A549,IFNI,unspecified,log2CPM,CXCL10,True,,2,2,0.03942979492393502,0.0,0.03942979492393502,0.5000000000000001,True,
GSE178640,A549,IFNA2,DMSO_pretreated,log2CPM,CXCL10,True,,3,3,0.09866413384286893,0.0,0.09866413384286893,0.2611054128829242,True,
GSE215771,A549_WT,IFNG,24h,log2TPM,CXCL10,True,,3,3,1.240455078418057,0.0,1.240455078418057,0.07667459444070704,True,
GSE5542,A549,IFNA,24hr,array_log2,CXCL10,True,,4,4,8.12869070547515,8.30841772593942,-0.17972702046427003,0.6679990051123889,True,
GSE5542,A549,IFNA,6hr,array_log2,CXCL10,True,,4,4,8.27636948986253,7.703809524663427,0.5725599651991029,0.1565782075734364,True,
GSE5542,A549,IFNG,24hr,array_log2,CXCL10,True,,4,4,8.88053952148013,8.30841772593942,0.5721217955407116,0.02237489671971661,True,
GSE5542,A549,IFNG,6hr,array_log2,CXCL10,True,,4,4,9.68130804878921,7.703809524663427,1.9774985241257834,0.005652344452316765,True,
GSE60572,A549,IFNB,6h_IFN_2b_100,array_log2,CXCL10,True,,3,3,6.765818689333333,6.694255194666667,0.07156349466666612,0.574799037961625,True,
GSE60572,A549,IFNB,6h_IFN_2b_1000,array_log2,CXCL10,True,,3,3,6.696243609,6.694255194666667,0.0019884143333328552,0.979858597575339,True,
GSE156295,HTBE,IFNI,unspecified,log2CPM,ISG15,False,,2,2,10.655839139889594,3.7283040777839767,6.927535062105617,0.0021853455041403198,True,
GSE215771,A549_IRF1KO,IFNG,24h,log2TPM,ISG15,False,,3,3,8.242797310071799,2.3394495552719183,5.9033477547998805,0.00010752478815490031,True,
GSE215771,A549_NF2KO,IFNG,24h,log2TPM,ISG15,False,,3,3,8.704643347840276,4.014096989193024,4.690546358647253,1.229124717461696e-06,True,
GSE5542,A549,IFNA+IFNG,24hr,array_log2,ISG15,False,,4,4,15.258841830784267,8.670054102144135,6.588787728640131,1.6237762767863583e-07,True,
GSE5542,A549,IFNA+IFNG,6hr,array_log2,ISG15,False,,4,4,13.955109488113363,8.364231484436447,5.590878003676917,1.9565209907878375e-05,True,
GSE60572,A549,IFNB,24h_IFN_2b_100,array_log2,ISG15,False,no matched 24h untreated samples deposited,3,0,13.412042819999998,,,,False,
GSE60572,A549,IFNB,24h_IFN_2b_1000,array_log2,ISG15,False,no matched 24h untreated samples deposited,3,0,13.79751219,,,,False,
GSE109720,EBC-1,IFNG,unspecified,log2count,ISG15,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,12.644964831842152,11.068928482705118,1.5760363491370342,0.13276211123693202,True,
GSE109720,NCI-H1573,IFNG,unspecified,log2count,ISG15,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,9.250886942013972,11.443384211952855,-2.192497269938883,0.024926161022350034,False,
