gene,cohort,n,rho,p
STAT3,LUAD,51,-0.6037377263070657,2.731057976277137e-06
STAT3,SCLC,25,0.002311250817605121,0.9912516967442271
STAT3,LUSC,20,0.38496240601503756,0.09372546338767997
