Sample	Celltype (major-lineage)	n_cells
W1	B	374
W1	CD4Tconv	1550
W1	CD8T	1054
W1	DC	104
W1	Endothelial	53
W1	Epithelial	112
W1	Fibroblasts	76
W1	Mast	119
W1	Mono/Macro	114
W1	NK	192
W1	Treg	94
W2	B	109
W2	CD4Tconv	952
W2	CD8T	1222
W2	DC	192
W2	Endothelial	41
W2	Epithelial	211
W2	Fibroblasts	14
W2	Mast	75
W2	Mono/Macro	567
W2	NK	107
W2	Treg	33
W3	B	9
W3	CD4Tconv	1037
W3	CD8T	394
W3	DC	298
W3	Endothelial	40
W3	Epithelial	652
W3	Fibroblasts	42
W3	Mast	33
W3	Mono/Macro	907
W3	NK	213
W3	Treg	6
