contrast	unit	n_units	n_patients	rho	p	note
epithelial_CLDN4_mean_vs_fracTNK	nodule	3	1			Spearman not computed: n_nodules=3 < 5. n_patients=1. Descriptive only.
epithelial_CLDN4_pctpos_vs_fracTNK	nodule	3	1			Spearman not computed: n_nodules=3 < 5. n_patients=1. Descriptive only.
