Cell_subtype	n_cells
NA	30065
Malignant cells	24784
Naive CD4+ T	22527
Follicular B cells	22089
mo-Mac	13788
Alveolar Mac	13761
CD4+ Th	8945
NK	7748
Undetermined	5457
Treg	5166
CD8 low T	4926
Monocytes	4311
Exhausted CD8+ T	3798
MAST	3396
Naive CD8+ T	3374
Cytotoxic CD8+ T	3363
tS1	3270
tS2	3018
Pleural Mac	2979
CD8+/CD4+ Mixed Th	2568
MALT B cells	2420
AT2	2020
CD1c+ DCs	1782
COL14A1+ matrix FBs	1470
Plasma cells	1236
CD163+CD14+ DCs	1197
COL13A1+ matrix FBs	982
Tip-like ECs	822
Ciliated	654
Microglia/Mac	571
AT1	530
Tumor ECs	494
GC B cells in the DZ	476
Activated DCs	456
Exhausted Tfh	442
Club	439
Stalk-like ECs	427
GC B cells in the LZ	373
Myofibroblasts	339
CD141+ DCs	303
Pericytes	299
Lymphatic ECs	289
Smooth muscle cells	223
GrB-secreting B cells	205
FB-like cells	201
CD207+CD1a+ LCs	177
pDCs	172
EPCs	75
tS3	64
Mesothelial cells	35
