Cell_type	n_cells
T lymphocytes	79676
Myeloid cells	42245
Epithelial cells	36467
B lymphocytes	27657
NK cells	11551
Fibroblasts	4172
MAST cells	3396
Endothelial cells	1996
Oligodendrocytes	716
Undetermined	630
