series	location	file	listing_size	listing_bytes_approx	content_length	url
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_10.tar.gz	41M	42991616	42864376	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_10.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_11.tar.gz	27M	28311552	28208350	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_11.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_14.tar.gz	23M	24117248	23847193	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_14.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_15.tar.gz	30M	31457280	31007320	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_15.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_16.tar.gz	28M	29360128	29266919	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_16.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_17.tar.gz	35M	36700160	36291003	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_17.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_18.tar.gz	39M	40894464	40931045	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_18.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_19.tar.gz	39M	40894464	40709949	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_19.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_2.tar.gz	15M	15728640	16188937	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_2.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_22.tar.gz	8.0M	8388608	8349407	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_22.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_23.tar.gz	9.0M	9437184	9443301	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_23.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_230.tar.gz	14M	14680064	14930143	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_230.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_231.tar.gz	10M	10485760	10861504	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_231.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_24.tar.gz	10M	10485760	10967110	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_24.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_244.tar.gz	26M	27262976	27125417	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_244.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_245.tar.gz	39M	40894464	40585778	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_245.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_25.tar.gz	9.3M	9751756	9799274	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_25.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_26.tar.gz	6.0M	6291456	6266201	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_26.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_27.tar.gz	6.4M	6710886	6744186	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_27.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_28.tar.gz	22M	23068672	23392167	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_28.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_29.tar.gz	22M	23068672	22616612	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_29.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_292.tar.gz	19M	19922944	20230572	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_292.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_293.tar.gz	23M	24117248	23688105	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_293.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_3.tar.gz	22M	23068672	23030288	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_3.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_30.tar.gz	24M	25165824	24780357	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_30.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_307.tar.gz	32M	33554432	33692058	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_307.tar.gz
GSE154826	GSE154826_suppl	GSE154826_amp_batch_ID_308.tar.gz	34M	35651584	35203694	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154826/suppl/GSE154826_amp_batch_ID_308.tar.gz
