gene,in_cta_norm,in_cta_qc,in_initial_probes,role
CLDN4,False,False,False,query_CLDN4
CLDN3,False,False,False,other_claudin_TJ
CLDN7,False,False,False,other_claudin_TJ
CLDN1,False,False,False,other_claudin_TJ
F11R,False,False,False,other_claudin_TJ
OCLN,False,False,False,other_claudin_TJ
TACSTD2,True,True,True,epithelial_other
EPCAM,True,True,True,epithelial_other
CD8A,True,True,True,T_cell_or_immune
CD8B,True,True,True,T_cell_or_immune
CD3E,True,True,True,T_cell_or_immune
CD3D,True,True,True,T_cell_or_immune
CD3G,True,True,True,T_cell_or_immune
PTPRC,True,True,True,T_cell_or_immune
GZMB,True,True,True,T_cell_or_immune
PRF1,True,True,True,T_cell_or_immune
CD4,True,True,True,T_cell_or_immune
FOXP3,True,True,True,T_cell_or_immune
PDCD1,True,True,True,T_cell_or_immune
CD274,True,True,True,T_cell_or_immune
