sample_id,CLDN4,CLDN7,KRT5,NAPSA,NKX2-1,SFTPB,TACSTD2
11LU013,13.9614,11.3816,2.5657,13.7315,11.3916,12.3115,12.1415
11LU016,13.1615,10.4617,5.8575,13.8915,11.3616,14.0115,12.0216
11LU022,13.3015,10.7017,4.4277,14.6915,11.7316,15.8215,10.8317
11LU035,13.8716,10.8217,2.995,14.7216,11.0917,14.2316,13.0916
C3L-00001,13.1119,10.3317,5.8172,15.2419,12.2718,14.9019,11.5018
C3L-00009,12.7915,10.9417,7.0638,13.5315,10.2518,14.6715,12.7115
C3L-00080,10.7917,11.6718,5.6993,13.9418,13.4318,16.9118,11.9518
C3L-00083,11.6119,10.1916,10.7118,13.9021,10.5917,16.6322,10.8818
C3L-00093,14.079,11.0491,4.8527,13.449,10.8092,13.679,13.349
C3L-00094,12.5416,12.1016,4.9484,14.2416,12.7716,17.3216,10.2017
C3L-00095,12.3616,11.0717,6.3638,14.2416,11.0217,17.0216,12.0916
C3L-00140,11.8816,11.6016,6.8444,15.2415,12.1716,17.8915,11.7116
C3L-00144,13.4717,10.4317,4.7228,10.5517,11.3017,13.8317,12.7117
C3L-00263,13.0915,11.2316,8.0927,13.0915,9.7419,16.0515,13.4615
C3L-00279,13.2066,10.9767,5.0339,15.1565,11.3466,14.5765,12.4366
C3L-00368,13.3615,11.3616,6.6449,15.7615,12.8315,17.7815,12.4715
C3L-00412,11.8116,10.0118,8.9721,13.8615,10.8317,16.6415,11.7416
C3L-00422,12.7441,10.4642,0,15.9841,11.7041,16.3541,12.3941
C3L-00510,13.1117,11.0217,3.4901,16.1716,13.0417,13.0817,13.1117
C3L-00604,14.0815,12.0116,7.2835,15.5415,12.9815,15.7315,12.2916
C3L-00893,13.1216,12.0917,5.704,16.1516,13.1216,17.7516,13.0316
C3L-00913,12.3116,11.4316,3.6274,12.4316,8.6321,15.3416,12.6716
C3L-00973,12.4416,10.8817,8.2824,9.7118,7.7228,13.7416,13.4216
C3L-01330,13.2017,11.6117,5.1814,16.3217,12.8717,17.6617,12.3017
C3L-01632,12.7214,12.8814,8.6628,14.5213,10.7617,15.5913,12.2514
C3L-01682,13.5417,11.5717,7.1623,15.9316,11.9817,17.2716,13.0217
C3L-01683,11.5717,9.6118,7.5324,11.7317,9.1819,14.2516,10.8517
C3L-01862,12.7416,12.6516,8.3124,11.3216,8.3124,14.3115,13.6315
C3L-01889,12.2516,11.9016,4.7482,16.2916,12.6016,18.5316,12.1916
C3L-01890,11.872,11.672,8.2295,14.4522,11.9221,17.9023,11.3519
C3L-01924,13.4816,11.1117,4.8495,14.7316,12.3716,15.6816,12.5416
C3L-02219,14.0715,11.3916,5.3183,15.8715,12.2116,16.5315,12.6916
C3L-02345,12.6417,11.7417,7.3118,13.3817,10.0117,14.7417,11.5617
C3L-02348,12.5915,11.3016,5.2501,15.7915,12.1516,17.2715,11.2216
C3L-02350,12.4615,10.5017,8.4026,16.0415,12.4715,17.2215,11.9316
C3L-02365,14.3215,11.9416,6.5152,15.2415,12.4415,14.6215,13.8115
C3L-02508,11.1516,10.3118,6.1289,14.2314,10.4917,15.3614,12.3215
C3L-02549,11.5416,12.4915,7.6133,11.8916,9.0522,15.0515,13.2815
C3N-00167,13.4314,11.1716,7.2945,15.8414,12.4915,15.8914,12.8314
C3N-00169,12.7214,10.8916,5.0385,14.0014,11.6615,15.0114,12.2614
C3N-00175,12.8819,11.0518,5.3449,14.2919,11.8918,16.1119,12.2418
C3N-00180,12.2317,11.0417,3.3627,9.9517,9.4418,14.1016,9.8918
C3N-00199,12.9316,12.0316,7.9226,15.0615,12.0416,14.3716,12.7716
C3N-00203,13.0115,11.0416,4.8035,10.9317,10.6017,11.2816,12.6215
C3N-00217,12.4316,11.8316,8.6021,15.7716,13.1916,16.6616,11.4716
C3N-00223,13.1716,11.9117,6.9927,16.1816,12.2916,17.8316,12.6816
C3N-00293,12.8065,10.8466,5.8936,15.2464,12.6565,16.9864,12.6665
C3N-00294,13.2617,10.5117,5.4715,14.2217,11.5317,15.8817,12.7517
C3N-00433,11.0017,8.8521,5.836,13.0516,10.4817,15.7115,10.4117
C3N-00546,13.3615,10.3817,2.8819,15.2515,11.3416,13.7415,11.6716
C3N-00547,12.9418,10.9817,6.5103,15.0318,12.1018,18.0118,11.5618
C3N-00549,11.2516,11.1317,4.552,10.8117,6.5941,13.3716,7.393
C3N-00550,13.9915,10.9917,3.5167,15.4815,11.4816,14.4315,13.0116
C3N-00551,13.3415,12.1115,4.9136,14.0915,11.2616,14.9015,11.7716
C3N-00552,11.9216,11.0017,5.2978,16.2215,12.0516,17.4115,12.4116
C3N-00556,13.1715,11.2916,5.2025,13.6915,10.9716,11.9815,12.3415
C3N-00559,13.3716,11.3216,5.347,14.3616,12.9616,14.2016,12.1016
C3N-00560,12.5815,11.9115,5.3716,11.7216,11.0216,15.1214,12.0115
C3N-00572,13.3715,11.1116,4.3135,15.6414,12.4115,16.8914,11.5316
C3N-00574,13.2715,11.6416,10.1818,12.8015,9.7119,14.3415,12.6315
C3N-00578,11.8916,11.1416,8.1028,15.0615,11.3616,16.4215,13.1215
C3N-00579,13.6414,10.7517,6.1983,14.7814,12.3215,16.3514,12.4415
C3N-00580,13.6015,11.3616,6.5753,14.8015,12.0816,15.4015,11.5516
C3N-00704,12.6616,11.6116,3.2628,16.2216,12.1416,15.4416,13.1416
C3N-00737,11.9818,10.0717,4.4359,12.4018,11.0117,15.0018,9.6116
C3N-00738,11.4317,10.9317,7.7119,12.9417,11.1717,17.4717,10.0417
C3N-00959,12.3316,11.3016,6.7239,11.7716,8.7521,14.7715,12.9916
C3N-01016,11.7319,11.5819,5.7935,14.182,12.1819,17.472,12.0819
C3N-01021,12.4515,11.5616,5.7691,15.8714,12.3915,16.2414,12.4115
C3N-01023,12.2916,11.6616,5.7064,15.9315,12.5616,19.0415,9.9818
C3N-01024,13.3116,11.9516,4.0533,14.7316,12.9516,15.9616,12.9616
C3N-01030,12.9916,12.4816,7.4931,15.1515,11.7016,16.9815,13.6915
C3N-01071,12.5714,12.5314,5.9604,12.6314,11.0216,13.6614,14.0214
C3N-01072,11.9716,10.3217,3.291,14.5215,11.6816,16.8515,12.1816
C3N-01074,13.2815,11.9815,5.6892,13.0915,12.0415,15.6614,11.6716
C3N-01405,12.2716,12.4316,6.0456,14.0615,12.6016,15.4415,12.2116
C3N-01410,12.3916,11.4916,8.1824,15.0015,12.1216,17.7815,11.1117
C3N-01413,12.9117,10.9717,5.9314,14.6017,12.1217,15.0117,11.3117
C3N-01414,12.7317,11.9317,6.0224,14.0817,12.0517,17.7217,11.9317
C3N-01415,13.5915,11.1616,6.2462,14.1615,11.5116,15.2415,12.3615
C3N-01416,12.8015,11.4016,6.4469,14.9814,12.0815,16.3614,12.4915
C3N-01488,12.5516,11.7616,4.1167,14.3315,11.3916,14.3015,12.3316
C3N-01489,12.6217,11.6117,4.2173,14.2316,11.4417,16.3016,11.7917
C3N-01799,12.9516,10.6817,5.0551,14.4516,12.3217,17.1516,12.1817
C3N-01823,11.7616,11.3116,4.9419,13.4515,12.0316,15.6915,10.6917
C3N-01842,12.6017,10.6817,7.7917,11.8917,11.2117,14.4117,12.0617
C3N-02000,13.0416,11.3717,6.6232,16.0916,12.7616,16.4816,12.8116
C3N-02002,13.6515,10.8817,3.3996,16.4615,12.6416,18.5315,11.9116
C3N-02003,12.3816,10.9917,5.4056,14.4016,11.0417,15.6516,11.2117
C3N-02067,13.4114,12.1015,7.2147,16.5514,12.7614,17.6014,12.6415
C3N-02087,12.7816,11.0816,6.6544,13.9115,10.9217,14.1215,13.0315
C3N-02089,11.4441,12.3341,4.2882,9.0345,5.799,12.0241,10.8442
C3N-02145,13.6315,11.3016,9.7119,14.7014,12.2815,13.9715,12.7715
C3N-02149,13.4216,11.2917,8.1022,14.3316,11.8316,17.0716,11.7616
C3N-02155,12.5215,11.3716,2.5574,12.2715,11.8615,17.0214,10.8117
C3N-02158,12.4215,11.9016,4.4581,16.0415,14.0415,16.4815,11.5416
C3N-02379,13.8014,11.1916,10.6317,13.0614,11.6015,13.7514,12.0515
C3N-02380,13.4816,11.6417,11.0717,15.5316,12.8816,17.6016,12.2216
C3N-02421,13.2116,11.5617,6.3229,16.0016,12.3217,16.6416,12.2917
C3N-02422,13.5318,11.6517,6.861,13.7818,11.0517,15.7218,14.0318
C3N-02423,13.1316,10.7617,4.2833,14.1716,10.9417,14.0616,12.5616
C3N-02424,12.4817,11.1017,4.7113,12.2417,10.3017,13.0317,11.8217
C3N-02433,13.0515,10.9916,4.9029,15.3815,12.7915,17.2015,12.1316
C3N-02529,13.7115,11.3916,6.9143,14.9615,11.6116,13.6715,10.9717
C3N-02572,13.2416,10.5417,4.8981,15.5716,11.7016,14.5516,13.0816
C3N-02582,13.7315,11.1316,5.3097,16.1415,12.0516,16.5015,12.6915
C3N-02586,13.0116,11.4417,4.9872,16.3916,12.0416,17.7216,11.9716
C3N-02587,12.4216,11.4116,4.9086,17.3616,11.6716,19.1616,11.9016
C3N-02588,13.1714,11.7115,6.8355,12.7215,11.2816,14.5814,12.1115
C3N-02729,12.7615,10.9117,4.0038,16.1815,12.7315,16.4315,12.5115
