cohort,layer,gene_x,gene_y,primary_endpoint,note,n,spearman_rho,spearman_p,spearman_ci95_low,spearman_ci95_high,pearson_r,pearson_p,purity_partial_rho,purity_partial_p,n_purity,fdr_bh_primary,direction
TCGA-LUAD,RNA_log2TPM,NKX2-1,TACSTD2,True,Primary cohort. One -01 sample per patient.,516,-0.01989140503093511,0.6521375519777923,-0.11231278848487614,0.07076961681590503,0.00522698454357201,0.9057133912565639,-0.053480068900949466,0.23165401421194418,503.0,0.7677418292735217,NULL
TCGA-LUAD,RNA_log2TPM,NKX2-1,CLDN4,True,Primary cohort. One -01 sample per patient.,516,0.2396781717823401,3.552302580333421e-08,0.15573133001932554,0.32102566244162495,0.290319094772866,1.7662260283015022e-11,0.2120193071679498,1.6420391293466636e-06,503.0,2.841842064266737e-07,POSITIVE
TCGA-LUAD,RNA_log2TPM,TACSTD2,CLDN4,False,Exploratory positive-control pair (epithelial/TJ co-expression).,516,0.5309540207346253,7.189628573043896e-39,0.4579415915004064,0.5958399399953824,0.5238656768913237,1.0437758613028264e-37,0.5253796875468277,5.762278259380673e-37,503.0,,POSITIVE
TCGA-LUAD,RNA_log2TPM,NKX2-1,SFTPB,False,Exploratory context gene (alveolar/basal/TJ).,516,0.5706542032402055,6.491007196969079e-46,0.5034927598073635,0.6301822978655579,0.6197086778075517,4.655050728344856e-56,0.5845407251694001,2.4645525147144458e-47,503.0,,POSITIVE
TCGA-LUAD,RNA_log2TPM,NKX2-1,NAPSA,False,Exploratory context gene (alveolar/basal/TJ).,516,0.6611735645973238,3.764223343900139e-66,0.598532876328008,0.7162955452410772,0.7735589050813078,6.823586850520236e-104,0.6706795997105742,7.122328789859518e-67,503.0,,POSITIVE
TCGA-LUAD,RNA_log2TPM,NKX2-1,KRT5,False,Exploratory context gene (alveolar/basal/TJ).,516,-0.17890858094622267,4.366338074050531e-05,-0.2641744333993575,-0.09164482337717658,-0.19741925674516028,6.237660974284286e-06,-0.10036467606363031,0.024526416267293478,503.0,,INVERSE
TCGA-LUAD,RNA_log2TPM,NKX2-1,CLDN7,False,Exploratory context gene (alveolar/basal/TJ).,516,0.3066772411305301,1.0653121653884138e-12,0.2287288068791623,0.3847053214454129,0.1959523926167546,7.3280784896300565e-06,0.24387764021954664,3.124328960013387e-08,503.0,,POSITIVE
CPTAC-LUAD,RNA_RSEM_UQ_log2,NKX2-1,TACSTD2,True,Replication. CPTAC freeze v1.2 tumor RNA.,110,-0.008764237942937835,0.9275944650460366,-0.20587242964146202,0.19184798252947927,0.14534957052357156,0.1297514417951988,,,,0.9275944650460366,NULL
CPTAC-LUAD,RNA_RSEM_UQ_log2,NKX2-1,CLDN4,True,Replication. CPTAC freeze v1.2 tumor RNA.,110,0.27312626377070404,0.003889934585665974,0.07802884238979227,0.4483562856322113,0.3445945651003271,0.0002274238970652403,,,,0.007779869171331948,POSITIVE
CPTAC-LUAD,RNA_RSEM_UQ_log2,TACSTD2,CLDN4,False,Exploratory positive-control pair.,110,0.39186837561767496,2.2997345547585534e-05,0.21129289344198313,0.5602152484473414,0.4555716918696379,5.705732248821231e-07,,,,,POSITIVE
CPTAC-LUAD,protein_TMT_log2,NKX2-1,TACSTD2,True,Replication. Protein if quantified; pairwise complete cases only.,110,0.04084935644568672,0.6717741006143315,-0.17277466376397674,0.24653771416194759,-0.02355599229243134,0.8070225185010141,,,,0.7677418292735217,NULL
CPTAC-LUAD,protein_TMT_log2,NKX2-1,CLDN4,True,Replication. Protein if quantified; pairwise complete cases only.,79,-0.2157740993184031,0.05615424940636498,-0.4317630454556296,0.008578966166008044,-0.11195075871251088,0.3259658276627138,,,,0.08984679905018397,NULL
CPTAC-LUAD,protein_TMT_log2,TACSTD2,CLDN4,False,Exploratory positive-control pair.,79,0.2745618305744888,0.014336540643019976,0.05638730849198513,0.47116769047943063,0.32697378590238285,0.0032695866708041537,,,,,POSITIVE
DepMap24Q4-LUAD,RNA_log2TPM,NKX2-1,TACSTD2,True,"Replication. In vitro cell lines, not tumors.",80,0.44498419656419286,3.539594911826132e-05,0.22965441302041364,0.6336090487306303,0.386271250304381,0.00040172404661329575,,,,9.438919764869685e-05,POSITIVE
DepMap24Q4-LUAD,RNA_log2TPM,NKX2-1,CLDN4,True,"Replication. In vitro cell lines, not tumors.",80,0.5321237285240656,3.777806848114654e-07,0.34212230968637836,0.68686723787232,0.5325206324289443,3.6893828649054224e-07,,,,1.5111227392458615e-06,POSITIVE
DepMap24Q4-LUAD,RNA_log2TPM,TACSTD2,CLDN4,False,Exploratory positive-control pair.,80,0.7561387264786419,5.108416933686581e-16,0.6412084657973589,0.8325354443370179,0.7453066521180682,2.216189643340584e-15,,,,,POSITIVE
