gene	present	n_finite_luad	n_nan_luad
CLDN4	True	183	0
CD8A	True	183	0
CD274	True	183	0
TACSTD2	True	183	0
EPCAM	True	183	0
KRT8	True	183	0
KRT18	True	183	0
KRT19	True	183	0
CDH1	True	183	0
KRT7	True	183	0
