histology	n
Adenocarcinoma	183
Squamous	80
LCC-NE	3
Adenosquamous	2
Sarcomatoid	2
NSCLC	1
Pleomorphic carcinoma	1
SCLC & NSCLC	1
Sarcomatoid-Adenocarcinoma	1
Sarcomatoid-squamous	1
