endpoint	n_q4	n_q1	median_q4	median_q1	mwu_U	mwu_p	rank_biserial_q4_minus_q1
CD8A	46	47	7.976	8.345	834.0	0.05820428850189945	-0.22849213691026826
CD274	46	47	3.2705	3.433	943.0	0.2906088499953998	-0.12765957446808507
