radius_um,cutoff,immune_def,n_labels,sections_high_lt_low,section_p,patients_high_lt_low,patient_p,mean_high,mean_low,ratio,max_section_ratio,min_section_high,min_section_absent,degree_high,degree_low,degree_ratio,n_high_min,n_low_min,eligible,contact_ratio,contact_8of8,contact_5of5,contact_absent_min
4,ge1,broad,14,7/8,0.015625,4/5,0.125,0.00010680974548169675,0.0004369366902033143,0.24445130811055557,0.41440012687336447,0.0,0.0,0.006953919359543499,0.01007366783022411,0.6903065970350538,7260,5226,False,,False,False,
4,ge2,broad,14,7/8,0.015625,4/5,0.125,8.73500992229153e-05,0.0004369366902033143,0.19991477296692517,0.46308198777237813,0.0,0.0,0.005848753870560316,0.01007366783022411,0.5805982457563521,3723,5226,False,,False,False,
4,ge3,broad,14,7/8,0.015625,4/5,0.125,5.746825590849879e-05,0.0004369366902033143,0.13152536098938683,0.7288428324697754,0.0,0.0,0.005036002589659259,0.01007366783022411,0.49991747539557524,1719,5226,False,,False,False,
4,ge5,broad,14,6/8,0.15625,4/5,0.125,7.242178447276941e-05,0.0004369366902033143,0.16574891991576693,1.7114716106604868,0.0,0.0,0.0036871158563491382,0.01007366783022411,0.36601523084637094,386,5226,False,,False,False,
4,ge10,broad,14,7/8,0.015625,4/5,0.125,0.0,0.0004369366902033143,0.0,0.0,0.0,0.0,0.002039789721724037,0.01007366783022411,0.20248729222578085,53,5226,False,,False,False,
4,pos_top50,broad,14,7/8,0.015625,4/5,0.125,8.73500992229153e-05,0.0004369366902033143,0.19991477296692517,0.46308198777237813,0.0,0.0,0.005830816066586815,0.01007366783022411,0.578817583114322,3723,5226,False,,False,False,
4,pos_top25,broad,14,6/8,0.03125,4/5,0.125,4.805843906189927e-05,0.0004369366902033143,0.1099894793443344,1.1357170319108036,0.0,0.0,0.0047162859643801605,0.01007366783022411,0.4681796187710149,1990,5226,False,,False,False,
4,pos_top10,broad,14,7/8,0.015625,4/5,0.125,0.0,0.0004369366902033143,0.0,0.0,0.0,0.0,0.003705556349197935,0.01007366783022411,0.3678457947640603,1131,5226,False,,False,False,
4,ge1,no_neutrophil,13,3/8,0.4375,3/5,0.625,7.707333646045138e-05,0.0002603354960712,0.29605389055118453,inf,0.0,0.0,0.006953919359543499,0.01007366783022411,0.6903065970350538,7260,5226,False,,False,False,
4,ge2,no_neutrophil,13,3/8,0.25,3/5,0.25,6.775455133139624e-05,0.0002603354960712,0.2602585984389383,0.29301351120232594,0.0,0.0,0.005848753870560316,0.01007366783022411,0.5805982457563521,3723,5226,False,,False,False,
4,ge3,no_neutrophil,13,3/8,0.25,3/5,0.25,2.6626903823623388e-05,0.0002603354960712,0.10227919060388564,0.12164944793552739,0.0,0.0,0.005036002589659259,0.01007366783022411,0.49991747539557524,1719,5226,False,,False,False,
4,ge5,no_neutrophil,13,3/8,0.25,3/5,0.25,0.0,0.0002603354960712,0.0,0.0,0.0,0.0,0.0036871158563491382,0.01007366783022411,0.36601523084637094,386,5226,False,,False,False,
4,ge10,no_neutrophil,13,3/8,0.25,3/5,0.25,0.0,0.0002603354960712,0.0,0.0,0.0,0.0,0.002039789721724037,0.01007366783022411,0.20248729222578085,53,5226,False,,False,False,
4,pos_top50,no_neutrophil,13,3/8,0.25,3/5,0.25,6.775455133139624e-05,0.0002603354960712,0.2602585984389383,0.29301351120232594,0.0,0.0,0.005830816066586815,0.01007366783022411,0.578817583114322,3723,5226,False,,False,False,
4,pos_top25,no_neutrophil,13,3/8,0.25,3/5,0.25,0.0,0.0002603354960712,0.0,0.0,0.0,0.0,0.0047162859643801605,0.01007366783022411,0.4681796187710149,1990,5226,False,,False,False,
