sample,patient,n_high,n_low,count_threshold,mean_high,mean_low,ratio,degree_high,degree_low,contact_high,contact_low,contact_ratio,radius_um,cutoff,immune_def
LUAD-5 R1,Lung5,12611,5226,1.0,0.010509343694658101,0.0244195688225539,0.43036565350620265,1.014749028625803,1.2499043245311903,0.016279736314130124,0.03415863668807994,0.476592097711298,9,ge1,broad
LUAD-5 R2,Lung5,12377,5537,1.0,0.01103525356171393,0.018951297333092528,0.5822954158628657,1.1647410519511998,1.4645114683041358,0.015900271633682576,0.024580307644257046,0.6468703265964827,9,ge1,broad
LUAD-5 R3,Lung5,9985,5908,1.0,0.01116675012518778,0.020311442112389978,0.5497763311634117,0.957135703555333,1.1467501692620177,0.018204081632653062,0.030007501875468866,0.6066510204081633,9,ge1,broad
LUSC-6,Lung6,16323,49873,1.0,0.003185688905225755,0.005303470815872315,0.600680010473815,0.3623108497212522,0.4726204559581337,0.010462776659959759,0.013912997738151597,0.7520145447353307,9,ge1,broad
LUAD-9 R1,Lung9,27834,11030,1.0,0.011358410576992167,0.059354789966757325,0.19136468317643177,0.7450959258460875,0.9802357207615594,0.02104159733777038,0.09218295315873463,0.22825909364758315,9,ge1,broad
LUAD-9 R2,Lung9,57922,36954,1.0,0.009790465338443653,0.04954132164312388,0.19762220735591796,0.7291357342633197,0.8841532716350057,0.01870882957782103,0.08375651935218227,0.2233716219647751,9,ge1,broad
LUAD-12,Lung12,7260,11007,1.0,0.03362947658402204,0.12045062233124373,0.27919720075451093,0.3819559228650138,0.5944399018806215,0.11123006833712983,0.2798817817183871,0.39741803719488916,9,ge1,broad
LUAD-13,Lung13,19177,6853,1.0,0.04778380351462689,0.09327058709081182,0.5123137422529864,0.686708035667727,0.9174084342623668,0.09221596055147428,0.15067971082822568,0.611999850839906,9,ge1,broad
LUAD-5 R1,Lung5,8576,5226,2.0,0.009672341417910447,0.0244195688225539,0.3960897707979626,0.9282882462686567,1.2499043245311903,0.015772960638904734,0.03415863668807994,0.4617561521244463,9,ge2,broad
LUAD-5 R2,Lung5,7904,5537,2.0,0.010490468960863699,0.018951297333092528,0.5535488561274045,1.0564271255060729,1.4645114683041358,0.015960859801090792,0.024580307644257046,0.6493352333944402,9,ge2,broad
LUAD-5 R3,Lung5,6379,5908,2.0,0.011430736270052776,0.020311442112389978,0.5627732490289317,0.8799184825207713,1.1467501692620177,0.019701882374133117,0.030007501875468866,0.6565652301179862,9,ge2,broad
LUSC-6,Lung6,4895,49873,2.0,0.0028600612870275793,0.005303470815872315,0.5392810456254309,0.3058222676200204,0.4726204559581337,0.0109375,0.013912997738151597,0.7861353969754252,9,ge2,broad
LUAD-9 R1,Lung9,19330,11030,2.0,0.008109156751163993,0.059354789966757325,0.13662177485095417,0.6741334712881532,0.9802357207615594,0.01604237027939822,0.09218295315873463,0.17402751517163945,9,ge2,broad
