endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1
CD8A	12	12	7.109795	6.470705000000001	104.0	0.06896433333905408	0.4444444444444444
CD274	12	12	7.243235	7.530425	70.0	0.9309874465595671	-0.02777777777777779
ImmuneScore	12	12	5862.984659814896	5695.325392366815	80.0	0.6650055421020291	0.11111111111111116
