gene_x	gene_y	subset	n	n_arrays	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict	role
CLDN4	CD8A	tumor	46	46	0.25994449583718776	0.08104748186771411	-0.004893529961004005	0.5012672222747875	0.21652781516103703	0.1531045855921614	NO_EVIDENCE	primary
CLDN4	CD274	tumor	46	46	-0.0004316990440949738	0.9977281505403307	-0.31587708231935036	0.30984710933972565	0.054744299966100175	0.7209646327772811	NO_EVIDENCE	primary
CLDN4	ImmuneScore	tumor	46	46	0.18963922294172064	0.20684440128882695	-0.10634607927000718	0.4619437008934481	0.27885975002097046	0.06359703277959239	NO_EVIDENCE	primary
CLDN4	epithelial_mean_z	tumor	46	46	0.5618871415356151	4.8387101219761715e-05	0.2679790926082139	0.7870563221276755			COMPANION	covariate
CLDN4	TumorPurity	tumor	46	46	-0.15806352143077398	0.29410955580968623	-0.4206916811601686	0.12469538747699106	-0.28825446854980347	0.054828261522826445	NO_EVIDENCE	covariate
CD8A	ImmuneScore	tumor	46	46	0.7242059821153254	1.2809169475520846e-08	0.5405971373535833	0.8418608349468514	0.7448486034634605	4.437313810457092e-09	OPPOSITE	positive_control
CD274	CD8A	tumor	46	46	0.4576626580326858	0.0013840687401358359	0.1829247086634229	0.6817923926645575	0.47636148687860463	0.0009401524221260374	OPPOSITE	positive_control
CLDN4_201428_at	CD274_223834_at	tumor_named_probe	46	46	-0.060376194881282756	0.6901984073139125	-0.36436835139286256	0.24670367804990068	0.015660508106333543	0.9186742636891669	NO_EVIDENCE	probe_sensitivity
CLDN4_201428_at	CD274_227458_at	tumor_named_probe	46	46	-0.0004316990440949738	0.9977281505403307	-0.31587708231935036	0.30984710933972565	0.054744299966100175	0.7209646327772811	NO_EVIDENCE	probe_sensitivity
CLDN4_201428_at	CD8A_205758_at	tumor_named_probe	46	46	0.25994449583718776	0.08104748186771411	-0.004893529961004005	0.5012672222747875	0.21652781516103703	0.1531045855921614	NO_EVIDENCE	probe_sensitivity
