cohort	gene	rho	p	n	present	q
GSE126044	CLDN1	0.6088235294117647	0.012315203198246461	16	True	0.03053630823485468
GSE126044	CLDN4	0.488235294117647	0.05501502977813754	16	True	0.08436636829135968
GSE126044	CLDN7	0.5735294117647058	0.0201910380465231	16	True	0.042030324096844006
GSE126044	F11R	0.5088235294117647	0.04413521823498383	16	True	0.07633023273478781
GSE126044	PARD3	0.3764705882352941	0.15064811528763097	16	True	0.1995598410303683
GSE126044	OCLN	0.12352941176470587	0.6485420669723406	16	True	0.711304202485793
GSE126044	TJP1	0.5029411764705883	0.04706314046727303	16	True	0.07869574307642375
GSE126044	KRT5	0.45294117647058824	0.07809874141672499	16	True	0.11219819189444998
GSE126044	KRT17	0.5323529411764706	0.03376862296023464	16	True	0.06262544621716241
GSE126044	KRT7	0.17352941176470588	0.5204075144487407	16	True	0.6101329479743856
GSE126044	KRT8	0.4911764705882353	0.05335043567794327	16	True	0.08430071053418203
GSE126044	KRT18	0.44117647058823534	0.08715363626051081	16	True	0.1217763136790699
GSE126044	KRT19	0.7529411764705882	0.0007610810731946066	16	True	0.003234594561077078
GSE126044	CDH1	0.5529411764705882	0.026314499870666506	16	True	0.050642999751094035
GSE126044	VIM	-0.15882352941176472	0.5568612810855391	16	True	0.6437026528341261
GSE126044	ZEB1	-0.45	0.08029573654339643	16	True	0.11375229343647827
GSE126044	SNAI2	0.32647058823529407	0.21715949057922937	16	True	0.27687835048851744
GSE135222	CLDN1	0.6347122650654743	0.00037638305076181217	27	True	0.0018281462465573734
GSE135222	CLDN4	0.3504273504273504	0.07312867935718881	27	True	0.10655893277761798
GSE135222	CLDN7	0.17704517704517705	0.3770034788130813	27	True	0.45778993855874156
GSE135222	F11R	0.4554334554334554	0.016977133486430453	27	True	0.03607640865866472
GSE135222	PARD3	0.15018315018315015	0.45463836072603153	27	True	0.5392222417913397
GSE135222	OCLN	-0.21245421245421242	0.2873682314039453	27	True	0.3574580439414929
GSE135222	TJP1	0.027171424526612416	0.8929830157621306	27	True	0.9200431071488618
GSE135222	KRT5	0.3992673992673993	0.03909521160045834	27	True	0.07054750376772506
GSE135222	KRT17	0.6855921855921856	7.924778710178691e-05	27	True	0.0006217903295678666
GSE135222	KRT7	0.06898656898656899	0.7324183489147095	27	True	0.7947518254180891
GSE135222	KRT8	-0.019536019536019536	0.9229505970785762	27	True	0.9356466004544567
GSE135222	KRT18	-0.115995115995116	0.5645080141147475	27	True	0.6437026528341261
GSE135222	KRT19	0.6495726495726496	0.00024587596980172005	27	True	0.0013521077715509945
GSE135222	CDH1	0.18192918192918192	0.3637663092328869	27	True	0.4470381149608971
GSE135222	VIM	-0.46336996336996333	0.014923983841295903	27	True	0.033092311995917
GSE135222	ZEB1	-0.30708180708180705	0.11921926623787495	27	True	0.16000480468767428
GSE135222	SNAI2	0.5744810744810744	0.0017248846510298252	27	True	0.006066835669139385
GSE166449	CLDN1	0.5866741953698477	0.004105106680637815	22	True	0.011963453755001633
GSE166449	CLDN4	0.4748729531338228	0.025531919822233972	22	True	0.050081842728228174
GSE166449	CLDN7	0.5911914172783739	0.0037606445488212186	22	True	0.011623810423629222
GSE166449	F11R	0.7413890457368719	7.87750589529019e-05	22	True	0.0006217903295678666
GSE166449	PARD3	0.41276115189158674	0.05624424552757312	22	True	0.08436636829135968
GSE166449	OCLN	0.5211744776962168	0.012873149549987757	22	True	0.03053630823485468
GSE166449	TJP1	0.4285714285714286	0.04658379774023283	22	True	0.07869574307642375
GSE166449	KRT5	0.516238371334209	0.013909296324278137	22	True	0.03224427784264477
GSE166449	KRT17	0.5211744776962168	0.012873149549987757	22	True	0.03053630823485468
GSE166449	KRT7	0.7628458498023717	3.65387793207739e-05	22	True	0.0004658694363398672
GSE166449	KRT8	0.6295878035008471	0.0016912901526022412	22	True	0.006066835669139385
GSE166449	KRT18	0.7029926595143988	0.00026329032587361684	22	True	0.0013521077715509945
GSE166449	KRT19	0.8023715415019763	7.050194126781899e-06	22	True	0.00011985330015529228
GSE166449	CDH1	0.6137775268210052	0.0023792618700919795	22	True	0.007828539056431674
GSE166449	VIM	0.1101072840203275	0.6256982903977768	22	True	0.6937089741366655
GSE166449	ZEB1	-0.0378317334839074	0.8672536652027347	22	True	0.9026517739865199
GSE166449	SNAI2	-0.02089215132693394	0.9264735945676482	22	True	0.9356466004544567
GSE253564	CLDN1	0.6451612903225806	6.703390145692447e-05	32	True	0.0006217903295678666
GSE253564	CLDN4	0.6873167155425219	1.390081662090993e-05	32	True	0.00020255475647611612
GSE253564	CLDN7	0.5828445747800586	0.0004643702568337691	32	True	0.002134685159948893
GSE253564	F11R	0.7965542521994134	4.9472735350346334e-08	32	True	2.523109502867663e-06
GSE253564	PARD3	0.7807917888563048	1.3519405662178696e-07	32	True	4.596597925140757e-06
GSE253564	OCLN	0.10483870967741933	0.5679729289712877	32	True	0.6437026528341261
GSE253564	TJP1	0.344208211143695	0.05372104102668463	32	True	0.08430071053418203
GSE253564	KRT5	0.4637096774193548	0.00751490896225759	32	True	0.02017159774079669
GSE253564	KRT17	0.6359970674486803	9.150289868096143e-05	32	True	0.0006666639761041476
GSE253564	KRT7	-0.005498533724340175	0.9761730826567742	32	True	0.9761730826567742
GSE253564	KRT8	0.6301319648093842	0.00011108850959860326	32	True	0.0007554018652705021
GSE253564	KRT18	0.44464809384164217	0.010778748880979544	32	True	0.027485809646497838
GSE253564	KRT19	0.8394428152492668	1.9274639941639772e-09	32	True	1.9660132740472568e-07
GSE253564	CDH1	0.7239736070381231	2.8226787802566376e-06	32	True	7.077215796396966e-05
GSE253564	VIM	-0.25769794721407624	0.1544633404028961	32	True	0.2019905220653257
GSE253564	ZEB1	-0.3581378299120234	0.04415180128776942	32	True	0.07633023273478781
GSE253564	SNAI2	0.6022727272727273	0.00026511917089235183	32	True	0.0013521077715509945
GSE190265	CLDN1	0.5314104500151011	0.00024564966544449114	43	True	0.0013521077715509945
GSE190265	CLDN4	0.34521292660827546	0.023377644444286545	43	True	0.047404787343992956
GSE190265	CLDN7	0.4743279975838115	0.0013117277629280126	43	True	0.005146008916102203
GSE190265	F11R	0.4818785865297493	0.0010683244182928323	43	True	0.004358763626634756
GSE190265	PARD3	0.5652370884929024	7.839991637235756e-05	43	True	0.0006217903295678666
GSE190265	OCLN	0.34445786771368164	0.023702393671996478	43	True	0.047404787343992956
GSE190265	TJP1	0.458622772576261	0.001981090557115712	43	True	0.006735707894193421
GSE190265	KRT5	0.2996450096622749	0.050924075314972186	43	True	0.08377831745366392
GSE190265	KRT17	0.4711757044469798	0.0014271310952493816	43	True	0.005391384137608775
GSE190265	KRT7	0.2416188462700091	0.11853757983572011	43	True	0.16000480468767428
GSE190265	KRT8	0.2503775294472969	0.1053685514594394	43	True	0.14523773309274077
GSE190265	KRT18	0.386892177589852	0.010379169144161909	43	True	0.027145519300115762
GSE190265	KRT19	0.5450015101177892	0.00015753621027149672	43	True	0.0010042933404807916
GSE190265	CDH1	0.5718816067653277	6.172190678400602e-05	43	True	0.0006217903295678666
GSE190265	VIM	0.03820598006644518	0.8078197805975048	43	True	0.8583085168848489
GSE190265	ZEB1	0.03511156418857581	0.8231259974090793	43	True	0.8655551725332586
GSE190265	SNAI2	0.29406434408804466	0.055614283120442594	43	True	0.08436636829135968
GSE283829	CLDN1	0.525030525030525	0.004924442040664033	27	True	0.013739254208051546
GSE283829	CLDN4	0.5421245421245421	0.0034881536028684296	27	True	0.01111848960914312
GSE283829	CLDN7	0.6257631257631258	0.0004813505752825935	27	True	0.002134685159948893
GSE283829	F11R	0.45848595848595847	0.01616156205412432	27	True	0.03507402828767406
GSE283829	PARD3	0.46336996336996333	0.014923983841295903	27	True	0.033092311995917
GSE283829	OCLN	-0.05616605616605617	0.7808149971448439	27	True	0.8383487337765693
GSE283829	TJP1	0.24786324786324787	0.21256074097132036	27	True	0.2744455136591731
GSE283829	KRT5	0.39865689865689863	0.03942360504666989	27	True	0.07054750376772506
GSE283829	KRT17	0.5244200244200244	0.004983847114685364	27	True	0.013739254208051546
GSE283829	KRT7	0.3528693528693529	0.07101482616108541	27	True	0.10497843867290887
GSE283829	KRT8	0.4218559218559218	0.028396357539921525	27	True	0.05363756424207399
GSE283829	KRT18	0.10317460317460315	0.6085718476784561	27	True	0.6821354776176101
GSE283829	KRT19	0.7643467643467643	3.4692234296063552e-06	27	True	7.077215796396966e-05
GSE283829	CDH1	0.5347985347985348	0.004052519928953318	27	True	0.011963453755001633
GSE283829	VIM	-0.22466422466422467	0.25990010494307125	27	True	0.32728161363201563
GSE283829	ZEB1	-0.3772893772893773	0.052370727048760175	27	True	0.08430071053418203
GSE283829	SNAI2	-0.1514041514041514	0.4509366116058197	27	True	0.5392222417913397
