term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	cohort	contrast	n_high	n_low	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
HALLMARK_APICAL_JUNCTION	0.34595763137220487	1.7743103763355625	0.000999000999000999	193	0.14850271778152774	VCAM1,RAC2,ARHGEF6,PTPRC,GNAI2,ZYX,EPB41L2,CNN2,CD86,YWHAH,MYL9,ICAM2,CAP1,ACTB,SIRPA,MMP9,TRAF1,CRAT,ICAM1,PTEN,VCAN,PFN1,RSU1,EVL,ICAM4	53	GSE126044	response_R_vs_NR	5	11	TJ	UP	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Junction	200	0.003996003996003996	0.003996003996003996
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5239306816357618	2.7199931797964423	0.000999000999000999	195	0.5955622915390355	VCAM1,WIPF1,EMP3,GLIPR1,CXCL12,TGFB1,VIM,SAT1,PMP22,DAB2,MYL9,BASP1,FLNA,VEGFC,COMP,ITGA5,DCN,GAS1,SERPINE2,TIMP3,FUCA1,CD59,PCOLCE,ABI3BP,TNC	96	GSE126044	response_R_vs_NR	5	11	EMT	DOWN	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Epithelial Mesenchymal Transition	200	0.003996003996003996	0.003996003996003996
KEGG_TIGHT_JUNCTION	-0.24489027368160543	-1.1262753441551536	0.15984015984015984	164	-0.25026234802251707	CLDN14,MYL6B,BVES,ROCK2,TUBAL3,CLDN2,PRKAA2,RDX,CLDN20,PRKCI,F11R,CGN,CLDN7,PRKCZ,EPB41L4B,CDK4,WHAMM,PARD6A,YBX3,CLDN3,AMOTL1,PPP2CB,ACTR3B,CLDN4,PPP2R2A	54	GSE126044	response_R_vs_NR	5	11	TJ	UP	True	Enrichr KEGG_2021_Human	Tight junction	169	0.1918081918081918	0.1918081918081918
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	-0.5177166656551829	-1.8723946825642537	0.000999000999000999	44	-0.8222612142779627	PARD3,DLG1,POF1B,CLDN14,CLDN2,CLDN20,CLDN7,CLDN3,SLC39A9,TBCD,CLDN4,ECT2,CLDN17,GRHL2,CLDN6,MARVELD2,STRN,CLDN9,MARVELD3,CLDN19,OCLN,CHAF1B	22	GSE126044	response_R_vs_NR	5	11	TJ	UP	True	Enrichr GO_Biological_Process_2023	Bicellular Tight Junction Assembly (GO:0070830)	47	0.003996003996003996	0.003996003996003996
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	-0.33618066672294183	-1.2619807380920012	0.08091908091908091	53	-0.6430365273522596	SPRR1A,JAG1,TGM1,SPRR1B,SPRR2F,MED1,ERCC3,CDSN,HDAC2,SPRR2G,ST14,WNT16,KRT10,SPINK5,DSP,SPRR2B,S100A7,EVPL,IVL,POU2F3,PIP5K1A,SCEL,OVOL1	23	GSE126044	response_R_vs_NR	5	11	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Epidermal Cell Differentiation (GO:0009913)	54	0.16183816183816183	0.16183816183816183
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.27354950493320995	1.0997365476537195	0.0989010989010989	46	0.05446893932470472	EOMES,TGFB1,FGFR1,RBPJ,LIMS1,HGF,TGFBR1,S100A4,LOXL3,SNAI1,NOTCH1,HIF1A	12	GSE126044	response_R_vs_NR	5	11	EMT	DOWN	True	Enrichr GO_Biological_Process_2023	Epithelial To Mesenchymal Transition (GO:0001837)	47	0.1695447409733124	0.1695447409733124
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	-0.355439407250439	-1.053398647042226	0.23976023976023977	18	-0.7157854655428685	ALOXE3,TMEM79,ALOX12B,STMN1,LSR,FA2H,CLDN4,FLG2,HRNR,SFN,MET	11	GSE126044	response_R_vs_NR	5	11	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Establishment Of Skin Barrier (GO:0061436)	19	0.26155662519298883	0.26155662519298883
GOBP_KERATINOCYTE_DIFFERENTIATION	-0.35994187943566713	-1.2672811240439874	0.08091908091908091	41	-0.6433552151133194	SPRR1A,JAG1,TGM1,SPRR1B,SPRR2F,MED1,CDSN,SPRR2G,ST14,WNT16,KRT10,DSP,SPRR2B,S100A7,EXPH5,EVPL,IVL,POU2F3,PIP5K1A,SCEL	20	GSE126044	response_R_vs_NR	5	11	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	42	0.16183816183816183	0.16183816183816183
GOBP_KERATINIZATION	-0.44794081056507395	-1.819275422280583	0.001998001998001998	81	-0.9022126654155752	KRTAP6-3,SPRR3,CERS3,SHARPIN,KRT83,LCE1F,CASP14,KRTAP6-2,TMEM79,LCE2B,LCE6A,SPRR1A,LCE2A,LCE1B,KRT2,LIPK,TGM1,SPRR1B,SPRR2F,CDSN,LCE3D,KRT77,LCE2D,LCE1C,LCE1A	50	GSE126044	response_R_vs_NR	5	11	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		83	0.005994005994005994	0.005994005994005994
GOBP_CORNIFICATION	-0.3985917504247453	-0.9779772521714465	0.3036963036963037	9	-0.6047624010638136	CERS3,CASP14,TMEM79,LIPK,CDSN,KLK5	6	GSE126044	response_R_vs_NR	5	11	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		9	0.3036963036963037	0.3036963036963037
GOBP_TIGHT_JUNCTION_ORGANIZATION	-0.2915890859676959	-1.1864185963401865	0.12487512487512488	75	-0.4927300733692243	MPP7,PARD3,DLG1,POF1B,CLDN14,LSR,ROCK2,CLDN2,CLDN20,F11R,CLDN7,CLDN3,SLC39A9,TBCD,WNT11,CLDN4,ECT2,CLDN17,GRHL2,CLDN6,MARVELD2,STRN,TJP1,CLDN9,MARVELD3	28	GSE126044	response_R_vs_NR	5	11	TJ	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		82	0.18115218115218115	0.18115218115218115
KRT_EPITHELIAL	-0.4175139300621014	-1.2048691962098508	0.13586413586413587	17	-0.6044138201547331	KRT7,KRT10,KRT8,KRT18	4	GSE126044	response_R_vs_NR	5	11	KERATIN_BARRIER	UP	True	Fixed keratin cytokeratin panel (simple + squamous; not an MSigDB set)		17	0.18115218115218115	0.18115218115218115
HALLMARK_APICAL_JUNCTION	-0.37820278079142394	-1.5069028495920331	0.001998001998001998	195	-0.5923740791939893	CLDN9,EXOC4,CLDN14,EPB41L2,CTNNA1,INSIG1,COL9A1,NEGR1,EGFR,YWHAH,AKT3,VCL,RSU1,PARVA,MVD,CDH4,TJP1,EVL,ACTN1,VASP,ACTN4,FBN1,DSC1,WNK4,HADH	66	GSE135222	response_R_vs_NR	7	20	TJ	UP	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Junction	200	0.002664002664002664	0.002664002664002664
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.4317623837507383	-1.7246210094663954	0.000999000999000999	199	-0.7286324951851858	LRP1,GADD45A,ADAM12,GPX7,LUM,PLOD3,MYLK,SLC6A8,VEGFC,TPM4,IGFBP2,CCN2,PTHLH,TAGLN,COL5A2,RHOB,WNT5A,JUN,COL6A2,COL6A3,FBN1,GAS1,CADM1,FBLN1,DKK1	81	GSE135222	response_R_vs_NR	7	20	EMT	DOWN	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Epithelial Mesenchymal Transition	200	0.001998001998001998	0.001998001998001998
KEGG_TIGHT_JUNCTION	-0.3681261227954341	-1.4463697559329949	0.000999000999000999	167	-0.509234738424067	CLDN9,CLDN20,CLDN14,MPDZ,ARHGEF2,PRKAB1,PRKACA,CLDN24,CDK4,RUNX1,CLDN2,JUN,TJP1,ACTN1,VASP,ACTN4,CLDN17,CCND1,PRKACG,MYH14,CGNL1,CLDN16,MYH11,MYH9,ACTB	47	GSE135222	response_R_vs_NR	7	20	TJ	UP	True	Enrichr KEGG_2021_Human	Tight junction	169	0.001998001998001998	0.001998001998001998
