cohort	term	rho	p	n	n_genes_present	bucket	expected	q
GSE253564	KEGG_TIGHT_JUNCTION	0.2595307917888563	0.15144946460068226	32	164	TJ	UP	0.2271741969010234
GSE253564	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.2111436950146627	0.24603894362574927	32	45	TJ	UP	0.3280519248343324
GSE253564	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.8086510263929618	2.1517350860910552e-08	32	53	KERATIN_BARRIER	UP	7.746246309927798e-07
GSE253564	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.20417888563049855	0.2623236585178761	32	46	EMT	DOWN	0.3434055166052196
GSE253564	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.7606304985337242	4.36751182493372e-07	32	18	KERATIN_BARRIER	UP	5.241014189920464e-06
GSE253564	GOBP_KERATINOCYTE_DIFFERENTIATION	0.8368768328445746	2.4010375868588586e-09	32	41	KERATIN_BARRIER	UP	1.728747062538378e-07
GSE253564	GOBP_KERATINIZATION	0.4288856304985337	0.01431339946638679	32	81	KERATIN_BARRIER	UP	0.029444707473709964
GSE253564	GOBP_CORNIFICATION	0.3867302052785923	0.02877826498853132	32	9	KERATIN_BARRIER	UP	0.05600094808579068
GSE253564	GOBP_TIGHT_JUNCTION_ORGANIZATION	0.3478739002932551	0.05105675675656759	32	77	TJ	UP	0.08752586872554444
GSE253564	KRT_EPITHELIAL	0.7943548387096774	5.721701132511744e-08	32	17	KERATIN_BARRIER	UP	1.3732082718028185e-06
GSE190265	HALLMARK_APICAL_JUNCTION	0.41981274539414076	0.005070059504279981	43	200	TJ	UP	0.014040164781083024
GSE190265	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.18136514648142557	0.24445262642755639	43	198	EMT	DOWN	0.3280519248343324
GSE190265	KEGG_TIGHT_JUNCTION	0.5430383569918453	0.00016817446388599084	43	168	TJ	UP	0.000807237426652756
GSE190265	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.6369676834793113	4.382599236511471e-06	43	47	TJ	UP	3.506079389209177e-05
GSE190265	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.6682271217154938	9.76532633902235e-07	43	53	KERATIN_BARRIER	UP	1.0044335662994416e-05
GSE190265	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.3254303835699185	0.03321688406986152	43	45	EMT	DOWN	0.06293725402710604
GSE190265	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.6633947447900936	1.2458330259588994e-06	43	19	KERATIN_BARRIER	UP	1.1212497233630094e-05
GSE190265	GOBP_KERATINOCYTE_DIFFERENTIATION	0.708245243128964	1.0797619873527597e-07	43	41	KERATIN_BARRIER	UP	1.7783090160675997e-06
GSE190265	GOBP_KERATINIZATION	0.5102688009664754	0.00047280958683970924	43	78	KERATIN_BARRIER	UP	0.0020024876619093566
GSE190265	GOBP_CORNIFICATION	0.5489278163696768	0.00013806732396633715	43	9	KERATIN_BARRIER	UP	0.0007100605232554482
GSE190265	GOBP_TIGHT_JUNCTION_ORGANIZATION	0.5706735125339776	6.448998735390313e-05	43	80	TJ	UP	0.0003869399241234188
GSE190265	KRT_EPITHELIAL	0.7059800664451829	1.2349368167136108e-07	43	17	KERATIN_BARRIER	UP	1.7783090160675997e-06
GSE283829	HALLMARK_APICAL_JUNCTION	0.024420024420024417	0.9037673775784162	27	198	TJ	UP	0.9037673775784162
GSE283829	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.14285714285714285	0.47718259073916525	27	200	EMT	DOWN	0.5285714851264599
GSE283829	KEGG_TIGHT_JUNCTION	0.15384615384615385	0.4435813994091639	27	167	TJ	UP	0.5069501707533302
GSE283829	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.2313797313797314	0.24554595628166978	27	47	TJ	UP	0.3280519248343324
GSE283829	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.5293040293040293	0.00452517863427561	27	54	KERATIN_BARRIER	UP	0.013575535902826829
GSE283829	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.21367521367521367	0.2845417329330727	27	46	EMT	DOWN	0.3594211363365129
GSE283829	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.49389499389499386	0.008837019896944584	27	19	KERATIN_BARRIER	UP	0.021208847752667005
GSE283829	GOBP_KERATINOCYTE_DIFFERENTIATION	0.5634920634920634	0.0022084605352407642	27	42	KERATIN_BARRIER	UP	0.007950457926866751
GSE283829	GOBP_KERATINIZATION	0.2814407814407815	0.15498424333278277	27	83	KERATIN_BARRIER	UP	0.2277319493869461
GSE283829	GOBP_CORNIFICATION	0.2087912087912088	0.29595401803745475	27	9	KERATIN_BARRIER	UP	0.36739119480511623
GSE283829	GOBP_TIGHT_JUNCTION_ORGANIZATION	0.23748473748473747	0.23295834627530748	27	82	TJ	UP	0.3280519248343324
GSE283829	KRT_EPITHELIAL	0.6074481074481074	0.0007784615078762684	27	17	KERATIN_BARRIER	UP	0.0031138460315050737
