lesion,cells,TACSTD2_positive,TACSTD2_percent,CLDN4_positive,CLDN4_percent,pair_positive,pair_percent,pair_epithelial_supported,pair_epithelial_supported_percent,pair_PTPRC_positive,pair_PTPRC_positive_percent
W1,4062,162,3.99,169,4.16,88,2.17,87,2.14,19,0.47
W2,3716,285,7.67,234,6.30,174,4.68,171,4.60,36,0.97
W3,3834,898,23.42,764,19.93,568,14.81,540,14.08,129,3.36
all,11612,1345,11.58,1167,10.05,830,7.15,798,6.87,184,1.58
