dataset,n_samples,n_genes,first_gene,last_gene,TACSTD2,CLDN4,CXCL10,CD274,OPTN,TLR9,note
GSE190265,43,33976,A1BG,ZZZ3,True,True,True,True,True,True,full deposited transcriptome
GSE190266,70,16383,A1BG,MTMR14,False,True,True,True,False,False,Excel-style 16384-column cap; TACSTD2 sorts after T and is absent
