regulon	tf	axis	kind	n_targets	targets	expected	note
IRF1_prior	IRF1	IFN	public_prior	146	ACHE;AKT1;APOL2;BBC3;BCL2;BCL2L2;BIRC3;BIRC5;BLMH;C1R;CAMK4;CASP1;CASP7;CASP8;CASP9;CCL19;CCL2;CCL4;CCL5;CCNB1;CCND1;CCNE1;CCR5;CD200;CD274;CD38;CD40;CD74;CD80;CDK1;CDK2;CDK4;CDKN1A;CEACAM1;CIITA;COL1A2;CREBBP;CSF3;CTNND1;CTSS;CXCL10;CXCL11;CXCL14;CXCL8;CYBB;DDX58;DOT1L;DST;E2F1;EGFR;EIF2AK2;ERAP2;ETV6;FASLG;FGFR1;FOXP3;GBP2;GBP5;GPT;HLA-A;HLA-E;HLA-G;HSPA4;ICAM1;IDO1;IFI35;IFIT2;IFIT3;IFNG;IFNGR1;IFNL1;IGBP1;IL12A;IL12B;IL12RB1;IL15;IL18;IL18BP;IL1B;IL23A;IL27;IL2RA;IL6;IL7;IRF2;IRF8;JUN;KAT2B;LCK;LGALS3;LYZ;MAPK8;MC1R;ME3;MKI67;MMP9;MYB;MYD88;NCF2;NOD1;NOS3;ODC1;OGN;OPTN;PDGFD;PIGR;PMAIP1;POLH;POLR2K;PRKCG;PSMB10;PSMB9;PTGS2;RSAD2;SAMHD1;SELL;SERPINB6;SLC26A6;SLPI;SMARCA4;SOCS1;SOCS2;SP1;SPG7;STAT1;TAP1;TAP2;TAPBP;TERT;TG;TLR2;TLR3;TLR7;TNF;TNFSF10;TNFSF13B;TP53;TP73;TRAF3IP2;TRIM21;TRIM22;TRIM28;UPP1;VCAM1;XAF1;ZNFX1	down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
IRF7_prior	IRF7	IFN	public_prior	20	ATF4;CCL19;CCL2;CCL3;CCL5;CD80;CXCL10;CYSLTR2;FOXP3;IFNL1;IL12A;IL12B;IL27;IL33;IRF3;ISG15;PMAIP1;PPARGC1A;TAP2;TNFSF10	down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
IRF9_prior	IRF9	IFN	public_prior	30	ADAR;ANKRD1;CCL19;CCND2;CDKN1A;CDKN1B;CXCL10;CXCL8;IFIT1;IFIT3;IFNG;IL12A;IL27;IRF7;ISG15;KSR1;MX1;MYOCD;NCAM1;OAS1;OAS2;OAS3;PDCD1;PML;RSAD2;SAMD9L;SNCA;SP100;STAT1;TNFSF10	down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
STAT1_prior	STAT1	IFN	public_prior	806	A2M;AAK1;ABCA1;ABCB1;ABL1;ACAT1;ACSL1;ACSL5;ACTB;ADAMTS4;ADAR;ADCY7;AFF1;AGFG2;AGT;AHNAK;AIM2;AK2;AKAP13;AKT1;ALCAM;ALDH1A2;AMPD3;ANKRD44;ANXA1;AOX1;AP3D1;AP3S2;APOE;APOL4;APOL6;APP;ARHGAP15;ARHGAP25;ARHGAP26;ARHGEF10L;ARHGEF2;ARHGEF3;ARID1A;ARID5B;ARSG;ASAP1;ATG4C;ATP11C;ATP6V0A1;ATP8B4;ATR;ATXN1;B3GAT3;BACE1;BANP;BAX;BCAR3;BCAT1;BCL11A;BCL2;BCL2L14;BCL3;BCL6;BCOR;BCR;BHLHE40;BIN1;BIRC2;BLVRA;BRD8;BST2;BTBD1;C1QB;CACNA1A;CASP2;CASP3;CASP4;CASP7;CASP8;CAST;CCDC12;CCDC88C;CCL11;CCL19;CCL2;CCL3;CCL5;CCL8;CCND1;CCND2;CCND3;CCR1;CCR5;CD14;CD180;CD200;CD22;CD274;CD36;CD40;CD40LG;CD44;CD69;CD79A;CD82;CD83;CD86;CDC42EP3;CDC42SE2;CDC7;CDH23;CDK19;CDK5RAP2;CDK6;CDK8;CDKN1A;CDKN1B;CEBPD;CEBPE;CELF1;CFAP46;CFB;CFH;CFLAR;CFTR;CH25H;CHD9;CHN2;CHST15;CIITA;CISH;CLC;CLIC2;CLIP2;CLU;CMKLR1;CMTM7;COL1A1;COL1A2;COL2A1;COPS5;CPQ;CREB5;CREBBP;CREM;CSF1;CSNK2A2;CTSB;CTSL;CUEDC1;CUX1;CX3CL1;CXCL10;CXCL11;CXCL8;CXCL9;CYBB;CYP19A1;CYTH1;CYTH4;DAPK1;DCLRE1C;DDX50;DENND3;DGKG;DIAPH1;DIMT1;DLEU1;DMXL2;DNAJB12;DNM2;DNMT1;DOCK10;DOCK4;DOCK8;DPYSL2;DSE;DTNB;DTNBP1;DUOX2;DUSP10;DUSP22;EARS2;ECE1;EDEM2;EDN1;EEF2K;EGFR;EGLN3;EHD1;EIF2AK1;EIF2AK2;EIF2AK3;EIF4E;ELF1;ELF5;ELL;ELMO1;ELP3;EMC2;ENPP2;EPB41L3;ERC2;ERCC1;ERGIC1;ERN1;ESR1;ESR2;ETV6;ETV7;FAM78A;FAS;FASLG;FBXO5;FCGR1A;FCGR3A;FCGRT;FCHSD2;FGF2;FGFR1;FGFR3;FGGY;FGL2;FHAD1;FKBP5;FNBP1;FNDC3B;FNIP2;FOS;FOXK1;FOXN3;FOXO3;FOXP1;FOXP3;FRMD4B;FSCN1;FYN;GAB2;GADD45A;GAS7;GATA3;GBP1;GBP2;GCNT2;GFI1;GLIPR2;GLIS3;GLS;GM2A;GNA12;GNAI2;GPCPD1;GPD2;GPR107;GPR132;GPR141;GPR146;GRAMD1A;GRAMD1B;GRB2;GREB1;GSAP;GSE1;GSN;GSTK1;HAMP;HCFC1;HDAC4;HDAC7;HDAC9;HIVEP2;HIVEP3;HK1;HK2;HLA-A;HLA-DMA;HLA-DMB;HLA-DQA2;HLA-DRB1;HLA-E;HLX;HM13;HMGB1;HMOX1;HNRNPR;HOOK2;HPCAL1;HSP90AA1;HSPA4;HSPB1;HSPG2;HTRA1;ICAM1;IDO1;IDO2;IER5;IFI27;IFI30;IFI35;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IFNG;IFNGR1;IFNGR2;IFNLR1;IGF1;IGF1R;IGF2R;IGFBP3;IGFLR1;IL12A;IL12B;IL12RB1;IL12RB2;IL15;IL16;IL17D;IL17RA;IL18BP;IL1B;IL1R1;IL21;IL21R;IL27;IL2RA;IL4R;IL6;IL6R;IL6ST;IL7R;INO80;INPP4A;INPP5D;IPCEF1;IQGAP2;IQSEC1;IRF1;IRF2;IRF7;IRF8;IRF9;ISG15;ISG20;ITGB1;ITGB2;ITPR1;IVL;JADE2;JAK1;JAK2;JMJD1C;JUN;JUNB;KCNJ15;KCNMA1;KDM6B;KIF2A;KITLG;KLF4;KLF6;KLF7;KLF9;KLHL6;KRT17;KYNU;LAMA3;LAP3;LAPTM4B;LAPTM5;LAT;LCN2;LCP2;LDLR;LGALS3;LHFPL2;LIMD1;LIMS1;LINC00299;LIPA;LITAF;LMNA;LMO2;LONP1;LPL;LPP;LRCH1;LRRFIP1;LY96;LYN;MACF1;MAD1L1;MAML3;MAN1A1;MAP1LC3B;MAP3K14;MAP3K5;MAP3K8;MAPK1;MAPKAPK2;MAPKAPK3;MARK3;MAT2A;MBNL1;MBP;MCF2L;MCF2L2;MCL1;MCTP1;MDC1;MDM2;MED15;MED16;MED23;MEF2D;MET;METTL9;MGAT1;MGLL;MGRN1;MLC1;MMP13;MMP7;MMP9;MNT;MPZL1;MSN;MSR1;MTMR9;MTSS1;MUC1;MUC4;MVP;MX1;MYC;MYD88;MYH9;MYO18A;MYO9B;MYOF;N4BP1;NAA35;NABP1;NCF2;NCL;NCOA7;NCOR2;NEDD4L;NEDD9;NEK6;NFE2L2;NFKB1;NFKBIZ;NLRC5;NLRP3;NMI;NOX4;NOX5;NPAT;NR3C1;NR4A2;NRP1;NRP2;OAS1;OAS2;OAS3;OASL;OSBPL3;OSM;P2RY6;PACSIN2;PARK7;PARP14;PDE4B;PDE4D;PDGFB;PFKFB3;PGS1;PHACTR2;PIAS1;PIK3AP1;PIK3CB;PIK3R1;PIK3R5;PIM1;PIP4K2A;PKIG;PLAC8;PLAU;PLB1;PLCB1;PLCG1;PLCG2;PLEC;PLEKHA2;PLEKHG3;PLEKHO1;PLSCR1;PLXNC1;PMAIP1;PML;POLA1;POLR1A;POMC;POU2F2;POU3F1;PPARA;PPARG;PPFIBP2;PPIP5K2;PPM1H;PRDM16;PREX1;PRF1;PRKAG2;PRKCB;PRKCD;PRKCE;PRKCH;PROS1;PRPF31;PRUNE2;PSMB9;PSMD1;PSTPIP2;PTGFR;PTGS2;PTK2B;PTN;PTP4A2;PTPN2;PTPN6;PTPRE;PTPRJ;PTTG1IP;PWP2;RAB31;RAB3GAP2;RAD51B;RALGDS;RAP1GAP2;RAPGEF1;RAPGEF2;RARA;RASA3;RASGEF1B;RASSF2;RASSF4;RASSF5;RB1;RBAK;RBFOX3;RBM47;RBMS1;RBPJ;RC3H1;RCN1;RELA;RERE;REST;REV3L;RFTN1;RFX3;RGS12;RHBDD2;RHBDF2;RHOA;RHOF;RIN2;RIN3;RIPK1;RNF213;RPGR;RPS24;RREB1;RTN4;RUNX1;RUNX3;S100A10;S100A11;SAMD4A;SAMSN1;SBNO2;SCARB1;SCGB3A1;SEC14L1;SEMA4B;SEMA4D;SGK1;SGMS1;SH2B3;SH3BP2;SH3BP5;SH3KBP1;SH3TC1;SHANK2;SIK3;SKI;SKP2;SLA;SLC12A8;SLC1A2;SLC1A3;SLC25A37;SLC44A3;SLC6A6;SLC7A7;SLC8A1;SLCO3A1;SLPI;SMAD3;SMARCA4;SMCO4;SMG6;SNAP91;SNRNP27;SNX10;SNX30;SNX8;SOCS1;SOCS2;SOCS3;SOCS4;SOCS5;SOCS6;SOCS7;SOD2;SP110;SPIDR;SRC;SRGN;ST14;ST3GAL1;ST3GAL2;ST6GAL1;STAG1;STAT2;STAT3;STAT6;STK10;STK40;SUB1;SUSD1;SUSD6;SYK;TACC1;TAF1B;TAOK3;TAP1;TBC1D1;TBC1D14;TBC1D2B;TBX21;TBXAS1;TCF4;TCF7L2;TFEB;TG;TGFA;TGFBI;TGM2;TH;THADA;TIAM1;TIMP1;TIMP3;TLE4;TLR3;TLR8;TMX3;TNF;TNFAIP3;TNFAIP8;TNFRSF10B;TNFRSF1A;TNFRSF8;TNFSF10;TNFSF11;TNFSF13B;TNFSF8;TNIP1;TNS1;TNS3;TP53;TP53BP1;TP73;TPCN1;TRAF1;TRAF6;TRAPPC9;TRIM25;TRIM69;TRIO;TRIP6;TRPS1;TSPAN14;TTC7A;TTC7B;TUBA1C;TUBGCP5;TYK2;UBC;UBR1;UPP1;USP10;UTP14A;UTRN;VANGL1;VEGFA;VIM;VMP1;VOPP1;VPS33B;VPS53;VRK2;WIPF1;XAF1;XXYLT1;XYLT1;ZBTB7B;ZC3HAV1;ZCCHC2;ZEB2;ZFP1;ZFP30;ZFP36;ZFP36L1;ZMIZ1;ZNF107;ZNF112;ZNF114;ZNF12;ZNF124;ZNF140;ZNF155;ZNF169;ZNF175;ZNF181;ZNF184;ZNF19;ZNF200;ZNF205;ZNF222;ZNF226;ZNF227;ZNF23;ZNF230;ZNF235;ZNF25;ZNF251;ZNF254;ZNF267;ZNF268;ZNF273;ZNF282;ZNF302;ZNF311;ZNF331;ZNF333;ZNF337;ZNF33B;ZNF343;ZNF354A;ZNF365;ZNF367;ZNF398;ZNF41;ZNF417;ZNF418;ZNF419;ZNF425;ZNF460;ZNF490;ZNF496;ZNF510;ZNF519;ZNF529;ZNF546;ZNF550;ZNF567;ZNF585A;ZNF589;ZNF596;ZNF599;ZNF613;ZNF619;ZNF630;ZNF655;ZNF669;ZNF670;ZNF680;ZNF689;ZNF713;ZNF721;ZNF746;ZNF764;ZNF777;ZNF778;ZNF782;ZNF786;ZNF79;ZNF8;ZNF81;ZNF84;ZNF860;ZNF879;ZSWIM6	down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
STAT2_prior	STAT2	IFN	public_prior	72	ADAR;ANKRD1;ATP13A1;BST2;CBL;CCL19;CCL2;CFB;CMTR1;CREBBP;CXCL8;DDX60L;DGKE;DHX58;DTX3L;EIF2AK2;EPSTI1;FAM111A;HGF;HLA-E;IFI35;IFIT2;IFIT3;IFNG;IGF1;IGF2;IL12A;IL20RA;IL21;IL27;IL6;IRF1;IRF7;IRF9;ISG15;JUN;JUND;MCL1;ME3;MOV10;MSR1;MX1;MYD88;NFKB2;OAS1;OAS2;OAS3;OASL;PARP10;PARP14;PARP9;PIM1;PML;PSMB8;PTGS2;RCAN1;SAMD9;SAMHD1;SCARB1;SCARB2;SERPINE1;SIRPA;SOCS1;SP110;SP140L;STAT1;TAP2;TGFA;TRIM21;TRIM56;USF1;XAF1	down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
NLRC5_prior	NLRC5	MHC	public_prior	0		down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
CIITA_prior	CIITA	MHC	public_prior	28	COL1A1;COL1A2;CREBBP;FASLG;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPB1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;HLA-F;HLA-G;IRF1;IRF2;MMP9;PLXNA1;PSMC5;RAB4B;S100A4;SIRT1;STAT1	down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
RFX5_prior	RFX5	MHC	public_prior	31	BTN2A1;BTN2A2;BTN3A1;BTN3A2;CD74;CIITA;COL1A2;CR2;HDAC2;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;HLA-F;HLA-G;IFNG;MR1;PSMB8;SIN3B;SIRT1;TSPAN3	down	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
ELF3_prior	ELF3	A10	a10_given_prior	26	ANGPT1;AR;CCL20;CCND3;CLDN7;COL2A1;EGR1;EHF;ERBB2;FOLH1;GADD45GIP1;HP;IL1B;ITGB6;KRT4;KRT8;LYZ;MED23;MMP13;MMP9;NOTCH3;POU5F1;PTGS2;TGFB1;TGFBR2;TIMP3	given	A10 ELF3–CLDN4 taken as given; scored but not a success criterion; not ChIP
GRHL1_prior	GRHL1	TJ	public_prior	1	IGF2	up	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
