cut	endpoint	n_q4	n_q1	median_q4	median_q1	U	p	q1_cut	q3_cut
CD274_Q4_vs_Q1	CLDN4	111	111	10.498953	10.518403	5872.0	0.547256058689441	7.617324249999999	8.934866249999999
CLDN4_Q4_vs_Q1	CD274	111	111	8.146529	8.269831	6070.0	0.850808810679768	9.9941625	11.026872999999998
