anchor	feature	n	rho	p	ci_lo	ci_hi	partial_rho_ESTIMATEScore	partial_p_ESTIMATEScore	n_partial	note	q_primary_CD274_MHCI	q_HLA_single
CLDN4	CD274	442	-0.03391757814429818	0.4769221029541272	-0.12750050588549108	0.05855414230940502	0.15562868323264176	0.0010420271093490824	442	primary; new CD274 cut	0.4769221029541272	
CLDN4	MHC-I	442	-0.12447159798109207	0.008802004165715888	-0.21611783638564763	-0.031697540148423284	0.042813177001362265	0.36975291137404864	442	mean-z of HLA-A,HLA-B,HLA-C,B2M	0.017604008331431775	
CLDN4	HLA-A	442	-0.017662282832910905	0.7111547912605057	-0.11507027419056494	0.0767348014781133	0.0908820162600655	0.0565136270844413	442	single gene		0.8296805898039233
CLDN4	HLA-B	442	-0.05968430087784376	0.21044090491828066	-0.1530068374902105	0.03132149005408144	0.11460586367962855	0.016047613354970014	442	single gene		0.2946172668855929
CLDN4	HLA-C	442	-0.09927548029109196	0.03694297557937062	-0.1903017259336009	-0.006025900734958977	0.04448860334279533	0.35130002557340223	442	single gene		0.12033063444630192
CLDN4	B2M	442	-0.24062120908864373	3.0576204239344014e-07	-0.32715694090818564	-0.14867471323750758	-0.1082112711162415	0.023046417276717773	442	single gene		2.140334296754081e-06
CLDN4	HLA-E	442	-0.08203600940289293	0.08493752304740043	-0.1770996037630904	0.013257362327486012	0.10557291532071093	0.026627357054045685	442	single gene		0.14864066533295076
CLDN4	HLA-DRA	442	-0.09265835175883168	0.05157027190555796	-0.18500556399426865	-0.0025174754401206256	0.08510045182059321	0.07421637859208165	442	single gene		0.12033063444630192
CLDN4	HLA-DRB1	442	-0.005190546439100036	0.9133478706979699	-0.09706773437762806	0.0899107587623351	0.15289584166474404	0.0012789763776039464	442	single gene		0.9133478706979699
TACSTD2	CD274	442	-0.021395189184907504	0.653730547540058					442	companion only; not the finding		
