sample	CLDN4	CD274	TACSTD2	HLA-A	HLA-B	HLA-C	B2M	MHC_I	ESTIMATE_Score	ESTIMATE_ImmuneScore	CD274_quartile
GSM1854797	11.590095	7.47417	12.711317	12.06777	13.000969	12.349161	13.045488	-0.45179559493344823	11481.04847137919	6154.484241789283	Q1
GSM1854798	11.241401	7.918195	12.586224	12.653019	13.267212	12.502421	13.212859	0.3870588136427059	10631.713049602819	6281.242551442179	Q2
GSM1854799	10.391963	10.966339	12.515736	11.875654	13.464515	12.715184	13.201767	0.2380692925138182	12930.352094776274	7185.681085436343	Q4
GSM1854800	10.105332	9.055294	10.737896	12.736571	13.200694	12.632615	13.079651	0.32627058991660807	10590.325550085603	6589.721338393013	Q4
GSM1854801	10.114758	8.730572	12.427765	12.43602	13.115598	12.505638	13.21689	0.18482923974903656	9179.709240815364	6440.798011457257	Q3
GSM1854802	11.566509	8.263859	12.426062	11.568402	12.945986	12.433845	13.051218	-0.6821066721385132	9821.05610229622	5763.121875859282	Q3
GSM1854803	9.673386	7.908168	12.333259	12.526858	13.152001	12.681943	13.170375	0.34487067157766776	9538.177880472509	6552.636325324445	Q2
GSM1854804	10.573357	7.90306	12.396569	11.708633	13.162199	12.675688	13.249507	-0.0032147643961714656	10902.470648377546	6684.711366117192	Q2
GSM1854805	10.503024	8.228451	12.843073	11.459405	13.013962	12.277587	13.014951	-0.8846663657720071	9863.874609303755	5251.885121818355	Q3
GSM1854806	10.955422	7.841183	12.205223	12.084615	12.965639	12.636523	13.075109	-0.17820147153913718	10438.013313099309	5525.843803068978	Q2
GSM1854807	10.793976	8.008331	12.971396	13.030487	12.971252	12.706305	13.265353	0.6665645804755693	10049.032220097022	6042.976312193244	Q2
GSM1854808	9.635446	8.404918	12.229222	12.394381	13.163805	12.797731	13.304676	0.557530111672135	11889.538570637638	6543.811353767207	Q3
GSM1854809	11.249662	8.167353	12.21411	12.079735	12.737089	12.010498	12.743042	-1.2968811571740595	8657.74331859044	5185.014786478672	Q2
GSM1854810	11.094269	9.076594	12.498276	12.981643	13.320262	12.503744	13.170279	0.5451346658101708	12656.195805621071	7475.497984347821	Q4
GSM1854811	10.880391	7.579163	12.745108	12.340504	12.662956	12.443115	12.837384	-0.6995607244207698	8137.1198219437965	4729.740102647	Q1
GSM1854812	8.306731	7.245433	12.31907	12.344475	13.041007	12.355531	13.108081	-0.18461644800364868	8388.490726117183	5091.707795473072	Q1
GSM1854813	9.941619	8.032346	11.899492	11.942942	13.277081	12.640489	13.226752	0.13444507973943748	10617.45320746491	6478.658273526427	Q2
GSM1854814	11.748082	7.139354	13.063441	12.405883	13.302113	12.731586	13.246023	0.5104376600279179	8781.795452918277	5175.495368453828	Q1
GSM1854815	10.827481	9.482774	12.822407	12.274763	13.3248	12.919523	13.304128	0.6894577762119751	11563.65909137533	7037.564224742344	Q4
GSM1854816	10.518403	7.609397	12.290188	12.526158	12.697798	12.23745	13.207669	-0.2535104230168372	10217.739651671778	6117.072770747416	Q1
GSM1854817	9.651542	6.425758	12.492182	12.148048	11.723717	11.955333	12.897477	-1.6978349231493286	5226.734862329447	2946.866198934695	Q1
GSM1854818	10.088384	11.089679	11.653772	12.676268	13.358037	12.830377	13.22123	0.7449302619360879	12513.806009419255	7553.360718513894	Q4
GSM1854819	11.515809	8.561692	12.471472	12.947512	13.474323	12.781789	13.121677	0.7893054352584629	10644.515040618735	6704.725654318581	Q3
GSM1854820	9.423176	8.908602	11.927493	12.648625	13.366401	12.560296	13.257803	0.5531074220332717	13952.556405763793	8169.250882417549	Q3
GSM1854821	9.730929	7.907953	12.302251	13.167851	13.402826	12.809426	13.449307	1.3335676463116115	10999.877787083633	6395.911145990638	Q2
GSM1854822	10.715073	5.489775	12.535225	11.808455	12.234252	11.910894	12.561069	-2.074866440726287	6368.825347088019	3888.308862440208	Q1
GSM1854823	11.773624	8.24324	12.653355	12.350454	13.080348	12.446599	13.128375	-0.05299942436676665	6463.404249335248	3731.7752181159553	Q3
GSM1854824	9.948511	8.794885	11.24945	12.6816	13.301204	12.599327	13.24245	0.5455648538829394	12784.167524052747	7341.23158186317	Q3
GSM1854825	9.979506	8.000417	12.736289	12.891537	13.411828	13.023454	13.207009	1.0422003121504415	9718.716845177807	5659.994519356506	Q2
GSM1854826	10.281315	8.06098	12.633254	11.741842	13.261723	12.559965	13.153142	-0.1541892463603757	11503.345126484899	6899.957455700844	Q2
GSM1854827	10.782874	10.625313	12.288707	12.007377	13.136906	12.460777	13.306506	0.041161686516146156	10957.373539893615	6284.127617423401	Q4
GSM1854828	11.160178	7.756571	12.682057	12.647849	13.026675	12.30357	13.042233	-0.1572080433816382	10123.166333506242	5408.443876925203	Q2
GSM1854829	11.686318	10.951343	12.519367	12.503335	13.015564	12.34655	12.956138	-0.3232064233940396	9869.708201877818	5909.889975023118	Q4
GSM1854830	10.780768	7.018634	12.618591	12.21626	12.818025	12.146131	13.049207	-0.645733092943205	7829.965043033964	3496.045381767895	Q1
GSM1854831	11.146211	5.904401	12.146031	11.665955	11.952077	11.839327	12.524088	-2.4318548025954496	6100.755178784395	3494.0645913897897	Q1
GSM1854832	11.82668	7.852351	12.66324	12.493283	13.256835	12.480182	13.133421	0.1663012434096757	9078.447535534096	5763.469304731467	Q2
GSM1854833	9.714001	9.435328	12.306251	12.493164	13.108578	12.744532	13.354372	0.6011977262975323	11659.85423568137	6844.850039334469	Q4
GSM1854834	10.962798	8.465404	12.611526	12.39515	13.409843	12.671224	13.141723	0.3764669439576886	10896.05863341049	6338.869533376978	Q3
GSM1854835	11.530393	8.58546	12.748008	12.451544	13.212488	12.438502	13.3144	0.3245405074613257	11445.618160378512	6663.67915310625	Q3
GSM1854836	9.819017	8.125686	12.119942	12.557203	13.009727	12.37356	13.130919	-0.03869842236142433	13474.66121532708	7058.560840610629	Q2
GSM1854837	10.466744	6.453088	12.900503	12.099921	12.259044	11.943979	12.917106	-1.3912449186995182	8212.483101767604	4800.3678643583535	Q1
GSM1854838	11.857188	7.532691	13.079193	12.404299	13.073997	12.570005	13.189778	0.16107857050890662	11477.72638229791	6155.023432421696	Q1
GSM1854839	11.113532	7.783262	12.555201	12.526676	12.994805	12.631503	13.227784	0.28589190341362525	9905.746525313285	5890.928653367153	Q2
GSM1854840	10.579843	9.042704	11.750777	12.608164	13.191454	12.804107	13.315222	0.7124235852361146	13024.816404864167	7585.940791254722	Q4
GSM1854841	9.85545	6.5393	12.035711	12.135673	13.025137	12.593427	12.908241	-0.37569570476810565	6877.409023523698	4381.176721119639	Q1
GSM1854842	9.786565	8.496471	12.31765	12.280402	12.924474	12.640129	13.187346	0.06030265987350997	12111.042265984808	6506.461803779601	Q3
GSM1854843	9.578265	7.745696	12.44617	12.168887	13.136229	12.71154	13.295799	0.3302747605266553	11342.893096506052	6237.360848801916	Q2
GSM1854844	10.376676	6.120324	12.791598	11.831764	11.326091	11.716442	13.024384	-2.1423262194304895	5647.07647602054	2999.8653691576706	Q1
GSM1854845	9.073212	8.918956	11.909153	12.484257	13.039548	12.714001	13.356713	0.5324928989652624	13033.303217914054	7056.721352569601	Q3
GSM1854846	10.790284	6.935351	12.425054	11.545398	12.109525	11.868124	13.014022	-1.7226314553515127	8003.9085787642025	4500.867526528638	Q1
GSM1854847	8.522482	7.770343	11.98889	11.964158	12.826666	12.63191	13.428753	0.14401176367015378	13087.595547055731	6811.683044733979	Q2
GSM1854848	9.697918	9.000479	12.217117	11.488388	13.281284	12.294381	13.399708	-0.17888895518791953	12117.991843025793	7303.872582599553	Q4
GSM1854849	11.186429	8.339256	12.232852	11.908593	13.142262	12.406612	13.285124	-0.08559921868330927	10769.240335622098	6379.52796873487	Q3
GSM1854850	10.558353	5.861661	12.452076	11.596576	11.525643	12.046771	12.820434	-2.147270940745605	7128.44853664406	3871.983094509178	Q1
GSM1854851	9.998685	8.071113	12.883978	11.365437	12.808857	12.378837	13.103435	-0.8528938209349916	9871.806943915974	5928.673611354902	Q2
GSM1854852	11.347242	8.006425	12.584557	12.20937	12.77307	12.30307	13.142978	-0.41614127242451676	10704.528261262145	5997.994194957827	Q2
