Study_ID,GSM_ID,IN_VIVO,Cancer_type,Cell_Line,sub_clone,Condition,ICB,ICB_study,ICB_group,ICB_Baseline_TYPE,Baseline,Cell_treatment,Cell_genotype,Tumor,Mouse_genotype,Mouse_strain,Mouse_treatment,Timepoint,Implantation,Implantation_site,SRX_ID,SampleName,has_expr,Tacstd2,is_control_arm,is_icb_arm
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day7,subcutaneous,flank,ERX3246767,ERX3246767,True,2.631373324998632,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day7,subcutaneous,flank,ERX3246768,ERX3246768,True,0.13717250158950856,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day7,subcutaneous,flank,ERX3246769,ERX3246769,True,4.1910780385009145,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day7,subcutaneous,flank,ERX3246770,ERX3246770,True,0.35783676632001504,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day7,subcutaneous,flank,ERX3246771,ERX3246771,True,0.3456981092945751,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day14,subcutaneous,flank,ERX3246777,ERX3246777,True,1.8265048418858145,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day14,subcutaneous,flank,ERX3246778,ERX3246778,True,0.1712171001122552,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day14,subcutaneous,flank,ERX3246779,ERX3246779,True,0.30266366887994006,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day14,subcutaneous,flank,ERX3246780,ERX3246780,True,0.6573304915344763,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,1,R,antiCTLA4&antiPDL1,,0,,WT,primary,WT,BALB/c,antiPDL1; antiCTL4;,day14,subcutaneous,flank,ERX3246781,ERX3246781,True,0.3213438817395438,False,True
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day7,subcutaneous,flank,ERX3246762,ERX3246762,True,2.6401313177621293,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day7,subcutaneous,flank,ERX3246763,ERX3246763,True,2.7215474909735047,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day7,subcutaneous,flank,ERX3246764,ERX3246764,True,0.12007623853989693,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day7,subcutaneous,flank,ERX3246765,ERX3246765,True,0.480306402118443,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day7,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day7,subcutaneous,flank,ERX3246766,ERX3246766,True,0.11171660706885247,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day14,subcutaneous,flank,ERX3246772,ERX3246772,True,0.3680247769619432,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day14,subcutaneous,flank,ERX3246773,ERX3246773,True,0.3344772772970326,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day14,subcutaneous,flank,ERX3246774,ERX3246774,True,0.1943359020204979,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day14,subcutaneous,flank,ERX3246775,ERX3246775,True,0.06507693433940874,True,False
ERP114266,,in_vivo,Colorectal carcinoma,CT26,parental,day14,0,Baseline,,R,1,,WT,primary,WT,BALB/c,isotype,day14,subcutaneous,flank,ERX3246776,ERX3246776,True,0.2542701496852118,True,False
GSE100412,GSM2680518,in_vivo,Lung carcinoma,CMT-167,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949961,SRX2949961,True,0.526732899642473,True,False
GSE100412,GSM2680519,in_vivo,Lung carcinoma,CMT-167,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949962,SRX2949962,True,0.41035955883442937,True,False
GSE100412,GSM2680520,in_vivo,Lung carcinoma,CMT-167,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949963,SRX2949963,True,0.6328516909081752,True,False
GSE100412,GSM2680505,in_vivo,Lung carcinoma,LLC,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949948,SRX2949948,True,0.3319751188491103,True,False
GSE100412,GSM2680506,in_vivo,Lung carcinoma,LLC,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949949,SRX2949949,True,0.41405579236290857,True,False
GSE100412,GSM2680507,in_vivo,Lung carcinoma,LLC,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949950,SRX2949950,True,0.5681334356078781,True,False
GSE100412,GSM2680508,in_vivo,Lung carcinoma,LLC,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949951,SRX2949951,True,0.0,True,False
GSE100412,GSM2680509,in_vivo,Lung carcinoma,LLC,parental,,0,,,,1,,luciferase,primary,WT,C57BL/6-Tg(UBC-GFP)30Scha/J,no_treatment,,orthotopic,left lung lobe parenchyma,SRX2949952,SRX2949952,True,0.5621942927291791,True,False
GSE101104,GSM2699186,in_vivo,Melanoma,B16,B16F1,,0,,,,1,,WT,primary,WT,C57BL/6J,no_treatment,,intradermal,flank,SRX2994177,SRX2994177,True,2.3663696321253735,True,False
GSE101104,GSM2699187,in_vivo,Melanoma,B16,B16F1,,0,,,,1,,WT,primary,WT,C57BL/6J,no_treatment,,intradermal,flank,SRX2994178,SRX2994178,True,2.428815973582063,True,False
GSE101104,GSM2699188,in_vivo,Melanoma,B16,B16F1,,0,,,,1,,WT,primary,WT,C57BL/6J,no_treatment,,intradermal,flank,SRX2994179,SRX2994179,True,3.486765243512262,True,False
