study,cell_line,cancer_type,icb_arm,timepoint,n_icb,n_control,control_match_level,mean_log2_icb,mean_log2_control,delta_log2,mannwhitney_p,expressed,direction,status
ERP114266,CT26,Colorectal carcinoma,antiPDL1; antiCTL4;,day14,5,5,study+cell_line+timepoint,0.6558,0.2432,0.4126,0.42063492063492064,True,up,ok
ERP114266,CT26,Colorectal carcinoma,antiPDL1; antiCTL4;,day7,5,5,study+cell_line+timepoint,1.5326,1.2148,0.3179,0.8412698412698413,True,up,ok
GSE103725,YUMM1.7,Melanoma,BRAFi; antiPDL2;,,4,4,study+cell_line,0.1202,1.6993,-1.5792,0.34285714285714286,True,down,ok
GSE107801,EMT6,Mammary carcinoma,M7824 (anti_PDL1_TGFb_Trap),,10,20,study+cell_line,0.7434,0.1225,0.621,0.045289483389467707,True,up,ok
GSE107801,EMT6,Mammary carcinoma,antiPDL1;,,10,20,study+cell_line,0.1931,0.1225,0.0707,0.16561495398335846,False,up,ok
GSE109485,B16,Melanoma,antiPD1; antiCTLA4; intra&extracranial;,,3,6,study+cell_line,0.0076,0.0033,0.0044,0.41849223344681985,False,up,ok
GSE109485,B16,Melanoma,antiPD1; antiCTLA4; intracranial;,,3,6,study+cell_line,0.019,0.0033,0.0158,0.2807126652684958,False,up,ok
GSE124821,KPB25L,"Mammary cancer, NOS",antiPD1; antiCTLA4;,day3,8,14,study+cell_line+timepoint,3.0712,2.7439,0.3273,0.3650311161147075,True,up,ok
GSE124821,KPB25L,"Mammary cancer, NOS",antiPD1; antiCTLA4;,day7,10,8,study+cell_line+timepoint,2.4435,2.4597,-0.0162,0.8285570638511814,True,down,ok
GSE124821,KPB25L,"Mammary cancer, NOS",antiPD1; antiCTLA4;,end,7,12,study+cell_line+timepoint,2.7862,3.3946,-0.6084,0.38445661665475905,True,down,ok
GSE124821,T11,"Mammary cancer, NOS",antiPD1; antiCTLA4;,day3,11,12,study+cell_line+timepoint,0.2483,0.1693,0.079,0.2942370484552679,False,up,ok
GSE124821,T11,"Mammary cancer, NOS",antiPD1; antiCTLA4;,day7,12,12,study+cell_line+timepoint,0.3735,0.238,0.1355,0.06872294338627076,False,up,ok
GSE124821,T11,"Mammary cancer, NOS",antiPD1; antiCTLA4;,end,14,13,study+cell_line+timepoint,0.2308,0.1618,0.069,0.4516812587061103,False,up,ok
GSE124821,p53-2225L,"Mammary cancer, NOS",antiPD1; antiCTLA4;,day3,5,8,study+cell_line+timepoint,3.7817,3.8985,-0.1167,0.6216006216006216,True,down,ok
GSE124821,p53-2225L,"Mammary cancer, NOS",antiPD1; antiCTLA4;,end,3,6,study+cell_line+timepoint,3.2998,3.394,-0.0943,0.7142857142857142,True,down,ok
GSE124821,p53-2336R,"Mammary cancer, NOS",antiPD1; antiCTLA4;,day3,5,3,study+cell_line+timepoint,0.1764,0.0,0.1764,0.3291139859786082,False,up,ok
GSE124821,p53-2336R,"Mammary cancer, NOS",antiPD1; antiCTLA4;,end,5,8,study+cell_line+timepoint,2.1696,0.1517,2.0178,0.04506604506604507,True,up,ok
GSE130472,4T1,Mammary carcinoma,antiCTLA4; old;,,8,14,study+cell_line,2.101,2.1711,-0.0701,0.5698908590549457,True,down,ok
GSE130472,4T1,Mammary carcinoma,antiCTLA4; young;,,12,14,study+cell_line,2.0223,2.1711,-0.1488,0.29169697358948865,True,down,ok
GSE130472,4T1,Mammary carcinoma,antiPDL1; old;,,8,14,study+cell_line,1.9182,2.1711,-0.253,0.3650311161147075,True,down,ok
GSE130472,4T1,Mammary carcinoma,antiPDL1; young;,,10,14,study+cell_line,1.514,2.1711,-0.6572,0.010862255333717217,True,down,ok
GSE132529,4T1,Mammary carcinoma,antiPD1,,3,3,study+cell_line,4.618,4.6064,0.0117,1.0,True,up,ok
GSE134388,B16,Melanoma,antiPD1; Gvax;,,6,0,,,,,,,,no_matched_control_arm
GSE136121,MC38,Colorectal carcinoma,antiPD1,,4,0,,,,,,,,no_matched_control_arm
GSE137818,4T1,Mammary carcinoma,antiPD1,,8,15,study+cell_line,4.0854,3.4956,0.5899,0.14629937997417355,True,up,ok
GSE139475,CT26,Colorectal carcinoma,antiPD1,,9,5,study+cell_line,1.3127,1.6294,-0.3167,0.23976023976023977,True,down,ok
GSE146027,YTN16,Gastric adenocarcinoma,antiCTLA4,day14,5,4,study+cell_line+timepoint,5.6579,3.0539,2.6041,0.031746031746031744,True,up,ok
GSE146027,YTN16,Gastric adenocarcinoma,antiCTLA4,day21,5,5,study+cell_line+timepoint,4.9378,5.0807,-0.1429,0.5476190476190477,True,down,ok
GSE146027,YTN16,Gastric adenocarcinoma,antiCTLA4,day7,5,4,study+cell_line+timepoint,5.587,2.3769,3.2101,0.015873015873015872,True,up,ok
GSE146027,YTN16,Gastric adenocarcinoma,antiPD1,day10,4,4,study+cell_line+timepoint,1.2126,1.0799,0.1327,0.4857142857142857,True,up,ok
