dataset	GSE221733
panel	GeoMx Cancer Transcriptome Atlas (CTA)
n_genes	1812
n_probes	8659
n_probe_genes	1812
cldn4_on_panel	False
n_cldn_string_hits	0
n_geo_aoi	93
n_geo_tumor	46
n_geo_stroma	46
n_geo_geom	1
n_patients	41
n_qc_fail	23
n_norm	68
n_norm_tumor	39
n_norm_stroma	29
n_qc_matrix	69
n_tcell_aoi	0
n_paired_cores	23
n_tumor_only_cores	16
n_stroma_only_cores	6
n_norm_tumor_R	15
n_norm_tumor_NR	23
n_norm_tumor_NA	1
n_norm_tumor_patients	35
n_norm_tumor_patients_R	15
n_norm_tumor_patients_NR	19
n_norm_tumor_patients_NA	1
tacstd2_on_panel	True
epcam_on_panel	True
cd8a_on_panel	True
tests_run	False
proxy_genes_used	False
