atlas_name	level	downloadSource	FileFormat	n_files
HTAN BU	Level 1	dbGaP	fastq	504
HTAN BU	Level 2	dbGaP	bam	16
HTAN BU	Level 3	Synapse	csv	45
HTAN BU	Level 4	Synapse	csv	32
HTAN DFCI	Level 1	dbGaP	fastq	18
HTAN HTAPP	Level 1	dbGaP	fastq	78
HTAN HTAPP	Level 2	dbGaP	bam	34
HTAN HTAPP	Level 3	Synapse	mtx	34
HTAN HTAPP	Level 3	Synapse	tsv	68
HTAN HTAPP	Level 4	Synapse	tsv	35
HTAN MSK	Level 1	dbGaP	fastq	680
HTAN MSK	Level 2	dbGaP	bam	118
HTAN MSK	Level 3	Synapse	csv	338
HTAN MSK	Level 3	Synapse	mtx	110
HTAN MSK	Level 4	Synapse	csv	191
HTAN MSK	Level 4	Synapse	hdf5	13
HTAN MSK	Level 4	Synapse	txt	76
