atlas_name	level	downloadSource	FileFormat	assayName	Filename	synapseId	CellTotal	diagnosis	organ
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Ground-glass-opacity/Ground-glass-opacity_S8_L001_R1_001.fastq.gz	syn23665348		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Ground-glass-opacity/Ground-glass-opacity_S8_L001_R2_001.fastq.gz	syn23665351		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Ground-glass-opacity/Ground-glass-opacity_S8_L002_R1_001.fastq.gz	syn23665347		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Ground-glass-opacity/Ground-glass-opacity_S8_L002_R2_001.fastq.gz	syn23665352		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Normal-lung/Normal-lung_S7_L001_R1_001.fastq.gz	syn23665346		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Normal-lung/Normal-lung_S7_L001_R2_001.fastq.gz	syn23665349		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Normal-lung/Normal-lung_S7_L002_R1_001.fastq.gz	syn23665345		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case1/Normal-lung/Normal-lung_S7_L002_R2_001.fastq.gz	syn23665350		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/GGO/Ground_glass_opacity_S2_L001_R1_001.fastq.gz	syn23665366		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/GGO/Ground_glass_opacity_S2_L001_R2_001.fastq.gz	syn23665373		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/GGO/Ground_glass_opacity_S2_L002_R1_001.fastq.gz	syn23665365		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/GGO/Ground_glass_opacity_S2_L002_R2_001.fastq.gz	syn23665372		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/Normal/Normal_lung_S1_L001_R1_001.fastq.gz	syn23665368		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/Normal/Normal_lung_S1_L001_R2_001.fastq.gz	syn23665374		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/Normal/Normal_lung_S1_L002_R1_001.fastq.gz	syn23665363		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/Normal/Normal_lung_S1_L002_R2_001.fastq.gz	syn23665371		Adenocarcinoma NOS	Lung
HTAN BU	Level 1	dbGaP	fastq	scRNA-seq	HTAN BU/sc_rna_seq_Level_1/LUAD_GGO/Case2/Tumor/Tumor_lung_S3_L001_R1_001.fastq.gz	syn23665367		Adenocarcinoma NOS	Lung
