sample	TACSTD2	CD8A	CD3E	CD2	GZMA	GZMB	PRF1	NKG7	IFNG	CXCL9	CXCL10	CD274	PDCD1	CTLA4	LAG3	TIGIT	HAVCR2	IDO1	FOXP3	MS4A1	CD68	CYT_GZMA_PRF1	purity	LeukocyteFraction_methylation	CIBERSORT_CD8_T	CIBERSORT_Tregs	CIBERSORT_NK_activated	CIBERSORT_Macrophage_M1	CIBERSORT_Macrophage_M2	Wolf_LymphocyteInfiltration	Wolf_MacrophageCSF1	Wolf_IFNgamma	Wolf_TGFbeta	Wolf_WoundHealing_CSR
TCGA-18-3417-01	13.2696	7.3202	8.1618	7.6527	7.0713	7.2346	7.3202	7.0082	1.1048	8.4641	8.7178	6.0065	3.8884	5.2845	6.3084	5.954	8.59	7.5938	6.6045	4.6534	13.2379	7.19575	0.31	0.280625699930954	0.0426657078972413	0.0329277242086983	0.0	0.0282455470328114	0.25059546204283	0.559	0.1727	0.3298	0.8516	0.325
TCGA-22-4613-01	13.2131	8.6538	9.0528	9.1117	7.2426	8.4352	8.2999	7.9842	4.004	12.6927	10.2605	6.3649	5.9962	6.7079	8.1993	7.5319	9.4275	8.8847	7.554	8.1596	12.7855	7.77125	0.62	0.333079247197	0.125445073269541	0.0188774242463002	0.0148915767405104	0.117016621660014	0.274205023871961	1.5164	0.7653	0.0961	-0.0371	0.402
TCGA-90-7769-01	15.3806	5.356	5.7873	5.522	4.9856	6.6257	5.5984	5.3307	1.8062	7.3673	6.9427	8.38	2.8917	4.8314	4.6382	4.5086	6.3447	4.7186	4.4846	1.651	13.3091	5.292	0.73	0.164149919319508	0.0530267439666173	0.0134843628596503	0.003523380018986	0.0019446089281985	0.176003657591634	-0.9676	-0.7267	-0.2889	0.152	0.316
TCGA-77-A5G1-01	14.6212	7.2167	8.4468	8.0452	6.5016	6.2263	6.9774	6.83	2.7404	10.0654	8.9625	6.4375	5.7752	5.5514	6.0183	6.8356	8.507	6.9317	6.4876	8.4701	11.3559	6.7395	0.25	0.559337254775237	0.0648718269781417	0.0243017538191541	0.0533591080735255	0.0486382647529173	0.303352906513602	1.0719	0.5419	0.2427	0.7267	0.121
TCGA-77-A5G3-01	13.2486	7.8831	7.9368	7.5601	7.361	7.387	7.3648	7.3498	4.1751	10.8001	8.6572	9.4958	5.4198	4.5351	6.6311	6.3511	7.5827	7.3308	5.371	2.3968	10.564	7.3629	0.65	0.171903670608616	0.148988124654658	0.0	0.0160142876548363	0.0554191526330722	0.277822397676041	0.051	-0.2674	-0.0366	0.2784	0.2555
TCGA-66-2766-01	13.3919	7.3974	7.2209	7.1011	6.9976	6.475	6.7115	6.6157	1.7558	9.4648	9.3495	9.6541	4.2649	4.5597	4.6535	5.0825	7.9016	6.8908	4.8486	4.3792	11.1958	6.85455	0.75	0.0306822043795009	0.0897989478142895	0.0104511492848339	0.0	0.0591246910720278	0.349475571784405	0.3054	-0.0195	0.1986	0.2329	0.482
TCGA-37-4135-01	13.0046	7.7678	6.8251	8.0123	7.3305	7.7712	6.3017	7.5637	2.7549	11.0889	11.3067	4.7341	4.3088	4.7055	5.2913	4.8432	9.2526	10.0892	3.5355	5.4377	11.1995	6.8161000000000005	0.91	0.0297978147671907	0.167946987580127	0.0	0.0	0.146466146475889	0.340788109316477	0.7164	0.1487	0.3442	-0.3507	0.7185
TCGA-56-8201-01	12.2553	9.8947	9.755	9.5174	8.8548	8.9365	9.5635	9.3694	6.3287	12.3599	11.5943	7.5367	8.1094	7.2907	8.9412	8.1314	10.5091	9.7274	7.7616	7.0699	13.2255	9.20915	0.22	0.510000045748634	0.136239174538014	0.0169212095353015	0.0	0.0856996740563557	0.311803611503632	1.5729	1.3739	0.5806	0.7588	0.2225
TCGA-43-7656-01	11.4213	9.3399	9.4213	9.3287	8.8972	7.9777	8.5972	8.1973	4.8136	11.8869	10.4397	7.4668	7.185	7.1657	7.8454	8.1171	8.4127	11.0445	6.9136	10.3405	11.1135	8.7472	0.59	0.366967259691637	0.169135212219354	0.0243259674121245	0.0273104591170548	0.149932013233825	0.103583127583729	1.9281	0.8165	0.1985	0.243	0.2775
TCGA-85-8481-01	14.655	6.7917	7.6394	6.9457	6.3702	7.3449	7.9214	6.9384	3.457	10.1035	10.9502	6.3918	4.5131	5.6157	7.1559	5.6873	8.1791	7.0238	6.207	2.5827	11.7706	7.1457999999999995	0.29	0.432434316777212	0.0460130586677254	0.0253816080576844	0.0084931143514616	0.0169518427475803	0.228075978223452	0.5621	0.3404	0.4737	1.1645	0.0525
