feature	feature_class	n	spearman_rho	spearman_p	partial_rho_purity_adj	partial_p	spearman_fdr	partial_fdr	sig_after_purity_adj_fdr05
CXCL9	gene_marker	493	-0.2674867186214507	1.5956093585334936e-09	-0.2923328828824697	3.7722097048087255e-11	5.1059499473071796e-08	1.2071071055387922e-09	True
LAG3	gene_marker	493	-0.2214209880782809	6.847802897318857e-07	-0.25722356055667617	7.094802815137074e-09	1.095648463571017e-05	1.1351684504219319e-07	True
PDCD1	gene_marker	493	-0.1949740667963739	1.3003251210628738e-05	-0.24862278791134143	2.2879915146805014e-08	8.322080774802392e-05	2.440524282325868e-07	True
CD8A	gene_marker	493	-0.20540702103638966	4.25909648799732e-06	-0.24384726415860775	4.3030401436909634e-08	3.407277190397856e-05	3.4424321149527707e-07	True
CTLA4	gene_marker	493	-0.18141752149044885	5.087606946638223e-05	-0.24015450671314528	6.95035680637806e-08	0.00023257631756060448	4.448228356081958e-07	True
TIGIT	gene_marker	493	-0.17327338506762616	0.00011026619531778045	-0.22664523504522233	3.760261820484298e-07	0.0003920575833521083	2.005472970924959e-06	True
FOXP3	gene_marker	493	-0.15815246247810802	0.0004237252010317486	-0.21827498764844186	1.0169830425755323e-06	0.0010430158794627659	4.554235691096163e-06	True
CD2	gene_marker	493	-0.161375647068803	0.0003211273429086906	-0.21730395189395682	1.1385589227740408e-06	0.0008563395810898415	4.554235691096163e-06	True
CIBERSORT_Macrophage_M1	CIBERSORT	493	-0.214667566893708	1.5056301706325958e-06	-0.21470503406021507	1.536417995140649e-06	1.6060055153414356e-05	5.462819538277863e-06	True
NKG7	gene_marker	493	-0.16809216921457804	0.00017719507735074986	-0.20905374879593994	2.910768215239479e-06	0.0005670242475223996	8.371725453177116e-06	True
PRF1	gene_marker	493	-0.16605792946830641	0.00021267145033174406	-0.20874830732538363	3.0115599976824516e-06	0.0006186805827832555	8.371725453177116e-06	True
IFNG	gene_marker	493	-0.18841449198645008	2.5465808586673472e-05	-0.20837467357928893	3.1393970449414185e-06	0.00013581764579559185	8.371725453177116e-06	True
CD3E	gene_marker	493	-0.14347148291781722	0.0014029834348003192	-0.20507887335504157	4.515321363163444e-06	0.0029930313275740145	1.1114637201633093e-05	True
CXCL10	gene_marker	493	-0.17641662613176015	8.21394580790006e-05	-0.20368632147607751	5.255544196789405e-06	0.0003285578323160024	1.2012672449804354e-05	True
HAVCR2	gene_marker	493	-0.1392243596811728	0.0019447752210777624	-0.19799990425326042	9.663986493357892e-06	0.0038476082200175695	1.8617407998760128e-05	True
Wolf_MacrophageCSF1	Wolf_signature	478	-0.12340646322564665	0.0069062763033762	-0.20083661218923402	9.872684244158974e-06	0.010523849605144686	1.8617407998760128e-05	True
Wolf_LymphocyteInfiltration	Wolf_signature	478	-0.1321168174140292	0.003808175296529811	-0.20081927164632463	9.890497999341317e-06	0.006413768920471261	1.8617407998760128e-05	True
GZMB	gene_marker	493	-0.14766163651568856	0.0010077973835191227	-0.1846614126058616	3.7712747021762144e-05	0.0023035368766151374	6.704488359424381e-05	True
CYT_GZMA_PRF1	gene_marker	493	-0.1337282803390993	0.0029290666922307277	-0.1718906280813513	0.0001273253210669291	0.005207229675076849	0.00021444264600745957	True
GZMA	gene_marker	493	-0.1090089015303492	0.015458038755067485	-0.1408979707269787	0.0017305219844528168	0.022484420007370887	0.0027688351751245068	True
CIBERSORT_CD8_T	CIBERSORT	493	-0.13856663416446585	0.0020440418668843338	-0.13070820512318582	0.003680246647191901	0.0038476082200175695	0.005607994890959088	True
CIBERSORT_NK_activated	CIBERSORT	493	-0.1267490779804189	0.004824593102376203	-0.12085191489411659	0.00728234768497821	0.007719348963801925	0.01059250572360467	True
CD274	gene_marker	493	-0.09788155915627707	0.029778303642236315	-0.10978968457571543	0.014833125804729915	0.041430683328328784	0.020637392423972056	True
MS4A1	gene_marker	493	-0.03913285401137532	0.3859327713485883	-0.08540060609846493	0.05836876263577277	0.4574018030798083	0.07782501684769703	False
Wolf_IFNgamma	Wolf_signature	478	-0.027398201738753878	0.5501358905947863	-0.06622224983195911	0.1487089910418852	0.6287267321083272	0.19034750853361307	False
CIBERSORT_Tregs	CIBERSORT	493	0.06392027176023464	0.1564516167806295	0.05013020569002175	0.26708036245642985	0.20860215570750598	0.3287142922540675	False
CD68	gene_marker	493	-0.004522935011019699	0.9202085361783032	-0.045723950590526335	0.3114634886867476	0.9202085361783032	0.3691419125176268	False
IDO1	gene_marker	493	-0.024159806986736077	0.5925453286851129	-0.04427835528107323	0.3270249190972706	0.6538431213077108	0.373742764682595	False
Wolf_WoundHealing_CSR	Wolf_signature	478	-0.0486533496908874	0.28843449307161834	-0.028345771708747535	0.5368516948734757	0.3549962991650687	0.5923880771017663	False
Wolf_TGFbeta	Wolf_signature	478	0.011404712507373006	0.8035937071405354	-0.02479195344852502	0.5891095787000921	0.8295160847902301	0.6283835506134315	False
LeukocyteFraction_methylation	leukocyte_fraction	492	0.06039508462950465	0.1810786051277861	0.011763599848445865	0.7948571601235077	0.2317806145635662	0.820497713675879	False
CIBERSORT_Macrophage_M2	CIBERSORT	493	-0.012992651189560507	0.7735277669454093	-0.009414630851766085	0.8349946893959241	0.8250962847417699	0.8349946893959241	False
