sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	dataset	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm
P1006	596	520	0.0016778523489932886	0.05961538461538462	GSE205335	6090	1282	2998	1.338077425956726	0.7004672897196261	high
P1017	887	916	0.0	0.039301310043668124	GSE205335	6266	2186	2370	1.446833848953247	0.5201931518876207	high
P1018	514	344	0.0019455252918287938	0.029069767441860465	GSE205335	5029	1180	2546	1.4567127227783203	0.6833064949006978	high
P1027	980	257	0.0020408163265306124	0.06614785992217899	GSE205335	4600	1318	2619	2.1198792457580566	0.6652273304546609	high
P1037	290	2635	0.06551724137931035	0.1430740037950664	GSE205335	4983	3671	611	0.9543756246566772	0.14269033162073796	low
P1062	55	115	0.09090909090909091	0.4	GSE205335	3057	188	1934	0.9858523607254028	0.9114043355325165	high
P1063	53	161	0.39622641509433965	0.6211180124223602	GSE205335	4297	131	3144	0.7369170188903809	0.96	low
P1076	288	693	0.006944444444444444	0.07647907647907648	GSE205335	6975	849	2089	0.9238031506538391	0.7110279101429544	low
P1079	161	316	0.0	0.0	GSE205335	1277	543	501	0.9667482972145081	0.47988505747126436	low
P1084	166	149	0.12048192771084337	0.48322147651006714	GSE205335	3534	196	2350	2.256213903427124	0.9230164964650432	high
P1089	552	154	0.0036231884057971015	0.05194805194805195	GSE205335	1609	1063	272	2.1514415740966797	0.20374531835205992	high
P1119	286	805	0.0	0.0546583850931677	GSE205335	2386	1222	621	0.5610693097114563	0.33695062398263703	low
P1016	2537	1705	0.0	0.04633431085043988	GSE205335	6924	5336	763	1.4550707340240479	0.1251024758157075	high
P1115	2579	762	0.03993796044978674	0.08398950131233596	GSE205335	4397	3769	271	1.622982144355774	0.06707920792079208	high
P1015	87	166	0.0	0.012048192771084338	GSE205335	1195	291	473	0.7684376239776611	0.6191099476439791	low
P1025	570	193	0.0	0.13989637305699482	GSE205335	1222	980	128	1.694045066833496	0.11552346570397112	high
P1056	688	1623	0.0	0.018484288354898338	GSE205335	5103	2386	1354	0.8104878067970276	0.36203208556149735	low
P1072	130	195	0.0	0.0	GSE205335	1273	406	586	0.9359386563301086	0.5907258064516129	low
P0031	130	220	0.1076923076923077	0.23636363636363636	GSE205335	6428	319	3824	0.9488405585289001	0.9230026550808593	low
P4001	46	163	0.8043478260869565	0.7668711656441718	GSE205335	2308	27	1801	0.7331695556640625	0.9852297592997812	low
P1030	220	189	0.0	0.031746031746031744	GSE205335	861	603	140	1.6170852184295654	0.18842530282637954	high
P1090	60	411	0.0	0.0024330900243309003	GSE205335	976	566	247	0.6880064606666565	0.3038130381303813	low
