dataset	unit_id	unit_type	tissue	n_cells	n_malignant	n_tnk	frac_tnk	mal_CLDN4_pct	mal_CLDN4_mean
GSE123902	LX255B	donor	METASTASIS	3886	228	1583	0.407359752959341	35.0877192982456	0.448801651463958
GSE123902	LX653	donor	PRIMARY	392	145	49	0.125	71.7241379310345	1.25240682713422
GSE123902	LX661	donor	PRIMARY	4566	117	3726	0.816031537450723	58.974358974359	0.857608568422848
GSE123902	LX666	donor	METASTASIS	1316	786	177	0.134498480243161	67.175572519084	0.992395211788715
GSE123902	LX675	donor	PRIMARY	3435	618	1336	0.388937409024745	31.3915857605178	0.582960587751478
GSE123902	LX676	donor	PRIMARY	4014	147	2606	0.649227703039362	42.1768707482993	0.831390019521496
GSE123902	LX679	donor	PRIMARY	2017	497	625	0.309866137828458	43.2595573440644	0.564371224044842
GSE123902	LX680	donor	PRIMARY	941	258	344	0.365568544102019	73.2558139534884	1.85907788462344
GSE123902	LX681	donor	METASTASIS	1630	1207	86	0.052760736196319	63.2974316487158	1.17753504578178
GSE123902	LX682	donor	PRIMARY	4092	421	2558	0.625122189638319	18.7648456057007	0.461318234025586
GSE123902	LX684	donor	PRIMARY	378	173	92	0.243386243386243	72.8323699421965	0.911897294127077
GSE123902	LX699	donor	METASTASIS	2671	46	2263	0.847248221639835	15.2173913043478	0.314117764314781
GSE123902	LX701	donor	METASTASIS	788	90	322	0.408629441624365	11.1111111111111	0.111610967942331
GSE131907	BRONCHO_11	sample	mLN	3178	203	809	0.254562617998741	80.7881773399015	1.80595997088303
GSE131907	BRONCHO_58	sample	tL/B	2813	460	1546	0.549591183789549	72.1739130434783	1.42635333622356
GSE131907	EBUS_06	sample	tL/B	2303	1186	611	0.26530612244898	71.1635750421585	1.35522930358697
GSE131907	EBUS_10	sample	mLN	5144	367	1530	0.297433903576983	84.4686648501362	1.90497348559425
GSE131907	EBUS_12	sample	mLN	3115	257	328	0.10529695024077	88.3268482490272	2.35490406103567
GSE131907	EBUS_13	sample	mLN	3550	376	1150	0.323943661971831	0.265957446808511	0.0018434765440424
GSE131907	EBUS_15	sample	mLN	1105	256	479	0.433484162895928	47.265625	1.12949283928218
GSE131907	EBUS_19	sample	mLN	2112	217	1427	0.675662878787879	94.0092165898618	2.47790353342301
GSE131907	EBUS_28	sample	tL/B	5182	4640	232	0.0447703589347742	96.3362068965517	2.19797832643394
GSE131907	EBUS_49	sample	tL/B	1775	114	1126	0.634366197183099	49.1228070175439	0.951210732895075
GSE131907	EBUS_51	sample	mLN	3275	1285	1143	0.349007633587786	85.3696498054475	1.58132888478796
GSE131907	NS_02	sample	mBrain	2313	181	977	0.422395157803718	58.5635359116022	1.12672772632264
GSE131907	NS_03	sample	mBrain	2990	2713	145	0.048494983277592	93.1441208993734	2.26493320814642
GSE131907	NS_04	sample	mBrain	1904	1229	131	0.0688025210084034	89.3409275834011	1.95235155915384
GSE131907	NS_06	sample	mBrain	1070	83	383	0.357943925233645	60.2409638554217	1.43451191826637
GSE131907	NS_07	sample	mBrain	5730	5108	166	0.0289703315881326	90.407204385278	1.59313074832629
GSE131907	NS_12	sample	mBrain	3182	2811	22	0.0069138906348208	86.3393810032017	1.72883094363458
GSE131907	NS_13	sample	mBrain	4845	1352	1780	0.367389060887513	72.4112426035503	0.995948031240156
GSE131907	NS_16	sample	mBrain	1317	79	385	0.292331055429005	11.3924050632911	0.103137558606632
GSE131907	NS_17	sample	mBrain	2409	1112	410	0.170195101701951	88.2194244604317	2.30082012333022
GSE131907	NS_19	sample	mBrain	3300	755	370	0.112121212121212	67.1523178807947	1.0082934839931
GSE205335	P0031	patient	Lung	6428	319	3824	0.594897324206596	59.2476489028213	1.03210740001313
GSE205335	P1006	patient	Effusion,Lung	6090	1282	2998	0.492282430213465	74.1809672386895	1.45441994167518
GSE205335	P1015	patient	LN	1195	291	473	0.39581589958159	41.5807560137457	1.01379491643033
GSE205335	P1016	patient	Liver,LN	6924	5336	763	0.110196418255344	82.6461769115442	1.69304935632742
GSE205335	P1017	patient	Liver,LN	6266	2186	2370	0.378231726779445	64.3183897529735	1.55462084717452
GSE205335	P1018	patient	Bronchus	5029	1180	2546	0.506263670709883	67.0338983050847	2.10443933372545
GSE205335	P1025	patient	LN	1222	980	128	0.104746317512275	92.8571428571429	2.31069442860223
GSE205335	P1027	patient	LN	4600	1318	2619	0.569347826086957	78.0728376327769	2.17399784893951
GSE205335	P1030	patient	LN	861	603	140	0.16260162601626	61.6915422885572	1.48410735953157
GSE205335	P1037	patient	LN	4983	3671	611	0.122616897451335	86.0528466357941	1.19727181814975
GSE205335	P1056	patient	Liver,LN	5103	2386	1354	0.265334117185969	49.7066219614417	0.996685692136604
GSE205335	P1062	patient	LN	3057	188	1934	0.63264638534511	45.2127659574468	1.37911187125204
GSE205335	P1063	patient	Bronchus,LN	4297	131	3144	0.731673260414243	35.1145038167939	0.692850004756864
GSE205335	P1072	patient	LN	1273	406	586	0.460329929300864	58.8669950738916	1.47284263818116
GSE205335	P1076	patient	LN	6975	849	2089	0.299498207885305	59.3639575971731	1.30621351041308
GSE205335	P1079	patient	LN	1277	543	501	0.392325763508222	51.3812154696133	1.17643176882325
GSE205335	P1084	patient	LN	3534	196	2350	0.664968873797397	86.734693877551	2.98159000218484
GSE205335	P1089	patient	LN	1609	1063	272	0.169049098819142	87.7704609595484	2.27182772593754
GSE205335	P1090	patient	LN	976	566	247	0.253073770491803	38.1625441696113	0.744988766586046
GSE205335	P1115	patient	Liver	4397	3769	271	0.0616329315442347	88.8829928362961	1.36793347316764
GSE205335	P1119	patient	LN	2386	1222	621	0.260268231349539	36.088379705401	0.867936628428789
GSE205335	P4001	patient	Lung	2308	27	1801	0.780329289428076	48.1481481481481	0.806690964854553
GSE189357	TD1	patient	TUMOR	15216	2186	9915	0.651616719242902	56.1299176578225	0.967497154130165
