gene_a	gene_b	pair_level	dataset	n_units	median_rho	q25	q75	frac_pos	wilcoxon_p
ELF3	TACSTD2	primary	GSE123902	13	0.6668931975313012	0.2833203141563453	0.7255392085474147	1.0	0.000244140625
ELF3	TACSTD2	primary	GSE131907	20	0.6155155845070923	0.5039038261013692	0.6932409748273402	1.0	1.9073486328125e-06
ELF3	TACSTD2	primary	GSE205335	21	0.7560074400736424	0.6574819313284501	0.8061173952502922	1.0	9.5367431640625e-07
ELF3	TACSTD2	primary	GSE189357	9	0.716399193756144	0.575684861071281	0.7487562879750218	1.0	0.00390625
ELF3	TACSTD2	primary	ALL	63	0.6874952365516325	0.5014618645134747	0.7555206771523151	1.0	5.16839481363226e-12
ELF3	CLDN4	primary	GSE123902	13	0.7431497763387312	0.608896803445102	0.8171096669041601	1.0	0.000244140625
ELF3	CLDN4	primary	GSE131907	20	0.7461186419226614	0.6974209520654899	0.7896855514341986	1.0	1.9073486328125e-06
ELF3	CLDN4	primary	GSE205335	21	0.7947446889630684	0.6446658380529735	0.8740724699295896	1.0	9.5367431640625e-07
ELF3	CLDN4	primary	GSE189357	9	0.7708903912955919	0.7099805693610819	0.7925678520309128	1.0	0.00390625
ELF3	CLDN4	primary	ALL	63	0.7708903912955919	0.6599623074150684	0.8163426074794686	1.0	5.16839481363226e-12
ELF3	CLDN7	primary	GSE123902	13	0.6593978551375789	0.5525606952660732	0.7842462640638153	1.0	0.000244140625
ELF3	CLDN7	primary	GSE131907	20	0.6098795511067789	0.42191173849759034	0.6875859996939316	1.0	1.9073486328125e-06
ELF3	CLDN7	primary	GSE205335	21	0.7047867299760081	0.6101771506073389	0.7705414347930476	1.0	9.5367431640625e-07
ELF3	CLDN7	primary	GSE189357	9	0.627636506653494	0.5500812360989905	0.6737753853027896	1.0	0.00390625
ELF3	CLDN7	primary	ALL	63	0.652697696787924	0.5229674271222536	0.7289925573893057	1.0	5.16839481363226e-12
TACSTD2	CLDN4	primary	GSE123902	13	0.6778726867035515	0.4208803484470308	0.7502921292535126	1.0	0.000244140625
TACSTD2	CLDN4	primary	GSE131907	20	0.6743688695372274	0.6053420497328716	0.7839354909151157	1.0	1.9073486328125e-06
TACSTD2	CLDN4	primary	GSE205335	21	0.8233756120498172	0.7464548653218389	0.859798932189842	1.0	9.5367431640625e-07
TACSTD2	CLDN4	primary	GSE189357	9	0.7332754585835858	0.6363827066457627	0.7593719689687012	1.0	0.00390625
TACSTD2	CLDN4	primary	ALL	63	0.7464548653218389	0.5973219905230415	0.8191041381808374	1.0	5.16839481363226e-12
TACSTD2	CLDN7	primary	GSE123902	13	0.6235547554957559	0.5109010131126861	0.7508806310550592	1.0	0.000244140625
TACSTD2	CLDN7	primary	GSE131907	20	0.6308230378523341	0.5080393392688894	0.7367478813209498	1.0	1.9073486328125e-06
TACSTD2	CLDN7	primary	GSE205335	21	0.7658591807232124	0.6393733985896788	0.8209407341656711	1.0	9.5367431640625e-07
TACSTD2	CLDN7	primary	GSE189357	9	0.6418768763143922	0.553788829832415	0.7005162992800786	1.0	0.00390625
TACSTD2	CLDN7	primary	ALL	63	0.6684555800622745	0.5276777781083704	0.7652553723718456	1.0	5.16839481363226e-12
CLDN4	CLDN7	primary	GSE123902	13	0.6365437516484159	0.4639677795695706	0.7978017345865667	1.0	0.000244140625
CLDN4	CLDN7	primary	GSE131907	21	0.6909943674737735	0.5600735663525025	0.7500500624284916	1.0	9.5367431640625e-07
