dataset	n_units	median_p_all4	median_ratio	median_p_ELF3	median_p_TACSTD2	median_p_CLDN4	median_p_CLDN7
GSE123902	13	0.2055016181229773	4.092245797073256	0.5811965811965812	0.3656957928802589	0.4325955734406438	0.3537414965986394
GSE131907	21	0.5195652173913043	1.6286746058013235	0.7869822485207101	0.7068345323741008	0.8078817733990148	0.7048903878583473
GSE205335	22	0.35153714501599953	3.3194131105554527	0.6340466933253579	0.5842148793897302	0.6052774994286518	0.4975353633815922
GSE189357	9	0.2213855421686747	7.629081525632504	0.466867469879518	0.4337585868498528	0.4533856722276742	0.358433734939759
ALL	65	0.3154019226835753	3.0491062553284753	0.634186622625929	0.5665488810365136	0.6169154228855721	0.5109717868338558
