dataset	unit_id	role	n_cells	n_tnk	frac_tnk	n_annot_mal	annot_cldn4_pct	annot_cldn4_mean	n_epi_available	n_ref_available	n_epi_drawn	n_ref_drawn	cnv_ran	n_genes	n_epi_in_matrix	n_ref_in_matrix	copykat_status	copykat_cor	infercnv_thr	copykat_thr	null_n	null_borrowed_from	median_infer_mse	n_copykat	copykat_cldn4_pct	frac_epi_copykat	frac_annot_copykat	frac_other_epi_copykat	n_infercnv	infercnv_cldn4_pct	frac_epi_infercnv	frac_annot_infercnv	frac_other_epi_infercnv	n_consensus	consensus_cldn4_pct	frac_epi_consensus	frac_annot_consensus	frac_other_epi_consensus
GSE123902	LX255B	test	3886	1583	0.40735975295934124	228	35.08771929824561	0.4488016514639581	228	1583	228	250	1	2788.0	228.0	250.0	low_conf	0.5888832351504072	0.04473277371661437	0.005050379244297447	801.0		0.0570611934243409	38.0	97.36842105263158	0.16666666666666666	0.16666666666666666		166.0	34.93975903614458	0.7280701754385965	0.7280701754385965		28.0	96.42857142857143	0.12280701754385964	0.12280701754385964	
GSE123902	LX653	test	392	49	0.125	145	71.72413793103448	1.2524068271342224	145	49	145	49	1	8616.0	145.0	49.0	all_diploid_cor>=0.6	0.629962771731864	0.04473277371661437	0.005050379244297447	801.0		0.016182709107770577	0.0		0.0	0.0		0.0		0.0	0.0		0.0		0.0	0.0	
GSE123902	LX661	test	4566	3726	0.8160315374507228	117	58.97435897435898	0.8576085684228482	117	3726	117	250	1	6725.0	117.0	250.0	separated	0.3727983209226083	0.04473277371661437	0.005050379244297447	801.0		0.01445900888432077	32.0	84.375	0.27350427350427353	0.27350427350427353		2.0		0.017094017094017096	0.017094017094017096		0.0		0.0	0.0	
GSE123902	LX666	test	1316	177	0.1344984802431611	786	67.17557251908397	0.9923952117887153	786	177	786	177	1	8906.0	786.0	177.0	all_diploid_cor>=0.6	0.9703661748586435	0.04473277371661437	0.005050379244297447	801.0		0.010862235858030162	0.0		0.0	0.0		1.0		0.001272264631043257	0.001272264631043257		0.0		0.0	0.0	
GSE123902	LX675	test	3435	1336	0.3889374090247453	618	31.3915857605178	0.582960587751478	618	1336	618	250	1	8698.0	618.0	250.0	separated	0.20924204978195884	0.04473277371661437	0.005050379244297447	801.0		0.011733927807402974	135.0	91.85185185185185	0.21844660194174756	0.21844660194174756		3.0		0.0048543689320388345	0.0048543689320388345		0.0		0.0	0.0	
GSE123902	LX675_NORMAL	control	3061	1907	0.6229990199281281	191	34.55497382198953	0.4873664576269495	191	1907	191	250	1	7007.0	191.0	250.0	separated	-0.26428912625064893	0.04473277371661437	0.005050379244297447	801.0		0.01566207189073621	5.0		0.02617801047120419	0.02617801047120419		5.0		0.02617801047120419	0.02617801047120419		0.0		0.0	0.0	
GSE123902	LX676	test	4014	2606	0.6492277030393623	147	42.17687074829932	0.831390019521496	147	2606	147	250	1	5596.0	147.0	250.0	separated	-0.013074684362046746	0.04473277371661437	0.005050379244297447	801.0		0.02030897196775649	24.0	100.0	0.16326530612244897	0.16326530612244897		4.0		0.027210884353741496	0.027210884353741496		0.0		0.0	0.0	
GSE123902	LX679	test	2017	625	0.3098661378284581	497	43.25955734406438	0.5643712240448416	497	625	497	250	1	5199.0	497.0	250.0	separated	0.28041923818674425	0.04473277371661437	0.005050379244297447	801.0		0.0246554085273221	154.0	74.02597402597402	0.30985915492957744	0.30985915492957744		27.0	29.629629629629626	0.05432595573440644	0.05432595573440644		0.0		0.0	0.0	
GSE123902	LX680	test	941	344	0.3655685441020191	258	73.25581395348837	1.8590778846234401	258	344	258	250	1	9317.0	258.0	250.0	separated	0.12836609840712512	0.04473277371661437	0.005050379244297447	801.0		0.012544336546855299	131.0	99.23664122137404	0.5077519379844961	0.5077519379844961		0.0		0.0	0.0		0.0		0.0	0.0	
GSE123902	LX681	test	1630	86	0.05276073619631902	1207	63.29743164871583	1.1775350457817828	1207	86	800	86	1	8629.0	800.0	86.0	separated	0.1584625356668914	0.04473277371661437	0.005050379244297447	801.0		0.013949015478808472	350.0	97.14285714285714	0.4375	0.4375		3.0		0.00375	0.00375		0.0		0.0	0.0	
