definition	cohort	n	rho	p	I2	ci_lo	ci_hi	N	q4q1_r	q4q1_p	n_q1	n_q4
annotation	GSE123902	13	-0.659341	0.0142256								
annotation	GSE131907	21	-0.522078	0.0151958								
annotation	GSE205335	22	-0.435347	0.0428613								
annotation	GSE189357	9	-0.6	0.0876228								
annotation	META	4	-0.531168	1.64622e-05	0	-0.696771	-0.311805	65	-0.723684	0.000287949	19	16
copykat	GSE123902	9	0.259416	0.500268								
copykat	GSE131907	12	-0.137571	0.669844								
copykat	GSE205335	15	-0.0363696	0.897611								
copykat	GSE189357	9	-0.0333333	0.932157								
copykat	META	4	-0.00878312	0.959759	0	-0.336354	0.320684	45	0.114286	0.732678	10	7
infercnv	GSE123902	2										
infercnv	GSE131907	3										
infercnv	GSE205335	12	-0.027972	0.931234								
infercnv	GSE189357	2										
infercnv	META	1						12	-0.111111	1	3	3
consensus	GSE123902	1										
consensus	GSE131907	0										
consensus	GSE205335	1										
consensus	GSE189357	0										
consensus	META	0						0			0	0
annotation_on_copykat_units	GSE123902	9	-0.5	0.170471								
annotation_on_copykat_units	GSE131907	12	-0.440559	0.151735								
annotation_on_copykat_units	GSE205335	15	-0.128571	0.647916								
annotation_on_copykat_units	GSE189357	9	-0.6	0.0876228								
annotation_on_copykat_units	META	4	-0.381568	0.0209601	0	-0.631006	-0.0606269	45	-0.552448	0.0238507	13	11
annotation_on_infercnv_units	GSE123902	2										
annotation_on_infercnv_units	GSE131907	3										
annotation_on_infercnv_units	GSE205335	12	-0.118881	0.712884								
annotation_on_infercnv_units	GSE189357	2										
annotation_on_infercnv_units	META	1						12	-0.111111	1	3	3
annotation_on_consensus_units	GSE123902	1										
annotation_on_consensus_units	GSE131907	0										
annotation_on_consensus_units	GSE205335	1										
annotation_on_consensus_units	GSE189357	0										
annotation_on_consensus_units	META	0						0			0	0
