experiment	assay	biosample	stratum	file	domain_start0	domain_end0	domain_bp	covers_CLDN4	covers_RFC2
ENCSR477GZK	intact Hi-C	HCT116	baseline	ENCFF564HYN	73875000	73985000	110000	False	False
ENCSR477GZK	intact Hi-C	HCT116	baseline	ENCFF564HYN	74455000	74560000	105000	False	False
ENCSR477GZK	intact Hi-C	HCT116	baseline	ENCFF564HYN	74065000	74185000	120000	False	False
ENCSR477GZK	intact Hi-C	HCT116	baseline	ENCFF564HYN	73735000	73855000	120000	True	False
ENCSR477GZK	intact Hi-C	HCT116	baseline	ENCFF564HYN	73330000	73430000	100000	False	False
ENCSR477GZK	intact Hi-C	HCT116	baseline	ENCFF215GNC	73735000	73855000	120000	True	False
ENCSR477GZK	intact Hi-C	HCT116	baseline	ENCFF215GNC	74065000	74185000	120000	False	False
ENCSR370TFL	intact Hi-C	MCF 10A	baseline	ENCFF821LEJ	74410000	74730000	320000	False	False
ENCSR370TFL	intact Hi-C	MCF 10A	baseline	ENCFF998TAU	74410000	74720000	310000	False	False
ENCSR584RBV	intact Hi-C	Panc1	baseline	ENCFF893FPL	74080000	74170000	90000	False	False
ENCSR584RBV	intact Hi-C	Panc1	baseline	ENCFF893FPL	73335000	73430000	95000	False	False
ENCSR660LPJ	intact Hi-C	MCF-7	baseline	ENCFF164AGX	74410000	74725000	315000	False	False
ENCSR660LPJ	intact Hi-C	MCF-7	baseline	ENCFF502ECR	74405000	74715000	310000	False	False
ENCSR326YHP	intact Hi-C	breast epithelium	baseline	ENCFF319ZVO	73870000	74030000	160000	False	False
ENCSR326YHP	intact Hi-C	breast epithelium	baseline	ENCFF319ZVO	73590000	73720000	130000	False	False
ENCSR326YHP	intact Hi-C	breast epithelium	baseline	ENCFF986GPD	73860000	74040000	180000	False	False
ENCSR326YHP	intact Hi-C	breast epithelium	baseline	ENCFF986GPD	74210000	74400000	190000	False	True
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF489YEC	73590000	73730000	140000	False	False
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF489YEC	74420000	74560000	140000	False	False
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF489YEC	73880000	74025000	145000	False	False
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF735CNP	74205000	74400000	195000	False	True
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF735CNP	73870000	74025000	155000	False	False
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF735CNP	74420000	74560000	140000	False	False
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF735CNP	73590000	73730000	140000	False	False
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	baseline	ENCFF735CNP	74065000	74175000	110000	False	False
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	baseline	ENCFF453PPU	74455000	74545000	90000	False	False
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	baseline	ENCFF286QBA	74410000	74725000	315000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF800ANL	74260000	74400000	140000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF800ANL	74060000	74190000	130000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF800ANL	74410000	74560000	150000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF800ANL	73570000	73720000	150000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF800ANL	73860000	74030000	170000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF089AFX	74060000	74190000	130000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF089AFX	73570000	73730000	160000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF089AFX	74410000	74570000	160000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF089AFX	74210000	74400000	190000	False	True
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF089AFX	73870000	74030000	160000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF079TSV	74410000	74590000	180000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF079TSV	73580000	73740000	160000	False	False
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF079TSV	74220000	74410000	190000	False	True
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	baseline	ENCFF079TSV	74060000	74210000	150000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	73300000	73445000	145000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	73580000	73730000	150000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	73865000	74025000	160000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	74590000	74725000	135000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	74410000	74570000	160000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	74220000	74395000	175000	False	True
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	73735000	73855000	120000	True	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF526ACE	74065000	74190000	125000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF872LBG	74195000	74415000	220000	False	True
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF872LBG	73595000	73740000	145000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF872LBG	74410000	74585000	175000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF872LBG	74060000	74205000	145000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF872LBG	73860000	74050000	190000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF872LBG	73730000	73870000	140000	True	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF872LBG	73300000	73450000	150000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF112KIG	73315000	73445000	130000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF112KIG	74220000	74395000	175000	False	True
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF112KIG	73580000	73730000	150000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF112KIG	73865000	74025000	160000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF112KIG	74410000	74570000	160000	False	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF112KIG	73735000	73855000	120000	True	False
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	baseline	ENCFF112KIG	74065000	74190000	125000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	74575000	74665000	90000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	73590000	73730000	140000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	74060000	74185000	125000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	74205000	74400000	195000	False	True
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	74415000	74560000	145000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	73865000	74025000	160000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	73740000	73860000	120000	True	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF018XKF	74290000	74380000	90000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	73315000	73435000	120000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	73745000	74045000	300000	True	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	74415000	74560000	145000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	73590000	73735000	145000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	74575000	74665000	90000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	74205000	74400000	195000	False	True
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	74060000	74175000	115000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	73460000	73570000	110000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	73865000	74025000	160000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	73740000	73860000	120000	True	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF947DQD	73885000	73975000	90000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	74200000	74410000	210000	False	True
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	74405000	74580000	175000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	73595000	73740000	145000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	73330000	73445000	115000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	74250000	74300000	50000	False	True
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	74065000	74190000	125000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	74570000	74710000	140000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	73860000	74050000	190000	False	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	73750000	73890000	140000	True	False
ENCSR194SRI	in situ Hi-C	HepG2	baseline	ENCFF090UHO	73270000	73470000	200000	False	False
ENCSR869CSI	in situ Hi-C	keratinocyte	baseline	ENCFF336YAP	74410000	74715000	305000	False	False
ENCSR869CSI	in situ Hi-C	keratinocyte	baseline	ENCFF336YAP	74090000	74180000	90000	False	False
ENCSR869CSI	in situ Hi-C	keratinocyte	baseline	ENCFF110MHD	73595000	73690000	95000	False	False
ENCSR869CSI	in situ Hi-C	keratinocyte	baseline	ENCFF110MHD	74430000	74550000	120000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF259RAV	73880000	74015000	135000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF259RAV	74060000	74190000	130000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF259RAV	73580000	73730000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF259RAV	73745000	73865000	120000	True	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF259RAV	74415000	74565000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF259RAV	74220000	74400000	180000	False	True
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF097OBP	73865000	74040000	175000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF097OBP	73580000	73730000	150000	False	False
