experiment	assay	biosample	epithelial_call	stratum	target	description	kind	files_scanned	cldn_touching_records	repair_gene_hit	repair_genes	promoter_repair_genes	domain_le_2Mb	repair_genes_le_2Mb
ENCSR777YML	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 SMARCA5 auxin untreated degron intact hic	domains	2	0	False			False	
ENCSR777YML	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 SMARCA5 auxin untreated degron intact hic	loops	2	3	False				
ENCSR477GZK	intact Hi-C	HCT116	encode_epithelium_slim	baseline		HCT116 intact Hi-C	domains	2	2	False			False	
ENCSR370TFL	intact Hi-C	MCF 10A	encode_epithelium_slim	baseline		MCF10A intact Hi-C	domains	2	0	False			False	
ENCSR477GZK	intact Hi-C	HCT116	encode_epithelium_slim	baseline		HCT116 intact Hi-C	loops	2	7	False				
ENCSR533VUS	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 Pol2RA auxin untreated degron intact mnase hic	domains	2	0	False			False	
ENCSR370TFL	intact Hi-C	MCF 10A	encode_epithelium_slim	baseline		MCF10A intact Hi-C	loops	2	9	False				
ENCSR533VUS	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 Pol2RA auxin untreated degron intact mnase hic	loops	2	8	False				
ENCSR584RBV	intact Hi-C	Panc1	encode_epithelium_slim	baseline		Panc1 intact Hi-C	domains	2	0	False			False	
ENCSR584RBV	intact Hi-C	Panc1	encode_epithelium_slim	baseline		Panc1 intact Hi-C	loops	2	2	False				
ENCSR233DHQ	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 BRD4 degron untreated intact mnase	loops	2	5	False				
ENCSR233DHQ	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 BRD4 degron untreated intact mnase	domains	2	0	False			False	
ENCSR481XZF	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 CDK7 degron untreated intact mnase	domains	2	0	False			False	
ENCSR481XZF	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 CDK7 degron untreated intact mnase	loops	2	9	False				
ENCSR660LPJ	intact Hi-C	MCF-7	encode_epithelium_slim	baseline		MCF-7 intact Hi-C	domains	2	0	False			False	
ENCSR660LPJ	intact Hi-C	MCF-7	encode_epithelium_slim	baseline		MCF-7 intact Hi-C	loops	2	12	False				
ENCSR888DEJ	intact Hi-C	HepG2	encode_epithelium_slim	baseline		HepG2 intact Hi-C	domains	2	0	False			False	
ENCSR326YHP	intact Hi-C	breast epithelium	encode_epithelium_slim	baseline		entex breast intact dnase hic	loops	2	1	False				
ENCSR888DEJ	intact Hi-C	HepG2	encode_epithelium_slim	baseline		HepG2 intact Hi-C	loops	2	4	False				
ENCSR326YHP	intact Hi-C	breast epithelium	encode_epithelium_slim	baseline		entex breast intact dnase hic	domains	2	0	False			False	
ENCSR958BEA	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-RAD21 auxin untreated intact HIC	domains	2	0	False			False	
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	encode_epithelium_slim	baseline		entex esophagus mucosa intact dnase hic	domains	2	0	False			False	
ENCSR958BEA	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-RAD21 auxin untreated intact HIC	loops	2	7	False				
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	encode_epithelium_slim	baseline		entex esophagus mucosa intact dnase hic	loops	2	2	False				
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC intact Hi-C	domains	2	0	False			False	
ENCSR086RCC	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-CTCF-auxin untreated degon-intact	domains	2	0	False			False	
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC intact Hi-C	loops	2	9	False				
ENCSR086RCC	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-CTCF-auxin untreated degon-intact	loops	2	4	False				
ENCSR490HOI	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-MED14-auxin untreated degon-intact	domains	2	0	False			False	
ENCSR490HOI	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-MED14-auxin untreated degon-intact	loops	2	10	False				
ENCSR176ICO	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-SUPT16H-auxin-untreated-intact HiC	domains	2	0	False			False	
ENCSR176ICO	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116-SUPT16H-auxin-untreated-intact HiC	loops	2	4	False				
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	domains	3	0	False			False	
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C	loops	4	2	False				
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			domains	3	3	False			False	
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			loops	4	4	False				
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			loops	4	0	False				
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	baseline			domains	4	0	False			False	
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	domains	3	4	False			False	
ENCSR194SRI	in situ Hi-C	HepG2	encode_epithelium_slim	baseline		HiC experiment done on HepG2	loops	4	2	False				
ENCSR869CSI	in situ Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK in situ Hi-C	domains	2	0	False			False	
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	domains	4	0	False			False	
ENCSR869CSI	in situ Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK in situ Hi-C	loops	2	0	False				
ENCSR401TBQ	in situ Hi-C	Caki2	encode_epithelium_slim	baseline		HiC experiment done on Caki2	loops	4	0	False				
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	loops	6	4	False				
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC in situ Hi-C experiment	domains	5	5	False			False	
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	domains	3	0	False			False	
ENCSR176BRX	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	loops	4	1	False				
