biosample	assay	target	n_released	n_baseline	picked	file	output_type	file_size	error	peaks_overlapping_both_promoters	peaks_overlapping_both_promoters_le_50kb	CLDN4_promoter	RFC2_promoter	CLDN4_body	RFC2_body
A549	Histone ChIP-seq	H3K27ac	20	1	ENCSR783SNV	ENCFF660AJK	replicated peaks	1581149		0	0	0	1	6	1
A549	Histone ChIP-seq	H3K4me3	15	2	ENCSR000DPD	ENCFF982HNO	replicated peaks	912992		0	0	0	1	2	1
A549	Histone ChIP-seq	H3K4me1	14	1	ENCSR636PIN	ENCFF966DXR	replicated peaks	2974758		0	0	1	2	6	1
A549	Histone ChIP-seq	H3K27me3	2	0					no_baseline_experiment						
A549	TF ChIP-seq	CTCF	19	4	ENCSR000DYD	ENCFF005MCX	IDR thresholded peaks	792705		0	0	0	0	2	0
A549	TF ChIP-seq	POLR2A	3	1	ENCSR000DMZ	ENCFF681MRC	IDR thresholded peaks	329184		0	0	0	1	1	1
A549	TF ChIP-seq	RAD21	14	3	ENCSR000BUC	ENCFF695MMQ	IDR thresholded peaks	757679		0	0	0	1	2	0
NCI-H460	Histone ChIP-seq	H3K27ac	0	0					no_baseline_experiment						
NCI-H460	Histone ChIP-seq	H3K4me3	0	0					no_baseline_experiment						
NCI-H460	Histone ChIP-seq	H3K4me1	0	0					no_baseline_experiment						
NCI-H460	Histone ChIP-seq	H3K27me3	0	0					no_baseline_experiment						
NCI-H460	TF ChIP-seq	CTCF	0	0					no_baseline_experiment						
NCI-H460	TF ChIP-seq	POLR2A	0	0					no_baseline_experiment						
NCI-H460	TF ChIP-seq	RAD21	0	0					no_baseline_experiment						
HCT116	Histone ChIP-seq	H3K27ac	2	2	ENCSR000EUT	ENCFF083ADY	replicated peaks	1104154		0	0	1	1	7	1
HCT116	Histone ChIP-seq	H3K4me3	2	2	ENCSR000DTQ	ENCFF187LLD	replicated peaks	667514		0	0	2	1	7	1
HCT116	Histone ChIP-seq	H3K4me1	2	2	ENCSR000EUS	ENCFF963BLP	replicated peaks	1907470		0	0	2	2	15	1
HCT116	Histone ChIP-seq	H3K27me3	1	1	ENCSR810BDB	ENCFF806AYM	replicated peaks	2246621		0	0	0	0	0	0
HCT116	TF ChIP-seq	CTCF	19	19	ENCSR000DTO	ENCFF832INR	IDR thresholded peaks	818786		0	0	0	0	3	0
