experiment	assay	biosample	classification	organ_slims	epithelial_call	stratum	target	n_loop_or_domain_files	description
ENCSR697MNL	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-RAD21-mAC-untreated-replicate
ENCSR002OIN	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-RAD21-mAC-untreated-24hrControlBatch
ENCSR777YML	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116 SMARCA5 auxin untreated degron intact hic
ENCSR249LVK	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-CDK7-mAC-untreated-OneWeekPreGrowth
ENCSR038LMC	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-tet-OsTIR1-STAG2-mAC-untreated
ENCSR672EUD	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F74G-RAD21-mAC-24hr-treated
ENCSR584BZP	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-140-min-treated
ENCSR649NNM	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F74G-CTCF-mAC-6hr-treated-OneWeekPreGrowth
ENCSR474PLM	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-tet-OsTIR1-CTCF-mAC-24hr-treated
ENCSR669VZH	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116-CTCF auxin treated intact HIC
ENCSR727LLE	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F74G-CTCF-mAC-6hr-treated-replicate
ENCSR477GZK	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		4	HCT116 intact Hi-C
ENCSR944UTX	intact Hi-C	mesothelial cell of epicardium	in vitro differentiated cells	epithelium;pericardium;heart		baseline		4	H9 derived mesothelial cells of epicardium
ENCSR014XOE	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-30-min-treated
ENCSR481GOP	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-CTCF-mAC-untreated-replicate
ENCSR401WPL	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116 cmv-OsTIR1 RAD21-mAC untreated 24hrControlBatch
ENCSR357QXT	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-10-min-treated
ENCSR579TBL	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116 cmv-OsTIR1 RAD21-mAC untreated DegradationTimecourse 3hrControlBatch
ENCSR097LLY	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F47G-SMARCA5-mAC-6hr-treated-OneWeekPreGrowth
ENCSR895LJS	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-tet-OsTIR1-mAC-POLR2A-untreated
ENCSR168NHR	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-24hr-treated
ENCSR284PJC	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F47G-BRD4-mAID-6hr-treated-OneWeekPreGrowth
ENCSR609PCR	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-6hr-treated
ENCSR250JKY	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-RAD21-mAC-untreated-OneWeekPreGrowth
ENCSR308YGU	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-40-min-treated
ENCSR024MML	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-tet-OsTIR1-STAG1-mAC-24hr-treated
ENCSR151DAU	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116 cmv-OsTIR1 RAD21-mAC untreated
ENCSR413SQN	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F47G-CDK7-mAC-6hr-treated-OneWeekPreGrowth
ENCSR828VEY	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F47G-POLR2A-mAC-24hr-treated
ENCSR523BCX	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F47G-POLR2A-mAC-6hr-treated-replicate
ENCSR262KFN	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-100-min-treated
ENCSR509NVA	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-180-min-treated
ENCSR373HAD	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-50-min-treated
ENCSR244OPQ	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-tet-OsTIR1-mAC-POLR2A-24hr-treated
ENCSR370TFL	intact Hi-C	MCF 10A	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline		4	MCF10A intact Hi-C
ENCSR533VUS	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116 Pol2RA auxin untreated degron intact mnase hic
ENCSR584RBV	intact Hi-C	Panc1	cell line	epithelium;pancreas	encode_epithelium_slim	baseline		4	Panc1 intact Hi-C
ENCSR233DHQ	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116 BRD4 degron untreated intact mnase
ENCSR481XZF	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116 CDK7 degron untreated intact mnase
ENCSR660LPJ	intact Hi-C	MCF-7	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline		4	MCF-7 intact Hi-C
ENCSR888DEJ	intact Hi-C	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline		4	HepG2 intact Hi-C
ENCSR326YHP	intact Hi-C	breast epithelium	tissue	epithelium;breast	encode_epithelium_slim	baseline		4	entex breast intact dnase hic
ENCSR642MGQ	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116 SMARCA5 auxin treated degron intact hic
ENCSR926GZC	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-tet-OsTIR1-STAG1-mAC-untreated
ENCSR111CDK	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-tet-OsTIR1-CTCF-mAC-untreated
ENCSR971DXD	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-tet-OsTIR1-CDK7-mAC-untreated
ENCSR493XGR	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-BRD4-mAC-untreated-OneWeekPreGrowth
ENCSR129NAE	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116 CDk7 degron treated intact mnase
ENCSR413UCI	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-CTCF-mAC-untreated-24hrControlBatch
ENCSR343ELD	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116 MED14degron treated intact mnase
ENCSR914HLJ	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-MED14-mAC-untreated-OneWeekPreGrowth
ENCSR266RCG	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-POLR2A-mAC-untreated-replicate
ENCSR282FLY	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-20-min-treated
ENCSR958BEA	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116-RAD21 auxin untreated intact HIC
ENCSR675PUL	intact Hi-C	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline		0	HepG2 Ultra intact mnase hi-c
ENCSR015CVF	intact Hi-C	esophagus squamous epithelium	tissue	epithelium;esophagus	encode_epithelium_slim	baseline		4	entex esophagus mucosa intact dnase hic
ENCSR218URU	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116 Pol2RA auxin treated degron intact mnase hic
ENCSR087JOM	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116-RAD21 auxin treated intact HIC
ENCSR707XVJ	intact Hi-C	mammary epithelial cell	primary cell	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline		4	HMEC intact Hi-C
