experiment	assay	biosample	epithelial_call	stratum	target	description	file	kind	file_format	file_size	biological_replicates	used	reason	n_records	n_cldn_loops	n_cldn_domains
ENCSR669VZH	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-CTCF auxin treated intact HIC	ENCFF445TPU	domains	bedpe	128207	1	no	treated			
ENCSR669VZH	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-CTCF auxin treated intact HIC	ENCFF016MPP	domains	bedpe	109700	1	no	treated			
ENCSR669VZH	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-CTCF auxin treated intact HIC	ENCFF560WUX	loops	bedpe	445800	1	no	treated			
ENCSR669VZH	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-CTCF auxin treated intact HIC	ENCFF236SLC	loops	bedpe	376975	1	no	treated			
ENCSR944UTX	intact Hi-C	mesothelial cell of epicardium		baseline		H9 derived mesothelial cells of epicardium	ENCFF064BZS	domains	bedpe	5955	1	no	not_epithelial_call			
ENCSR944UTX	intact Hi-C	mesothelial cell of epicardium		baseline		H9 derived mesothelial cells of epicardium	ENCFF596IHX	domains	bedpe	4910	1	no	not_epithelial_call			
ENCSR944UTX	intact Hi-C	mesothelial cell of epicardium		baseline		H9 derived mesothelial cells of epicardium	ENCFF532ZCJ	loops	bedpe	625230	1	no	not_epithelial_call			
ENCSR944UTX	intact Hi-C	mesothelial cell of epicardium		baseline		H9 derived mesothelial cells of epicardium	ENCFF614IZN	loops	bedpe	525414	1	no	not_epithelial_call			
ENCSR642MGQ	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 SMARCA5 auxin treated degron intact hic	ENCFF663DXY	domains	bedpe	161978	1	no	treated			
ENCSR642MGQ	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 SMARCA5 auxin treated degron intact hic	ENCFF224YNZ	domains	bedpe	143117	1	no	treated			
ENCSR642MGQ	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 SMARCA5 auxin treated degron intact hic	ENCFF138DLE	loops	bedpe	1800433	1	no	treated			
ENCSR642MGQ	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 SMARCA5 auxin treated degron intact hic	ENCFF837QUN	loops	bedpe	1572096	1	no	treated			
ENCSR129NAE	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 CDk7 degron treated intact mnase	ENCFF899TXK	domains	bedpe	166109	1	no	treated			
ENCSR129NAE	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 CDk7 degron treated intact mnase	ENCFF978IPE	domains	bedpe	143706	1	no	treated			
ENCSR129NAE	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 CDk7 degron treated intact mnase	ENCFF399CTZ	loops	bedpe	1143120	1	no	treated			
ENCSR129NAE	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 CDk7 degron treated intact mnase	ENCFF584FJQ	loops	bedpe	1039131	1	no	treated			
ENCSR343ELD	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 MED14degron treated intact mnase	ENCFF518DGF	loops	bedpe	2302575	1	no	treated			
ENCSR343ELD	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 MED14degron treated intact mnase	ENCFF469TDT	domains	bedpe	266019	1	no	treated			
ENCSR343ELD	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 MED14degron treated intact mnase	ENCFF643PTK	domains	bedpe	239211	1	no	treated			
ENCSR343ELD	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 MED14degron treated intact mnase	ENCFF034ZZT	loops	bedpe	2233118	1	no	treated			
ENCSR218URU	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 Pol2RA auxin treated degron intact mnase hic	ENCFF923ZTA	domains	bedpe	317221	1	no	treated			
ENCSR218URU	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 Pol2RA auxin treated degron intact mnase hic	ENCFF035WRM	domains	bedpe	289414	1	no	treated			
ENCSR218URU	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 Pol2RA auxin treated degron intact mnase hic	ENCFF604OYY	loops	bedpe	2036859	1	no	treated			
ENCSR218URU	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 Pol2RA auxin treated degron intact mnase hic	ENCFF452UUK	loops	bedpe	1931976	1	no	treated			
ENCSR087JOM	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-RAD21 auxin treated intact HIC	ENCFF168UHW	domains	bedpe	9023	1,2	no	treated			
ENCSR087JOM	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-RAD21 auxin treated intact HIC	ENCFF307DPS	domains	bedpe	7324	1,2	no	treated			
ENCSR087JOM	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-RAD21 auxin treated intact HIC	ENCFF235THI	loops	bedpe	256592	1,2	no	treated			
ENCSR087JOM	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-RAD21 auxin treated intact HIC	ENCFF630HHH	loops	bedpe	164727	1,2	no	treated			
ENCSR788FBI	intact Hi-C	endothelial cell of umbilical vein		baseline		HUVEC intact Hi-C	ENCFF904UGB	domains	bedpe	255672	1	no	not_epithelial_call			
ENCSR788FBI	intact Hi-C	endothelial cell of umbilical vein		baseline		HUVEC intact Hi-C	ENCFF424GYN	loops	bedpe	7385273	1	no	not_epithelial_call			
ENCSR788FBI	intact Hi-C	endothelial cell of umbilical vein		baseline		HUVEC intact Hi-C	ENCFF883IOJ	domains	bedpe	282203	1	no	not_epithelial_call			
ENCSR788FBI	intact Hi-C	endothelial cell of umbilical vein		baseline		HUVEC intact Hi-C	ENCFF174NVV	loops	bedpe	7134574	1	no	not_epithelial_call			
ENCSR878JLT	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 BRD4 degron treated intact mnase	ENCFF636XTZ	domains	bedpe	254047	1	no	treated			
ENCSR878JLT	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 BRD4 degron treated intact mnase	ENCFF306XDV	domains	bedpe	225989	1	no	treated			
ENCSR878JLT	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 BRD4 degron treated intact mnase	ENCFF948OMK	loops	bedpe	2039678	1	no	treated			
ENCSR878JLT	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116 BRD4 degron treated intact mnase	ENCFF982TCF	loops	bedpe	1866159	1	no	treated			
ENCSR565SZK	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-SUPT16H-treated intact HIC	ENCFF061ADJ	domains	bedpe	272676	1	no	treated			
ENCSR565SZK	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-SUPT16H-treated intact HIC	ENCFF562CZI	domains	bedpe	244539	1	no	treated			
ENCSR565SZK	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-SUPT16H-treated intact HIC	ENCFF478WIH	loops	bedpe	2163558	1	no	treated			
ENCSR565SZK	intact Hi-C	HCT116	encode_epithelium_slim	treated		HCT116-SUPT16H-treated intact HIC	ENCFF801AVP	loops	bedpe	2098272	1	no	treated			
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF067UVH	domains	bed	48063	1,2	no	not_epithelial_call			
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF567GKO	domains	bedpe	68	1,2	no	not_epithelial_call			
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF501VME	domains	bedpe	4498	1,2	no	not_epithelial_call			
