dataset	graph	table	n_nhoods_total	n_testable	n_p_lt_0.05	n_SpatialFDR_lt_0.1	n_SpatialFDR_lt_0.05	n_BH_FDR_lt_0.1	min_p	min_SpatialFDR	min_BH_FDR
GSE207422	post_treatment	yes_imported	5347.0	20.0	2.0	0.0	0.0	0.0	0.0373860734684987	0.3676504456722385	0.3738607346849874
GSE131907	tLung	no									
GSE148071	all_biopsies	yes	6401.0	881.0	81.0	8.0	8.0	8.0	0.0	0.0	0.0
GSE205335	non_normal	yes	5713.0	360.0	17.0	0.0	0.0	0.0	0.004804664723032	0.8986669249960799	0.8411866530412216
