dataset	graph	source	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_malig_mean	cldn4_all_mean	dominant_lineage	n_samples_present	spearman_rho	p	testable_cldn4	BH_FDR_cldn4	SpatialFDR_cldn4	nhood_id
GSE131907	tLung	this_run	1116	31	3	0	0.0967741935483871	0.0		0.0	Myeloid cells	5	1.0	1.4042654220543602e-24	True	9.82985795438052e-23	7.733650458394151e-23	GSE131907:tLung:1116
GSE131907	tLung	this_run	1529	31	31	0	1.0	0.0		0.1056812927126884	T lymphocytes	5	1.0	1.4042654220543602e-24	True	9.82985795438052e-23	7.733650458394151e-23	GSE131907:tLung:1529
GSE131907	tLung	this_run	2722	31	31	0	1.0	0.0		0.038702193647623	T lymphocytes	5	1.0	1.4042654220543602e-24	True	9.82985795438052e-23	7.733650458394151e-23	GSE131907:tLung:2722
GSE131907	mBrain	this_run	155	31	0	1	0.0	0.032258064516129	2.036881923675537	0.1040789410471916	Myeloid cells	6	-0.942857142857143	0.004804664723032	True	0.0624606413994167	0.0608648274316385	GSE131907:mBrain:155
GSE131907	mBrain	this_run	744	31	0	2	0.0	0.064516129032258	1.9766011238098145	0.1548278480768203	B lymphocytes	6	-1.0	0.0	True	0.0	0.0	GSE131907:mBrain:744
GSE148071	all_biopsies	this_run	3549	31	0	21	0.0	0.6774193548387096	0.6946129202842712	0.7279484272003174	Epithelial	5	-1.0	1.4042654220543602e-24	True	1.5464472960373642e-22	1.6559171722619917e-22	GSE148071:all_biopsies:3549
GSE148071	all_biopsies	this_run	4248	31	0	0	0.0	0.0		0.0336856506764888	Myeloid	5	1.0	1.4042654220543602e-24	True	1.5464472960373642e-22	1.6559171722619917e-22	GSE148071:all_biopsies:4248
GSE148071	all_biopsies	this_run	4319	31	0	0	0.0	0.0		1.703830361366272	Epithelial	5	-1.0	1.4042654220543602e-24	True	1.5464472960373642e-22	1.6559171722619917e-22	GSE148071:all_biopsies:4319
GSE148071	all_biopsies	this_run	5063	31	0	11	0.0	0.3548387096774194	2.930488348007202	2.707968473434448	Epithelial	5	1.0	1.4042654220543602e-24	True	1.5464472960373642e-22	1.6559171722619917e-22	GSE148071:all_biopsies:5063
GSE148071	all_biopsies	this_run	5079	31	0	25	0.0	0.8064516129032258	2.3910157680511475	2.4025533199310303	Epithelial	6	1.0	0.0	True	0.0	0.0	GSE148071:all_biopsies:5079
GSE148071	all_biopsies	this_run	5224	31	0	4	0.0	0.1290322580645161	1.195570468902588	0.5640404224395752	Epithelial	5	1.0	1.4042654220543602e-24	True	1.5464472960373642e-22	1.6559171722619917e-22	GSE148071:all_biopsies:5224
GSE148071	all_biopsies	this_run	5571	31	0	4	0.0	0.1290322580645161	0.8718326091766357	0.1860696077346801	Myeloid	6	1.0	0.0	True	0.0	0.0	GSE148071:all_biopsies:5571
GSE148071	all_biopsies	this_run	6329	31	0	27	0.0	0.8709677419354839	1.0525704622268677	0.9865549802780152	Epithelial	5	1.0	1.4042654220543602e-24	True	1.5464472960373642e-22	1.6559171722619917e-22	GSE148071:all_biopsies:6329
