probe_id	n_qc	n_tumor	n_tnk	n_T	n_NK	frac_tumor	frac_tnk	TACSTD2_tumor_n	TACSTD2_tumor_mean_log1p	TACSTD2_tumor_pct_pos	TACSTD2_tnk_n	TACSTD2_tnk_mean_log1p	TACSTD2_tnk_pct_pos	TACSTD2_other_n	TACSTD2_other_mean_log1p	TACSTD2_other_pct_pos	CLDN4_tumor_n	CLDN4_tumor_mean_log1p	CLDN4_tumor_pct_pos	CLDN4_tnk_n	CLDN4_tnk_mean_log1p	CLDN4_tnk_pct_pos	CLDN4_other_n	CLDN4_other_mean_log1p	CLDN4_other_pct_pos	CCL20_tumor_mean_log1p	EGFR_tumor_mean_log1p
BC004	17217	15785	0	0	0	0.9168263925190219	0.0	15785	1.231131672859192	49.927146024707	0			1432	0.7372076511383057	24.092178770949722	15785	1.1323506832122803	47.494456762749444	0			1432	0.6602792739868164	21.648044692737432	0.02132774144411087	0.7919176816940308
BC003	13037	11659	4	3	1	0.8943008360819207	0.0003068190534632201	11659	1.1609456539154053	49.30954627326528	4	0.8103551864624023	25.0	1374	0.6052117347717285	19.57787481804949	11659	1.1753579378128052	49.93567201303714	4	0.0	0.0	1374	0.736480176448822	24.017467248908297	0.07275819778442383	0.9015752673149109
BC002	8503	7015	1	0	1	0.8250029401387745	0.00011760555098200635	7015	1.5201735496520996	60.29935851746258	1	0.0	0.0	1487	0.8604063987731934	29.791526563550775	7015	1.3937815427780151	57.419814682822526	1	0.0	0.0	1487	0.7617431879043579	26.832548755884332	0.042308226227760315	0.871128261089325
BC001	4154	3651	0	0	0	0.8789118921521425	0.0	3651	0.8611918687820435	40.29033141605039	0			503	0.5058037042617798	19.08548707753479	3651	1.0432246923446655	45.87784168720898	0			503	0.5481014251708984	20.278330019880716	0.046968974173069	0.8711028695106506
